id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[114 101]]

 [[114 732]]

 [[172 732]]

 [[172 101]]]","(143, 416)",-,-,3,70,-,bar
1,"[[[259 204]]

 [[259 732]]

 [[317 732]]

 [[317 204]]]","(288, 468)",-,-,5,60,-,bar
2,"[[[186 227]]

 [[186 732]]

 [[245 732]]

 [[245 227]]]","(215, 479)",-,-,4,60,-,bar
3,"[[[692 331]]

 [[692 732]]

 [[750 732]]

 [[750 331]]]","(721, 531)",-,-,11,50,-,bar
4,"[[[548 335]]

 [[547 336]]

 [[547 732]]

 [[606 732]]

 [[606 336]]

 [[605 335]]]","(577, 533)",-,-,9,50,-,bar
5,"[[[331 380]]

 [[331 732]]

 [[389 732]]

 [[389 380]]]","(360, 556)",-,-,6,40,-,bar
6,"[[[619 385]]

 [[619 732]]

 [[678 732]]

 [[678 385]]]","(648, 558)",-,-,10,40,-,bar
7,"[[[475 391]]

 [[475 732]]

 [[533 732]]

 [[533 391]]]","(504, 561)",-,-,8,40,-,bar
8,"[[[403 439]]

 [[403 732]]

 [[461 732]]

 [[461 439]]]","(432, 585)",-,-,7,30,-,bar
9,"[[[764 497]]

 [[764 732]]

 [[822 732]]

 [[822 497]]]","(793, 614)",-,-,12,30,-,bar
