id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[105  36]]

 [[105 404]]

 [[128 404]]

 [[128  83]]

 [[129  82]]

 [[129  36]]]","(116, 220)",Baseline,[209  80   0],SYSl,38,-,bar
1,"[[[354  51]]

 [[354 404]]

 [[377 404]]

 [[377  51]]]","(365, 227)",F5-LlVI-4,[160  48 112],SYSl,38,-,bar
2,"[[[279  56]]

 [[279 404]]

 [[302 404]]

 [[302  56]]]","(290, 230)",FS-BLP,[ 53  55 149],SYSl,38,-,bar
3,"[[[416  56]]

 [[416 404]]

 [[438 404]]

 [[438  85]]

 [[439  84]]

 [[439  56]]]","(427, 230)",Baseline,[209  80   0],SYSZ,38,-,bar
4,"[[[155  61]]

 [[155 404]]

 [[178 404]]

 [[178  61]]]","(166, 232)",FS-PFE,[  0 192 255],SYSl,38,-,bar
5,"[[[229  64]]

 [[229 404]]

 [[252 404]]

 [[252  98]]

 [[253  97]]

 [[253  64]]]","(240, 234)",FS-PP,[192 112   0],SYSl,38,-,bar
6,"[[[205  67]]

 [[205 404]]

 [[227 404]]

 [[227  67]]]","(216, 235)",FS-PFELEX,[209  80   0],SYSl,38,-,bar
7,"[[[180  68]]

 [[180 404]]

 [[203 404]]

 [[203  68]]]","(191, 236)",FS-PEFLEX,[209  80   0],SYSl,38,-,bar
8,"[[[490  77]]

 [[490 404]]

 [[513 404]]

 [[513  77]]]","(501, 240)",FS-PEFLEX,[209  80   0],SYSZ,38,-,bar
9,"[[[664  77]]

 [[664 404]]

 [[687 404]]

 [[687  77]]]","(675, 240)",F5-LlVI-4,[160  48 112],SYSZ,38,-,bar
10,"[[[515  78]]

 [[515 404]]

 [[538 404]]

 [[538  78]]]","(526, 241)",FS-PFELEX,[209  80   0],SYSZ,38,-,bar
11,"[[[465  82]]

 [[465 404]]

 [[488 404]]

 [[488  82]]]","(476, 243)",FS-PFE,[  0 192 255],SYSZ,38,-,bar
12,"[[[564  82]]

 [[564 407]]

 [[587 407]]

 [[587  94]]

 [[588  93]]

 [[588  89]]

 [[565  89]]

 [[564  88]]]","(575, 244)",FS- WP,[209  80   0],SYSZ,38,-,bar
13,"[[[540  83]]

 [[540 404]]

 [[563 404]]

 [[563  83]]]","(551, 243)",FS-PP,[192 112   0],SYSZ,38,-,bar
14,"[[[130  84]]

 [[130 404]]

 [[153 404]]

 [[153  84]]]","(141, 244)",FS-PEF,[40 98 79],SYSl,38,-,bar
15,"[[[440  86]]

 [[440 404]]

 [[463 404]]

 [[463  86]]]","(451, 245)",FS-PEF,[40 98 79],SYSZ,38,-,bar
16,"[[[589  95]]

 [[589 404]]

 [[613 404]]

 [[613  95]]]","(601, 249)",FS-BLP,[ 53  55 149],SYSZ,38,-,bar
17,"[[[254  99]]

 [[254 407]]

 [[277 407]]

 [[277  99]]]","(265, 253)",FS- WP,[207 169 147],SYSl,37,-,bar
18,"[[[639 124]]

 [[639 407]]

 [[662 407]]

 [[662 124]]]","(650, 265)",F5-LM-3,[209  80   0],SYSZ,37,-,bar
19,"[[[329 132]]

 [[329 407]]

 [[352 407]]

 [[352 132]]]","(340, 269)",F5-LM-3,[209  80   0],SYSl,37,-,bar
20,"[[[304 358]]

 [[304 360]]

 [[303 361]]

 [[303 407]]

 [[327 407]]

 [[327 358]]]","(315, 382)",FS-LM-Z,[209  80   0],SYSl,32,-,bar
21,"[[[614 381]]

 [[614 407]]

 [[637 407]]

 [[637 381]]]","(625, 394)",FS-LM-Z,[209  80   0],SYSZ,32,-,bar
22,"[[[155 406]]

 [[155 408]]

 [[178 408]]

 [[178 406]]]","(166, 407)",-,-,SYSl,31,-,bar
23,"[[[204 406]]

 [[204 408]]

 [[228 408]]

 [[228 406]]]","(216, 407)",-,-,SYSl,31,-,bar
24,"[[[278 406]]

 [[278 407]]

 [[302 407]]

 [[302 406]]]","(290, 406)",-,-,SYSl,31,-,bar
25,"[[[465 406]]

 [[465 407]]

 [[488 407]]

 [[488 406]]]","(476, 406)",-,-,SYSZ,31,-,bar
26,"[[[514 406]]

 [[514 407]]

 [[538 407]]

 [[538 406]]]","(526, 406)",-,-,SYSZ,31,-,bar
27,"[[[588 406]]

 [[588 407]]

 [[613 407]]

 [[613 406]]]","(600, 406)",-,-,SYSZ,31,-,bar
28,"[[[726  19]]

 [[726  38]]

 [[745  38]]

 [[745  19]]]","(735, 28)",-,"(0, 0, 0)",-,-,Baseline,legend
29,"[[[725  64]]

 [[725  83]]

 [[745  83]]

 [[745  64]]]","(735, 73)",-,"(40, 98, 79)",-,-,FS-PEF,legend
30,"[[[725 109]]

 [[725 128]]

 [[745 128]]

 [[745 109]]]","(735, 118)",-,"(0, 192, 255)",-,-,FS-PFE,legend
31,"[[[725 154]]

 [[725 173]]

 [[745 173]]

 [[745 154]]]","(735, 163)",-,"(0, 0, 192)",-,-,FS-PEFLEX,legend
32,"[[[725 199]]

 [[725 218]]

 [[745 218]]

 [[745 199]]]","(735, 208)",-,"(80, 176, 0)",-,-,FS-PFELEX,legend
33,"[[[725 244]]

 [[725 263]]

 [[745 263]]

 [[745 244]]]","(735, 253)",-,"(192, 112, 0)",-,-,FS-PP,legend
34,"[[[725 289]]

 [[725 308]]

 [[745 308]]

 [[745 289]]]","(735, 298)",-,"(207, 169, 147)",-,-,FS- WP,legend
35,"[[[725 334]]

 [[725 353]]

 [[745 353]]

 [[745 334]]]","(735, 343)",-,"(53, 55, 149)",-,-,FS-BLP,legend
36,"[[[725 379]]

 [[725 398]]

 [[745 398]]

 [[745 379]]]","(735, 388)",-,"(150, 205, 185)",-,-,FS-LM-Z,legend
37,"[[[725 424]]

 [[725 443]]

 [[745 443]]

 [[745 424]]]","(735, 433)",-,"(189, 155, 169)",-,-,F5-LM-3,legend
38,"[[[725 469]]

 [[725 488]]

 [[745 488]]

 [[745 469]]]","(735, 478)",-,"(160, 48, 112)",-,-,F5-LlVI-4,legend
