id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[787 109]]

 [[787 538]]

 [[807 538]]

 [[807 109]]]","(797, 323)",-,-,Fl,0.40,-,bar
1,"[[[711 111]]

 [[711 538]]

 [[731 538]]

 [[731 336]]

 [[730 335]]

 [[730 111]]]","(721, 324)",-,-,DE,0.40,-,bar
2,"[[[634 115]]

 [[634 538]]

 [[654 538]]

 [[654 115]]]","(644, 326)",-,-,NL,0.40,-,bar
3,"[[[557 121]]

 [[557 538]]

 [[577 538]]

 [[577 121]]]","(567, 329)",-,-,EL,0.40,-,bar
4,"[[[112 123]]

 [[112 140]]

 [[133 140]]

 [[133 123]]]","(122, 131)",-,-,FR,0.40,-,bar
5,"[[[480 128]]

 [[480 538]]

 [[500 538]]

 [[500 128]]]","(490, 333)",-,-,IT,0.40,-,bar
6,"[[[404 137]]

 [[404 538]]

 [[424 538]]

 [[424 137]]]","(414, 337)",-,-,PT,0.40,-,bar
7,"[[[327 152]]

 [[327 538]]

 [[347 538]]

 [[347 152]]]","(337, 345)",-,-,DA,0.40,-,bar
8,"[[[250 173]]

 [[250 538]]

 [[270 538]]

 [[270 173]]]","(260, 355)",-,-,ES,0.35,-,bar
9,"[[[174 210]]

 [[174 538]]

 [[194 538]]

 [[194 292]]

 [[193 291]]

 [[193 210]]]","(184, 374)",-,-,SV,0.35,-,bar
10,"[[[118 285]]

 [[118 538]]

 [[136 538]]

 [[136 285]]]","(127, 411)",-,-,FR,0.30,-,bar
11,"[[[137 285]]

 [[137 538]]

 [[156 538]]

 [[156 286]]

 [[155 285]]]","(146, 411)",-,-,FR,0.30,-,bar
12,"[[[ 97 286]]

 [[ 97 538]]

 [[117 538]]

 [[117 286]]]","(107, 412)",-,-,FR,0.30,-,bar
13,"[[[272 287]]

 [[272 538]]

 [[290 538]]

 [[290 288]]

 [[289 287]]]","(281, 412)",-,-,ES,0.30,-,bar
14,"[[[195 292]]

 [[195 538]]

 [[213 538]]

 [[213 293]]

 [[212 292]]]","(204, 415)",-,-,SV,0.30,-,bar
15,"[[[291 294]]

 [[291 538]]

 [[309 538]]

 [[309 294]]]","(300, 416)",-,-,ES,0.30,-,bar
16,"[[[348 298]]

 [[348 538]]

 [[366 538]]

 [[366 341]]

 [[367 340]]

 [[367 299]]

 [[366 298]]]","(357, 418)",-,-,DA,0.30,-,bar
17,"[[[425 298]]

 [[425 538]]

 [[443 538]]

 [[443 299]]

 [[442 298]]]","(434, 418)",-,-,PT,0.30,-,bar
18,"[[[214 307]]

 [[214 538]]

 [[232 538]]

 [[232 307]]]","(223, 422)",-,-,SV,0.30,-,bar
19,"[[[444 314]]

 [[444 538]]

 [[462 538]]

 [[462 314]]]","(453, 426)",-,-,PT,0.30,-,bar
20,"[[[502 314]]

 [[502 538]]

 [[520 538]]

 [[520 314]]]","(511, 426)",-,-,IT,0.30,-,bar
21,"[[[578 315]]

 [[578 538]]

 [[597 538]]

 [[597 347]]

 [[596 346]]

 [[596 315]]]","(587, 426)",-,-,EL,0.30,-,bar
22,"[[[655 329]]

 [[655 538]]

 [[673 538]]

 [[673 329]]]","(664, 433)",-,-,NL,0.25,-,bar
23,"[[[732 336]]

 [[732 538]]

 [[750 538]]

 [[750 336]]]","(741, 437)",-,-,DE,0.25,-,bar
24,"[[[368 340]]

 [[368 341]]

 [[367 342]]

 [[367 538]]

 [[386 538]]

 [[386 340]]]","(377, 439)",-,-,DA,0.25,-,bar
25,"[[[598 347]]

 [[598 538]]

 [[616 538]]

 [[616 348]]

 [[615 347]]]","(607, 442)",-,-,EL,0.25,-,bar
26,"[[[521 348]]

 [[521 538]]

 [[539 538]]

 [[539 348]]]","(530, 443)",-,-,IT,0.25,-,bar
27,"[[[809 355]]

 [[809 538]]

 [[827 538]]

 [[827 466]]

 [[826 465]]

 [[826 355]]]","(818, 446)",-,-,Fl,0.25,-,bar
28,"[[[751 381]]

 [[751 538]]

 [[769 538]]

 [[769 381]]]","(760, 459)",-,-,DE,0.25,-,bar
29,"[[[674 397]]

 [[674 538]]

 [[692 538]]

 [[692 397]]]","(683, 467)",-,-,NL,0.25,-,bar
30,"[[[828 466]]

 [[828 538]]

 [[846 538]]

 [[846 467]]

 [[845 466]]]","(837, 502)",-,-,Fl,0.20,-,bar
