id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[686 203]]

 [[685 204]]

 [[685 481]]

 [[687 481]]

 [[687 205]]

 [[688 204]]

 [[731 204]]

 [[731 203]]]","(754, 342)",City block,[209  80   0],3,100,-,bar
1,"[[[732 204]]

 [[732 481]]

 [[780 481]]

 [[780 204]]]","(756, 342)",City block,[101  51 153],3,100,-,bar
2,"[[[688 206]]

 [[688 482]]

 [[731 482]]

 [[731 206]]]","(709, 344)",-,-,3,100,-,bar
3,"[[[474 213]]

 [[474 481]]

 [[522 481]]

 [[522 213]]]","(498, 347)",City block,[101  51 153],2,80,-,bar
4,"[[[524 215]]

 [[524 482]]

 [[567 482]]

 [[567 215]]]","(545, 348)",chance,[209  80   0],2,80,-,bar
5,"[[[782 215]]

 [[782 482]]

 [[825 482]]

 [[825 215]]]","(803, 348)",chance,[209  80   0],3,80,-,bar
6,"[[[427 296]]

 [[427 481]]

 [[428 481]]

 [[428 297]]

 [[429 296]]

 [[473 296]]]","(496, 388)",City block,[101  51 153],2,60,-,bar
7,"[[[429 298]]

 [[429 482]]

 [[473 482]]

 [[473 298]]]","(451, 390)",-,-,2,60,-,bar
8,"[[[216 317]]

 [[216 481]]

 [[264 481]]

 [[264 317]]]","(240, 399)",City block,[101  51 153],1,60,-,bar
9,"[[[265 319]]

 [[265 482]]

 [[309 482]]

 [[309 319]]]","(287, 400)",chance,[209  80   0],1,60,-,bar
10,"[[[169 346]]

 [[169 481]]

 [[170 481]]

 [[170 348]]

 [[171 347]]

 [[215 347]]

 [[215 346]]]","(238, 413)",City block,[101  51 153],1,40,-,bar
11,"[[[171 349]]

 [[171 482]]

 [[215 482]]

 [[215 349]]]","(193, 415)",-,-,1,40,-,bar
12,"[[[829 417]]

 [[829 482]]

 [[872 482]]

 [[872 417]]]","(850, 449)",Cosine similarity measure,[209  80   0],3,20,-,bar
13,"[[[571 466]]

 [[571 482]]

 [[614 482]]

 [[614 466]]]","(592, 474)",Cosine similarity measure,[209  80   0],2,0,-,bar
14,"[[[310 477]]

 [[310 482]]

 [[356 482]]

 [[356 477]]]","(333, 479)",-,"(255, 255, 204)",-,-,Cosine similarity measure,legend
15,"[[[478 565]]

 [[478 579]]

 [[493 579]]

 [[493 565]]]","(485, 572)",-,"(101, 51, 153)",-,-,City block,legend
16,"[[[625 564]]

 [[625 579]]

 [[641 579]]

 [[641 564]]]","(633, 571)",-,"(204, 255, 255)",-,-,chance,legend
