id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[714 252]]

 [[713 253]]

 [[713 567]]

 [[748 567]]

 [[748 253]]

 [[747 252]]]","(731, 409)",-,-,speed,5,-,bar
1,"[[[247 264]]

 [[246 265]]

 [[246 567]]

 [[280 567]]

 [[280 265]]

 [[279 264]]]","(263, 415)",-,-,like.,5,-,bar
2,"[[[362 287]]

 [[361 288]]

 [[361 567]]

 [[398 567]]

 [[398 288]]

 [[397 287]]]","(380, 427)",-,-,"33%"".",4,-,bar
3,"[[[830 297]]

 [[829 298]]

 [[829 567]]

 [[866 567]]

 [[866 298]]

 [[865 297]]]","(848, 432)",-,-,overall,4,-,bar
4,"[[[128 307]]

 [[127 308]]

 [[127 567]]

 [[164 567]]

 [[164 308]]

 [[163 307]]]","(146, 437)",-,-,EESE,4,-,bar
5,"[[[480 329]]

 [[479 330]]

 [[479 567]]

 [[514 567]]

 [[514 330]]

 [[513 329]]]","(497, 448)",-,-,ann.,4,-,bar
6,"[[[212 349]]

 [[211 350]]

 [[211 567]]

 [[245 567]]

 [[245 349]]]","(228, 458)",-,-,like.,4,-,bar
7,"[[[596 352]]

 [[595 353]]

 [[595 567]]

 [[632 567]]

 [[632 353]]

 [[631 352]]]","(614, 459)",-,-,hab.,4,-,bar
8,"[[[328 358]]

 [[327 359]]

 [[327 567]]

 [[360 567]]

 [[360 358]]]","(344, 462)",-,-,"33%"".",4,-,bar
9,"[[[446 378]]

 [[445 379]]

 [[445 567]]

 [[478 567]]

 [[478 378]]]","(462, 472)",-,-,ann.,3,-,bar
10,"[[[795 387]]

 [[794 388]]

 [[794 567]]

 [[828 567]]

 [[828 387]]]","(811, 477)",-,-,overall,3,-,bar
11,"[[[ 94 410]]

 [[ 93 411]]

 [[ 93 567]]

 [[126 567]]

 [[126 410]]]","(110, 488)",-,-,EESE,3,-,bar
12,"[[[562 430]]

 [[561 431]]

 [[561 567]]

 [[594 567]]

 [[594 430]]]","(578, 498)",-,-,hab.,3,-,bar
13,"[[[680 449]]

 [[679 450]]

 [[679 567]]

 [[712 567]]

 [[712 449]]]","(696, 508)",-,-,speed,2,-,bar
