id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[340 160]]

 [[340 431]]

 [[371 431]]

 [[371 205]]

 [[372 204]]

 [[372 160]]]","(355, 295)",HowNet,[189 129  80],Opinion PageRank,0.2,-,bar
1,"[[[623 164]]

 [[623 431]]

 [[655 431]]

 [[655 164]]]","(639, 297)",Intersection,[ 89 187 155],Opinion HITS,0.2,-,bar
2,"[[[556 166]]

 [[556 433]]

 [[588 433]]

 [[557 433]]

 [[556 432]]]","(572, 299)",HowNet,[189 129  80],Opinion HITS,0.2,-,bar
3,"[[[557 166]]

 [[557 431]]

 [[588 431]]

 [[588 196]]

 [[589 195]]

 [[589 166]]]","(572, 298)",HowNet,[189 129  80],Opinion HITS,0.2,-,bar
4,"[[[440 187]]

 [[440 431]]

 [[471 431]]

 [[471 205]]

 [[472 204]]

 [[472 187]]]","(455, 309)",Union,[162 101 128],Opinion PageRank,0.2,-,bar
5,"[[[406 189]]

 [[406 431]]

 [[438 431]]

 [[438 189]]]","(422, 310)",Intersection,[ 89 187 155],Opinion PageRank,0.2,-,bar
6,"[[[656 196]]

 [[656 433]]

 [[688 433]]

 [[657 433]]

 [[656 432]]]","(672, 314)",Union,[162 101 128],Opinion HITS,0.15,-,bar
7,"[[[657 196]]

 [[657 431]]

 [[688 431]]

 [[688 200]]

 [[689 199]]

 [[689 196]]]","(672, 313)",Union,[162 101 128],Opinion HITS,0.15,-,bar
8,"[[[589 197]]

 [[589 433]]

 [[622 433]]

 [[590 433]]

 [[589 432]]]","(605, 315)",SentiWordNet,[ 78  81 192],Opinion HITS,0.15,-,bar
9,"[[[590 197]]

 [[590 431]]

 [[622 431]]

 [[622 197]]]","(606, 314)",SentiWordNet,[ 78  81 192],Opinion HITS,0.15,-,bar
10,"[[[690 201]]

 [[690 431]]

 [[722 431]]

 [[722 201]]]","(706, 316)",A||,[209  80   0],Opinion HITS,0.15,-,bar
11,"[[[373 206]]

 [[373 431]]

 [[405 431]]

 [[405 206]]]","(389, 318)",SentiWordNet,[ 78  81 192],Opinion PageRank,0.15,-,bar
12,"[[[473 206]]

 [[473 431]]

 [[505 431]]

 [[505 206]]]","(489, 318)",A||,[209  80   0],Opinion PageRank,0.15,-,bar
13,"[[[506 206]]

 [[506 432]]

 [[505 433]]

 [[473 433]]

 [[506 433]]]","(522, 319)",-,-,Opinion PageRank,0.15,-,bar
14,"[[[256 235]]

 [[256 431]]

 [[288 431]]

 [[288 235]]]","(272, 333)",A||,[209  80   0],Baseline,0.15,-,bar
15,"[[[289 235]]

 [[289 432]]

 [[288 433]]

 [[256 433]]

 [[289 433]]]","(305, 334)",-,-,Baseline,0.15,-,bar
16,"[[[123 238]]

 [[123 431]]

 [[154 431]]

 [[154 258]]

 [[155 257]]

 [[155 238]]]","(138, 334)",HowNet,[189 129  80],Baseline,0.15,-,bar
17,"[[[223 238]]

 [[223 431]]

 [[255 431]]

 [[255 238]]]","(239, 334)",Union,[162 101 128],Baseline,0.15,-,bar
18,"[[[190 251]]

 [[190 431]]

 [[221 431]]

 [[221 251]]]","(205, 341)",Intersection,[209  80   0],Baseline,0.15,-,bar
19,"[[[155 259]]

 [[155 432]]

 [[154 433]]

 [[123 433]]

 [[155 433]]]","(171, 346)",SentiWordNet,[ 78  81 192],Baseline,0.15,-,bar
20,"[[[156 259]]

 [[156 431]]

 [[188 431]]

 [[188 259]]]","(172, 345)",SentiWordNet,[ 78  81 192],Baseline,0.15,-,bar
21,"[[[ 99  37]]

 [[ 99  48]]

 [[111  48]]

 [[111  37]]]","(105, 42)",-,"(189, 129, 80)",-,-,HowNet,legend
22,"[[[219  37]]

 [[219  48]]

 [[231  48]]

 [[231  37]]]","(225, 42)",-,"(78, 81, 192)",-,-,SentiWordNet,legend
23,"[[[396  37]]

 [[396  48]]

 [[408  48]]

 [[408  37]]]","(402, 42)",-,"(89, 187, 155)",-,-,Intersection,legend
24,"[[[552  37]]

 [[552  48]]

 [[563  48]]

 [[563  37]]]","(557, 42)",-,"(162, 101, 128)",-,-,Union,legend
25,"[[[651  37]]

 [[651  48]]

 [[663  48]]

 [[663  37]]]","(657, 42)",-,"(199, 172, 76)",-,-,A||,legend
