id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[267 222]]

 [[267 569]]

 [[317 569]]

 [[317 222]]]","(292, 395)",MaxEnt Classifier,[209  80   0],Public Key,70,-,bar
1,"[[[390 238]]

 [[390 569]]

 [[439 569]]

 [[439 238]]]","(414, 403)",MaxEnt Classifier,[209  80   0],Para. Postulate,70,-,bar
2,"[[[756 328]]

 [[756 569]]

 [[805 569]]

 [[805 328]]]","(780, 448)",MaxEnt Classifier,[209  80   0],Average,60,-,bar
3,"[[[634 352]]

 [[634 569]]

 [[683 569]]

 [[683 352]]]","(658, 460)",MaxEnt Classifier,[209  80   0],Global Warming,60,-,bar
4,"[[[511 389]]

 [[511 436]]

 [[512 437]]

 [[512 569]]

 [[561 569]]

 [[561 389]]]","(536, 479)",MaxEnt Classifier,[209  80   0],Newton's Law,50,-,bar
5,"[[[339 427]]

 [[339 569]]

 [[388 569]]

 [[388 427]]]","(363, 498)",Random Baseline,[209  80   0],Para. Postulate,50,-,bar
6,"[[[583 434]]

 [[583 569]]

 [[632 569]]

 [[632 434]]]","(607, 501)",Random Baseline,[209  80   0],Global Warming,50,-,bar
7,"[[[146 438]]

 [[146 569]]

 [[195 569]]

 [[195 438]]]","(170, 503)",MaxEnt Classifier,[209  80   0],Meiosis,50,-,bar
8,"[[[461 439]]

 [[461 569]]

 [[510 569]]

 [[510 439]]]","(485, 504)",Random Baseline,[209  80   0],Newton's Law,50,-,bar
9,"[[[705 439]]

 [[705 569]]

 [[754 569]]

 [[754 439]]]","(729, 504)",Random Baseline,[209  80   0],Average,50,-,bar
10,"[[[216 443]]

 [[216 569]]

 [[266 569]]

 [[266 443]]]","(241, 506)",Random Baseline,[209  80   0],Public Key,50,-,bar
11,"[[[ 95 450]]

 [[ 95 569]]

 [[144 569]]

 [[144 450]]]","(119, 509)",Random Baseline,[209  80   0],Meiosis,50,-,bar
12,"[[[153  90]]

 [[153 112]]

 [[175 112]]

 [[175  90]]]","(164, 101)",-,"(90, 164, 110)",-,-,Random Baseline,legend
13,"[[[506  90]]

 [[506 112]]

 [[528 112]]

 [[528  90]]]","(517, 101)",-,"(77, 176, 237)",-,-,MaxEnt Classifier,legend
