id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[726  26]]

 [[726 281]]

 [[743 281]]

 [[743  26]]]","(734, 153)",-,-,'08,SAR600 billion,-,bar
1,"[[[820 118]]

 [[820 281]]

 [[837 281]]

 [[837 118]]]","(828, 199)",-,-,'12,400,-,bar
2,"[[[796 154]]

 [[796 281]]

 [[813 281]]

 [[813 154]]]","(804, 217)",-,-,'10,200,-,bar
3,"[[[679 159]]

 [[679 281]]

 [[696 281]]

 [[696 159]]]","(687, 220)",-,-,'06,200,-,bar
4,"[[[655 187]]

 [[655 281]]

 [[672 281]]

 [[672 187]]]","(663, 234)",-,-,'04,200,-,bar
5,"[[[843 204]]

 [[843 281]]

 [[860 281]]

 [[860 204]]]","(851, 242)",-,-,'12,200,-,bar
6,"[[[702 205]]

 [[702 281]]

 [[719 281]]

 [[719 205]]]","(710, 243)",-,-,'06,200,-,bar
7,"[[[ 67 234]]

 [[ 67 281]]

 [[ 84 281]]

 [[ 84 234]]]","(75, 257)",-,-,'80,200,-,bar
8,"[[[631 236]]

 [[631 282]]

 [[649 282]]

 [[649 236]]]","(640, 259)",-,-,'04,200,-,bar
9,"[[[772 244]]

 [[772 281]]

 [[790 281]]

 [[790 244]]]","(781, 262)",-,-,'10,0,-,bar
10,"[[[ 90 246]]

 [[ 90 281]]

 [[108 281]]

 [[108 246]]]","(99, 263)",-,-,'80,0,-,bar
11,"[[[608 268]]

 [[608 281]]

 [[625 281]]

 [[625 268]]]","(616, 274)",-,-,'02,0,-,bar
12,"[[[537 273]]

 [[537 282]]

 [[555 282]]

 [[555 273]]]","(546, 277)",-,-,'00,0,-,bar
13,"[[[137 283]]

 [[137 292]]

 [[155 292]]

 [[155 283]]]","(146, 287)",-,-,'82,0,-,bar
14,"[[[278 283]]

 [[278 299]]

 [[296 299]]

 [[296 283]]]","(287, 291)",-,-,'88,0,-,bar
15,"[[[372 283]]

 [[372 302]]

 [[390 302]]

 [[390 283]]]","(381, 292)",-,-,'92,0,-,bar
16,"[[[419 283]]

 [[419 294]]

 [[437 294]]

 [[437 283]]]","(428, 288)",-,-,'94,0,-,bar
17,"[[[443 283]]

 [[443 290]]

 [[461 290]]

 [[461 283]]]","(452, 286)",-,-,'96,0,-,bar
18,"[[[490 283]]

 [[490 303]]

 [[508 303]]

 [[508 283]]]","(499, 293)",-,-,'98,0,-,bar
19,"[[[584 283]]

 [[584 290]]

 [[602 290]]

 [[602 283]]]","(593, 286)",-,-,'02,0,-,bar
20,"[[[161 284]]

 [[161 301]]

 [[178 301]]

 [[178 284]]]","(169, 292)",-,-,'84,0,-,bar
21,"[[[185 284]]

 [[185 303]]

 [[202 303]]

 [[202 284]]]","(193, 293)",-,-,'84,0,-,bar
22,"[[[208 284]]

 [[208 308]]

 [[225 308]]

 [[225 284]]]","(216, 296)",-,-,'86,0,-,bar
23,"[[[232 284]]

 [[232 317]]

 [[249 317]]

 [[249 284]]]","(240, 300)",-,-,'86,0,-,bar
24,"[[[255 284]]

 [[255 306]]

 [[272 306]]

 [[272 284]]]","(263, 295)",-,-,'88,0,-,bar
25,"[[[326 284]]

 [[326 357]]

 [[343 357]]

 [[343 284]]]","(334, 320)",-,-,'90,0,-,bar
26,"[[[349 284]]

 [[349 312]]

 [[366 312]]

 [[366 284]]]","(357, 298)",-,-,'92,0,-,bar
27,"[[[396 284]]

 [[396 296]]

 [[413 296]]

 [[413 284]]]","(404, 290)",-,-,'94,0,-,bar
28,"[[[467 284]]

 [[467 288]]

 [[484 288]]

 [[484 284]]]","(475, 286)",-,-,'96,0,-,bar
29,"[[[514 284]]

 [[514 297]]

 [[531 297]]

 [[531 284]]]","(522, 290)",-,-,'98,0,-,bar
30,"[[[561 284]]

 [[561 293]]

 [[578 293]]

 [[578 284]]]","(569, 288)",-,-,'00,0,-,bar
31,"[[[749 284]]

 [[749 320]]

 [[766 320]]

 [[766 284]]]","(757, 302)",-,-,'08,0,-,bar
32,"[[[867 284]]

 [[867 310]]

 [[884 310]]

 [[884 284]]]","(875, 297)",-,-,'14,0,-,bar
33,"[[[890 284]]

 [[890 444]]

 [[907 444]]

 [[907 284]]]","(898, 364)",-,-,'14,0,-,bar
