id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[ 96  59]]

 [[ 96 268]]

 [[128 268]]

 [[128  59]]]","(112, 163)",-,-,'11,30,-,bar
1,"[[[140  59]]

 [[140 268]]

 [[172 268]]

 [[172  59]]]","(156, 163)",-,-,'11,30,-,bar
2,"[[[ 54  88]]

 [[ 54 268]]

 [[ 86 268]]

 [[ 86  88]]]","(70, 178)",-,-,'11,30,-,bar
3,"[[[183  95]]

 [[183 268]]

 [[215 268]]

 [[215  95]]]","(199, 181)",-,-,'12,30,-,bar
4,"[[[227 104]]

 [[227 269]]

 [[259 269]]

 [[259 104]]]","(243, 186)",-,-,'12,30,-,bar
5,"[[[530 128]]

 [[530 268]]

 [[562 268]]

 [[562 128]]]","(546, 198)",-,-,'14,20,-,bar
6,"[[[574 132]]

 [[574 268]]

 [[606 268]]

 [[606 132]]]","(590, 200)",-,-,'14,20,-,bar
7,"[[[486 147]]

 [[486 269]]

 [[519 269]]

 [[519 147]]]","(502, 208)",-,-,'13,20,-,bar
8,"[[[401 149]]

 [[401 268]]

 [[433 268]]

 [[433 149]]]","(417, 208)",-,-,'13,20,-,bar
9,"[[[443 161]]

 [[443 268]]

 [[475 268]]

 [[475 161]]]","(459, 214)",-,-,'13,20,-,bar
10,"[[[616 168]]

 [[616 269]]

 [[649 269]]

 [[649 168]]]","(632, 218)",-,-,'14,20,-,bar
11,"[[[270 169]]

 [[270 268]]

 [[302 268]]

 [[302 169]]]","(286, 218)",-,-,'12,20,-,bar
12,"[[[357 180]]

 [[357 269]]

 [[389 269]]

 [[389 180]]]","(373, 224)",-,-,'13,10,-,bar
13,"[[[313 192]]

 [[313 268]]

 [[345 268]]

 [[345 192]]]","(329, 230)",-,-,'12,10,-,bar
14,"[[[660 236]]

 [[660 268]]

 [[692 268]]

 [[692 236]]]","(676, 252)",-,-,'14,10,-,bar
15,"[[[703 271]]

 [[703 325]]

 [[735 325]]

 [[735 271]]]","(719, 298)",-,-,'15,0,-,bar
16,"[[[747 271]]

 [[747 407]]

 [[779 407]]

 [[779 271]]]","(763, 339)",-,-,'15,0,-,bar
17,"[[[790 271]]

 [[790 419]]

 [[822 419]]

 [[822 271]]]","(806, 345)",-,-,'15,0,-,bar
18,"[[[833 271]]

 [[833 402]]

 [[865 402]]

 [[865 271]]]","(849, 336)",-,-,'15,0,-,bar
19,"[[[876 271]]

 [[876 360]]

 [[909 360]]

 [[909 271]]]","(892, 315)",-,-,'15,0,-,bar
