id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[ 69  21]]

 [[ 69 163]]

 [[ 84 163]]

 [[ 84  21]]]","(76, 92)",-,-,'06,5.0%,-,bar
1,"[[[554  30]]

 [[554 163]]

 [[569 163]]

 [[569  30]]]","(561, 96)",-,-,'12,5.0%,-,bar
2,"[[[765  30]]

 [[765 163]]

 [[780 163]]

 [[780  30]]]","(772, 96)",-,-,'14,5.0%,-,bar
3,"[[[786  39]]

 [[786 163]]

 [[801 163]]

 [[801  39]]]","(793, 101)",-,-,'14,5.0%,-,bar
4,"[[[385  49]]

 [[385 163]]

 [[400 163]]

 [[400  49]]]","(392, 106)",-,-,'10,5.0%,-,bar
5,"[[[427  49]]

 [[427 163]]

 [[442 163]]

 [[442  49]]]","(434, 106)",-,-,'10,5.0%,-,bar
6,"[[[850  49]]

 [[850 163]]

 [[865 163]]

 [[865  49]]]","(857, 106)",-,-,'15,5.0%,-,bar
7,"[[[723  52]]

 [[723 163]]

 [[738 163]]

 [[738  52]]]","(730, 107)",-,-,'14,5.0%,-,bar
8,"[[[132  71]]

 [[132 163]]

 [[147 163]]

 [[147  71]]]","(139, 117)",-,-,'07,2.5,-,bar
9,"[[[174  74]]

 [[174 163]]

 [[189 163]]

 [[189  74]]]","(181, 118)",-,-,'07,2.5,-,bar
10,"[[[702  77]]

 [[702 163]]

 [[717 163]]

 [[717  77]]]","(709, 120)",-,-,'13,2.5,-,bar
11,"[[[512  78]]

 [[512 163]]

 [[527 163]]

 [[527  78]]]","(519, 120)",-,-,'11,2.5,-,bar
12,"[[[448  84]]

 [[448 163]]

 [[464 163]]

 [[464  84]]]","(456, 123)",-,-,'10,2.5,-,bar
13,"[[[195  85]]

 [[195 163]]

 [[210 163]]

 [[210  85]]]","(202, 124)",-,-,'07,2.5,-,bar
14,"[[[575  86]]

 [[575 163]]

 [[590 163]]

 [[590  86]]]","(582, 124)",-,-,'12,2.5,-,bar
15,"[[[470  90]]

 [[470 163]]

 [[485 163]]

 [[485  90]]]","(477, 126)",-,-,'11,2.5,-,bar
16,"[[[808 104]]

 [[808 163]]

 [[823 163]]

 [[823 104]]]","(815, 133)",-,-,'15,2.5,-,bar
17,"[[[259 106]]

 [[259 163]]

 [[274 163]]

 [[274 106]]]","(266, 134)",-,-,'08,2.5,-,bar
18,"[[[871 107]]

 [[871 163]]

 [[886 163]]

 [[886 107]]]","(878, 135)",-,-,'15,2.5,-,bar
19,"[[[596 109]]

 [[596 163]]

 [[612 163]]

 [[612 109]]]","(604, 136)",-,-,'12,2.5,-,bar
20,"[[[660 109]]

 [[660 163]]

 [[675 163]]

 [[675 109]]]","(667, 136)",-,-,'13,2.5,-,bar
21,"[[[407 114]]

 [[407 163]]

 [[422 163]]

 [[422 114]]]","(414, 138)",-,-,'10,2.5,-,bar
22,"[[[216 123]]

 [[216 163]]

 [[232 163]]

 [[232 123]]]","(224, 143)",-,-,'08,2.5,-,bar
23,"[[[364 127]]

 [[364 163]]

 [[379 163]]

 [[379 127]]]","(371, 145)",-,-,'09,0,-,bar
24,"[[[ 89 130]]

 [[ 89 163]]

 [[105 163]]

 [[105 130]]]","(97, 146)",-,-,'06,0,-,bar
25,"[[[680 132]]

 [[680 164]]

 [[681 163]]

 [[696 163]]

 [[696 132]]]","(688, 147)",-,-,'13,0,-,bar
26,"[[[533 140]]

 [[533 163]]

 [[548 163]]

 [[548 140]]]","(540, 151)",-,-,'11,0,-,bar
27,"[[[892 145]]

 [[892 163]]

 [[907 163]]

 [[907 145]]]","(899, 154)",-,-,'15,0,-,bar
28,"[[[829 146]]

 [[829 163]]

 [[844 163]]

 [[844 146]]]","(836, 154)",-,-,'15,0,-,bar
29,"[[[617 151]]

 [[617 163]]

 [[633 163]]

 [[633 151]]]","(625, 157)",-,-,'12,0,-,bar
30,"[[[110 154]]

 [[110 163]]

 [[126 163]]

 [[126 154]]]","(118, 158)",-,-,'06,0,-,bar
31,"[[[153 158]]

 [[153 163]]

 [[168 163]]

 [[168 158]]]","(160, 160)",-,-,'07,0,-,bar
32,"[[[238 165]]

 [[238 242]]

 [[253 242]]

 [[253 165]]]","(245, 203)",-,-,'08,0,-,bar
33,"[[[280 165]]

 [[280 219]]

 [[295 219]]

 [[295 165]]]","(287, 192)",-,-,'08,0,-,bar
34,"[[[301 165]]

 [[301 405]]

 [[316 405]]

 [[316 165]]]","(308, 285)",-,-,'09,0,-,bar
35,"[[[322 165]]

 [[322 323]]

 [[337 323]]

 [[337 165]]]","(329, 244)",-,-,'09,0,-,bar
36,"[[[343 165]]

 [[343 179]]

 [[358 179]]

 [[358 165]]]","(350, 172)",-,-,'09,0,-,bar
37,"[[[491 165]]

 [[491 208]]

 [[506 208]]

 [[506 165]]]","(498, 186)",-,-,'11,0,-,bar
38,"[[[744 165]]

 [[744 190]]

 [[760 190]]

 [[760 165]]]","(752, 177)",-,-,'14,0,-,bar
