id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[161  45]]

 [[161  60]]

 [[804  60]]

 [[804  45]]]","(482, 52)",-,-,-,Iowa,-,bar
1,"[[[161  77]]

 [[161  92]]

 [[704  92]]

 [[704  77]]]","(432, 84)",-,-,-,California,-,bar
2,"[[[161 109]]

 [[161 124]]

 [[528 124]]

 [[528 109]]]","(344, 116)",-,-,-,Wisconsin,-,bar
3,"[[[161 141]]

 [[161 156]]

 [[456 156]]

 [[456 141]]]","(308, 148)",-,-,-,Nebraska,-,bar
4,"[[[161 173]]

 [[161 188]]

 [[431 188]]

 [[431 173]]]","(296, 180)",-,-,-,Illinois,-,bar
5,"[[[161 205]]

 [[161 220]]

 [[418 220]]

 [[418 205]]]","(289, 212)",-,-,-,Minnesota,-,bar
6,"[[[161 237]]

 [[161 252]]

 [[350 252]]

 [[350 237]]]","(255, 244)",-,-,-,North Carolina,-,bar
7,"[[[161 269]]

 [[161 284]]

 [[346 284]]

 [[346 269]]]","(253, 276)",-,-,-,Texas,-,bar
8,"[[[161 301]]

 [[161 316]]

 [[344 316]]

 [[344 301]]]","(252, 308)",-,-,-,Indiana,-,bar
9,"[[[161 333]]

 [[161 349]]

 [[340 349]]

 [[340 333]]]","(250, 341)",-,-,-,Kansas,-,bar
