id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[128  52]]

 [[128 205]]

 [[143 205]]

 [[143  52]]]","(135, 128)",-,-,'06,4,-,bar
1,"[[[603  62]]

 [[603 205]]

 [[618 205]]

 [[618  62]]]","(610, 133)",-,-,'12,4,-,bar
2,"[[[810  62]]

 [[810 205]]

 [[825 205]]

 [[825  62]]]","(817, 133)",-,-,'14,4,-,bar
3,"[[[ 45  71]]

 [[ 45 205]]

 [[ 60 205]]

 [[ 60  71]]]","(52, 138)",-,-,'05,4,-,bar
4,"[[[830  71]]

 [[830 205]]

 [[845 205]]

 [[845  71]]]","(837, 138)",-,-,'14,4,-,bar
5,"[[[438  84]]

 [[438 205]]

 [[453 205]]

 [[453  84]]]","(445, 144)",-,-,'10,4,-,bar
6,"[[[479  84]]

 [[479 205]]

 [[494 205]]

 [[494  84]]]","(486, 144)",-,-,'10,4,-,bar
7,"[[[892  84]]

 [[892 205]]

 [[907 205]]

 [[907  84]]]","(899, 144)",-,-,'15,4,-,bar
8,"[[[769  87]]

 [[769 205]]

 [[783 205]]

 [[783  87]]]","(776, 146)",-,-,'14,4,-,bar
9,"[[[ 86 100]]

 [[ 86 205]]

 [[101 205]]

 [[101 100]]]","(93, 152)",-,-,'05,4,-,bar
10,"[[[190 106]]

 [[190 205]]

 [[205 205]]

 [[205 106]]]","(197, 155)",-,-,'07,4,-,bar
11,"[[[231 109]]

 [[231 205]]

 [[246 205]]

 [[246 109]]]","(238, 157)",-,-,'07,4,-,bar
12,"[[[748 112]]

 [[748 205]]

 [[763 205]]

 [[763 112]]]","(755, 158)",-,-,'13,2,-,bar
13,"[[[562 116]]

 [[562 205]]

 [[576 205]]

 [[576 116]]]","(569, 160)",-,-,'11,2,-,bar
14,"[[[252 122]]

 [[252 205]]

 [[266 205]]

 [[266 122]]]","(259, 163)",-,-,'07,2,-,bar
15,"[[[500 122]]

 [[500 205]]

 [[514 205]]

 [[514 122]]]","(507, 163)",-,-,'10,2,-,bar
16,"[[[624 122]]

 [[624 205]]

 [[639 205]]

 [[639 122]]]","(631, 163)",-,-,'12,2,-,bar
17,"[[[520 128]]

 [[520 205]]

 [[535 205]]

 [[535 128]]]","(527, 166)",-,-,'11,2,-,bar
18,"[[[107 135]]

 [[107 205]]

 [[122 205]]

 [[122 135]]]","(114, 170)",-,-,'06,2,-,bar
19,"[[[ 66 141]]

 [[ 66 205]]

 [[ 80 205]]

 [[ 80 141]]]","(73, 173)",-,-,'05,2,-,bar
20,"[[[851 141]]

 [[851 205]]

 [[866 205]]

 [[866 141]]]","(858, 173)",-,-,'15,2,-,bar
21,"[[[314 144]]

 [[314 205]]

 [[329 205]]

 [[329 144]]]","(321, 174)",-,-,'08,2,-,bar
22,"[[[645 147]]

 [[645 205]]

 [[659 205]]

 [[659 147]]]","(652, 176)",-,-,'12,2,-,bar
23,"[[[707 147]]

 [[707 205]]

 [[722 205]]

 [[722 147]]]","(714, 176)",-,-,'13,2,-,bar
24,"[[[459 154]]

 [[459 205]]

 [[473 205]]

 [[473 154]]]","(466, 179)",-,-,'10,2,-,bar
25,"[[[272 163]]

 [[272 205]]

 [[287 205]]

 [[287 163]]]","(279, 184)",-,-,'08,2,-,bar
26,"[[[417 166]]

 [[417 205]]

 [[432 205]]

 [[432 166]]]","(424, 185)",-,-,'09,2,-,bar
27,"[[[148 170]]

 [[148 205]]

 [[163 205]]

 [[163 170]]]","(155, 187)",-,-,'06,2,-,bar
28,"[[[727 173]]

 [[727 205]]

 [[742 205]]

 [[742 173]]]","(734, 189)",-,-,'13,2,-,bar
29,"[[[582 182]]

 [[582 205]]

 [[597 205]]

 [[597 182]]]","(589, 193)",-,-,'11,0,-,bar
30,"[[[872 189]]

 [[872 205]]

 [[887 205]]

 [[887 189]]]","(879, 197)",-,-,'15,0,-,bar
31,"[[[665 192]]

 [[665 205]]

 [[680 205]]

 [[680 192]]]","(672, 198)",-,-,'12,0,-,bar
32,"[[[169 195]]

 [[169 205]]

 [[184 205]]

 [[184 195]]]","(176, 200)",-,-,'06,0,-,bar
33,"[[[210 201]]

 [[210 205]]

 [[225 205]]

 [[225 201]]]","(217, 203)",-,-,'07,0,-,bar
34,"[[[293 207]]

 [[293 291]]

 [[308 291]]

 [[308 207]]]","(300, 249)",-,-,'08,0,-,bar
35,"[[[355 207]]

 [[355 465]]

 [[370 465]]

 [[370 207]]]","(362, 336)",-,-,'09,0,-,bar
36,"[[[376 207]]

 [[376 376]]

 [[391 376]]

 [[391 207]]]","(383, 291)",-,-,'09,0,-,bar
37,"[[[396 207]]

 [[396 221]]

 [[412 221]]

 [[412 207]]]","(404, 214)",-,-,'09,0,-,bar
38,"[[[541 207]]

 [[541 253]]

 [[557 253]]

 [[557 207]]]","(549, 230)",-,-,'11,0,-,bar
39,"[[[334 208]]

 [[334 265]]

 [[349 265]]

 [[349 208]]]","(341, 236)",-,-,'08,0,-,bar
40,"[[[789 208]]

 [[789 233]]

 [[804 233]]

 [[804 208]]]","(796, 220)",-,-,'14,0,-,bar
