id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[598  51]]

 [[598 281]]

 [[613 281]]

 [[613  51]]]","(605, 166)",-,-,'11,$15 billion,-,bar
1,"[[[389 110]]

 [[389 281]]

 [[404 281]]

 [[404 110]]]","(396, 195)",-,-,'09,10,-,bar
2,"[[[473 136]]

 [[473 281]]

 [[488 281]]

 [[488 136]]]","(480, 208)",-,-,'10,10,-,bar
3,"[[[892 147]]

 [[892 281]]

 [[907 281]]

 [[907 147]]]","(899, 214)",-,-,'15,10,-,bar
4,"[[[724 151]]

 [[724 281]]

 [[739 281]]

 [[739 151]]]","(731, 216)",-,-,'13,5,-,bar
5,"[[[557 152]]

 [[557 281]]

 [[572 281]]

 [[572 152]]]","(564, 216)",-,-,'11,5,-,bar
6,"[[[577 152]]

 [[577 281]]

 [[592 281]]

 [[592 152]]]","(584, 216)",-,-,'11,5,-,bar
7,"[[[745 154]]

 [[745 281]]

 [[760 281]]

 [[760 154]]]","(752, 217)",-,-,'13,5,-,bar
8,"[[[221 159]]

 [[221 281]]

 [[236 281]]

 [[236 159]]]","(228, 220)",-,-,'07,5,-,bar
9,"[[[640 160]]

 [[640 281]]

 [[655 281]]

 [[655 160]]]","(647, 220)",-,-,'12,5,-,bar
10,"[[[493 167]]

 [[493 281]]

 [[508 281]]

 [[508 167]]]","(500, 224)",-,-,'10,5,-,bar
11,"[[[829 170]]

 [[829 281]]

 [[844 281]]

 [[844 170]]]","(836, 225)",-,-,'14,5,-,bar
12,"[[[242 174]]

 [[242 281]]

 [[257 281]]

 [[257 174]]]","(249, 227)",-,-,'07,5,-,bar
13,"[[[808 175]]

 [[808 281]]

 [[823 281]]

 [[823 175]]]","(815, 228)",-,-,'14,5,-,bar
14,"[[[347 177]]

 [[347 281]]

 [[362 281]]

 [[362 177]]]","(354, 229)",-,-,'08,5,-,bar
15,"[[[137 182]]

 [[137 281]]

 [[152 281]]

 [[152 182]]]","(144, 231)",-,-,'06,5,-,bar
16,"[[[850 182]]

 [[850 281]]

 [[865 281]]

 [[865 182]]]","(857, 231)",-,-,'14,5,-,bar
17,"[[[430 183]]

 [[430 281]]

 [[445 281]]

 [[445 183]]]","(437, 232)",-,-,'09,5,-,bar
18,"[[[682 190]]

 [[682 281]]

 [[697 281]]

 [[697 190]]]","(689, 235)",-,-,'12,5,-,bar
19,"[[[410 191]]

 [[410 281]]

 [[425 281]]

 [[425 191]]]","(417, 236)",-,-,'09,5,-,bar
20,"[[[ 95 197]]

 [[ 95 281]]

 [[110 281]]

 [[110 197]]]","(102, 239)",-,-,'05,5,-,bar
21,"[[[158 200]]

 [[158 281]]

 [[173 281]]

 [[173 200]]]","(165, 240)",-,-,'06,5,-,bar
22,"[[[179 204]]

 [[179 281]]

 [[194 281]]

 [[194 204]]]","(186, 242)",-,-,'06,5,-,bar
23,"[[[766 204]]

 [[766 281]]

 [[781 281]]

 [[781 204]]]","(773, 242)",-,-,'13,5,-,bar
24,"[[[ 53 206]]

 [[ 53 281]]

 [[ 68 281]]

 [[ 68 206]]]","(60, 243)",-,-,'05,5,-,bar
25,"[[[703 206]]

 [[703 281]]

 [[718 281]]

 [[718 206]]]","(710, 243)",-,-,'13,5,-,bar
26,"[[[871 206]]

 [[871 281]]

 [[886 281]]

 [[886 206]]]","(878, 243)",-,-,'15,5,-,bar
27,"[[[514 209]]

 [[514 281]]

 [[529 281]]

 [[529 209]]]","(521, 245)",-,-,'10,5,-,bar
28,"[[[200 214]]

 [[200 281]]

 [[215 281]]

 [[215 214]]]","(207, 247)",-,-,'07,5,-,bar
29,"[[[535 222]]

 [[535 281]]

 [[550 281]]

 [[550 222]]]","(542, 251)",-,-,'11,5,-,bar
30,"[[[116 229]]

 [[116 281]]

 [[131 281]]

 [[131 229]]]","(123, 255)",-,-,'06,5,-,bar
31,"[[[787 232]]

 [[787 281]]

 [[802 281]]

 [[802 232]]]","(794, 256)",-,-,'14,5,-,bar
32,"[[[619 239]]

 [[619 281]]

 [[634 281]]

 [[634 239]]]","(626, 260)",-,-,'12,0,-,bar
33,"[[[262 243]]

 [[262 282]]

 [[278 282]]

 [[278 243]]]","(270, 262)",-,-,'07,0,-,bar
34,"[[[ 74 248]]

 [[ 74 281]]

 [[ 89 281]]

 [[ 89 248]]]","(81, 264)",-,-,'05,0,-,bar
35,"[[[661 248]]

 [[661 281]]

 [[676 281]]

 [[676 248]]]","(668, 264)",-,-,'12,0,-,bar
36,"[[[451 250]]

 [[451 282]]

 [[467 282]]

 [[467 250]]]","(459, 266)",-,-,'10,0,-,bar
37,"[[[325 255]]

 [[325 282]]

 [[341 282]]

 [[341 255]]]","(333, 268)",-,-,'08,0,-,bar
38,"[[[305 264]]

 [[305 281]]

 [[320 281]]

 [[320 264]]]","(312, 272)",-,-,'08,0,-,bar
39,"[[[284 284]]

 [[284 459]]

 [[299 459]]

 [[299 284]]]","(291, 371)",-,-,'08,0,-,bar
40,"[[[368 284]]

 [[368 444]]

 [[383 444]]

 [[383 284]]]","(375, 364)",-,-,'09,0,-,bar
