id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[174  45]]

 [[174  60]]

 [[805  60]]

 [[805  45]]]","(489, 52)",-,-,-,Ireland,-,bar
1,"[[[174  77]]

 [[174  92]]

 [[629  92]]

 [[629  77]]]","(401, 84)",-,-,-,Canada,-,bar
2,"[[[174 109]]

 [[174 124]]

 [[604 124]]

 [[604 109]]]","(389, 116)",-,-,-,Germany,-,bar
3,"[[[174 141]]

 [[174 156]]

 [[587 156]]

 [[587 141]]]","(380, 148)",-,-,-,Japan,-,bar
4,"[[[174 173]]

 [[174 188]]

 [[535 188]]

 [[535 173]]]","(354, 180)",-,-,-,United Kingdom,-,bar
5,"[[[174 205]]

 [[174 220]]

 [[427 220]]

 [[427 205]]]","(300, 212)",-,-,-,Switzerland,-,bar
6,"[[[174 237]]

 [[174 252]]

 [[306 252]]

 [[306 237]]]","(240, 244)",-,-,-,Netherlands,-,bar
7,"[[[174 269]]

 [[174 284]]

 [[290 284]]

 [[290 269]]]","(232, 276)",-,-,-,Singapore,-,bar
8,"[[[174 301]]

 [[174 316]]

 [[272 316]]

 [[272 301]]]","(223, 308)",-,-,-,Hong Kong,-,bar
9,"[[[174 333]]

 [[174 349]]

 [[245 349]]

 [[245 333]]]","(209, 341)",-,-,-,France,-,bar
