id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[206  45]]

 [[206  60]]

 [[853  60]]

 [[853  45]]]","(529, 52)",-,-,-,Netflix,-,bar
1,"[[[206  77]]

 [[206  92]]

 [[481  92]]

 [[481  77]]]","(343, 84)",-,-,-,YouTube,-,bar
2,"[[[206 109]]

 [[206 124]]

 [[311 124]]

 [[311 109]]]","(258, 116)",-,-,-,HTTP (other web),-,bar
3,"[[[206 141]]

 [[206 156]]

 [[265 156]]

 [[265 141]]]","(235, 148)",-,-,-,iTunes,-,bar
4,"[[[206 173]]

 [[206 188]]

 [[254 188]]

 [[254 173]]]","(230, 180)",-,-,-,BitTorrent,-,bar
5,"[[[206 205]]

 [[206 220]]

 [[252 220]]

 [[252 205]]]","(229, 212)",-,-,-,Facebook,-,bar
6,"[[[206 237]]

 [[206 252]]

 [[242 252]]

 [[242 237]]]","(224, 244)",-,-,-,MPEG (other video),-,bar
7,"[[[206 269]]

 [[206 285]]

 [[240 285]]

 [[240 269]]]","(223, 277)",-,-,-,Amazon Video,-,bar
8,"[[[206 301]]

 [[206 317]]

 [[238 317]]

 [[238 301]]]","(222, 309)",-,-,-,Hulu,-,bar
9,"[[[206 333]]

 [[206 349]]

 [[238 349]]

 [[238 333]]]","(222, 341)",-,-,-,SSL (other secure),-,bar
