id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[784  20]]

 [[784 269]]

 [[800 269]]

 [[800  20]]]","(792, 144)",-,-,'14,20%,-,bar
1,"[[[ 53  21]]

 [[ 53 269]]

 [[ 69 269]]

 [[ 69  21]]]","(61, 145)",-,-,'06,20%,-,bar
2,"[[[763  52]]

 [[763 268]]

 [[778 268]]

 [[778  52]]]","(770, 160)",-,-,'14,15,-,bar
3,"[[[806  67]]

 [[806 268]]

 [[821 268]]

 [[821  67]]]","(813, 167)",-,-,'15,15,-,bar
4,"[[[ 74  87]]

 [[ 74 269]]

 [[ 90 269]]

 [[ 90  87]]]","(82, 178)",-,-,'06,15,-,bar
5,"[[[741 101]]

 [[741 269]]

 [[757 269]]

 [[757 101]]]","(749, 185)",-,-,'14,15,-,bar
6,"[[[569 110]]

 [[569 269]]

 [[585 269]]

 [[585 110]]]","(577, 189)",-,-,'12,15,-,bar
7,"[[[462 111]]

 [[462 268]]

 [[477 268]]

 [[477 111]]]","(469, 189)",-,-,'11,15,-,bar
8,"[[[182 114]]

 [[182 268]]

 [[197 268]]

 [[197 114]]]","(189, 191)",-,-,'07,10,-,bar
9,"[[[483 114]]

 [[483 269]]

 [[499 269]]

 [[499 114]]]","(491, 191)",-,-,'11,10,-,bar
10,"[[[ 96 124]]

 [[ 96 268]]

 [[111 268]]

 [[111 124]]]","(103, 196)",-,-,'06,10,-,bar
11,"[[[160 124]]

 [[160 269]]

 [[176 269]]

 [[176 124]]]","(168, 196)",-,-,'07,10,-,bar
12,"[[[526 128]]

 [[526 268]]

 [[541 268]]

 [[541 128]]]","(533, 198)",-,-,'11,10,-,bar
13,"[[[440 129]]

 [[440 268]]

 [[455 268]]

 [[455 129]]]","(447, 198)",-,-,'10,10,-,bar
14,"[[[548 130]]

 [[548 268]]

 [[563 268]]

 [[563 130]]]","(555, 199)",-,-,'12,10,-,bar
15,"[[[203 136]]

 [[203 269]]

 [[219 269]]

 [[219 136]]]","(211, 202)",-,-,'08,10,-,bar
16,"[[[827 139]]

 [[827 269]]

 [[843 269]]

 [[843 139]]]","(835, 204)",-,-,'15,10,-,bar
17,"[[[225 142]]

 [[225 269]]

 [[241 269]]

 [[241 142]]]","(233, 205)",-,-,'08,10,-,bar
18,"[[[118 143]]

 [[118 268]]

 [[133 268]]

 [[133 143]]]","(125, 205)",-,-,'07,10,-,bar
19,"[[[505 144]]

 [[505 268]]

 [[520 268]]

 [[520 144]]]","(512, 206)",-,-,'11,10,-,bar
20,"[[[720 153]]

 [[720 268]]

 [[735 268]]

 [[735 153]]]","(727, 210)",-,-,'14,10,-,bar
21,"[[[419 161]]

 [[419 268]]

 [[434 268]]

 [[434 161]]]","(426, 214)",-,-,'10,10,-,bar
22,"[[[139 166]]

 [[139 269]]

 [[155 269]]

 [[155 166]]]","(147, 217)",-,-,'07,10,-,bar
23,"[[[591 170]]

 [[591 268]]

 [[606 268]]

 [[606 170]]]","(598, 219)",-,-,'12,10,-,bar
24,"[[[247 181]]

 [[247 268]]

 [[262 268]]

 [[262 181]]]","(254, 224)",-,-,'08,5,-,bar
25,"[[[698 192]]

 [[698 269]]

 [[714 269]]

 [[714 192]]]","(706, 230)",-,-,'13,5,-,bar
26,"[[[677 201]]

 [[677 268]]

 [[692 268]]

 [[692 201]]]","(684, 234)",-,-,'13,5,-,bar
27,"[[[612 210]]

 [[612 269]]

 [[628 269]]

 [[628 210]]]","(620, 239)",-,-,'12,5,-,bar
28,"[[[397 216]]

 [[397 269]]

 [[413 269]]

 [[413 216]]]","(405, 242)",-,-,'10,5,-,bar
29,"[[[849 217]]

 [[849 268]]

 [[864 268]]

 [[864 217]]]","(856, 242)",-,-,'15,5,-,bar
30,"[[[634 223]]

 [[634 268]]

 [[649 268]]

 [[649 223]]]","(641, 245)",-,-,'13,5,-,bar
31,"[[[290 227]]

 [[290 268]]

 [[305 268]]

 [[305 227]]]","(297, 247)",-,-,'09,5,-,bar
32,"[[[268 232]]

 [[268 268]]

 [[283 268]]

 [[283 232]]]","(275, 250)",-,-,'08,5,-,bar
33,"[[[354 237]]

 [[354 268]]

 [[369 268]]

 [[369 237]]]","(361, 252)",-,-,'09,5,-,bar
34,"[[[870 238]]

 [[870 269]]

 [[886 269]]

 [[886 238]]]","(878, 253)",-,-,'15,0,-,bar
35,"[[[311 243]]

 [[311 269]]

 [[327 269]]

 [[327 243]]]","(319, 256)",-,-,'09,0,-,bar
36,"[[[376 246]]

 [[376 268]]

 [[391 268]]

 [[391 246]]]","(383, 257)",-,-,'10,0,-,bar
37,"[[[333 250]]

 [[333 268]]

 [[348 268]]

 [[348 250]]]","(340, 259)",-,-,'09,0,-,bar
38,"[[[655 258]]

 [[655 269]]

 [[671 269]]

 [[671 258]]]","(663, 263)",-,-,'13,0,-,bar
39,"[[[892 271]]

 [[892 454]]

 [[907 454]]

 [[907 271]]]","(899, 362)",-,-,'15,0,-,bar
