id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[771 101]]

 [[771 459]]

 [[819 459]]

 [[819 101]]]","(795, 280)",Familiar with P2P lodging,[209  80   0],Q4,30,-,bar
1,"[[[528 111]]

 [[528 459]]

 [[576 459]]

 [[576 111]]]","(552, 285)",Familiar with P2P lodging,[209  80   0],Q3,30,-,bar
2,"[[[289 152]]

 [[289 459]]

 [[338 459]]

 [[338 152]]]","(313, 305)",Familiar with P2P lodging,[209  80   0],Q2,30,-,bar
3,"[[[ 54 214]]

 [[ 54 459]]

 [[102 459]]

 [[102 214]]]","(78, 336)",Familiar with P2P lodging,[209  80   0],2015,20,-,bar
4,"[[[611 297]]

 [[611 459]]

 [[659 459]]

 [[659 297]]]","(635, 378)",Used for leisure in last year,[229 178  81],Q3,20,-,bar
5,"[[[855 297]]

 [[855 459]]

 [[903 459]]

 [[903 297]]]","(879, 378)",Used for leisure in last year,[229 178  81],Q4,20,-,bar
6,"[[[373 338]]

 [[373 459]]

 [[421 459]]

 [[421 338]]]","(397, 398)",Used for leisure in last year,[229 178  81],Q2,10,-,bar
7,"[[[137 348]]

 [[137 459]]

 [[185 459]]

 [[185 348]]]","(161, 403)",Used for leisure in last year,[229 178  81],2015,10,-,bar
8,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Familiar with P2P lodging,legend
9,"[[[257  11]]

 [[257  21]]

 [[268  21]]

 [[268  11]]]","(262, 16)",-,"(229, 178, 81)",-,-,Used for leisure in last year,legend
