id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[ 45  71]]

 [[ 45 459]]

 [[ 83 459]]

 [[ 83  71]]]","(64, 265)",-,-,'00,20%,-,bar
1,"[[[871  86]]

 [[871 459]]

 [[909 459]]

 [[909  86]]]","(890, 272)",-,-,'14,15,-,bar
2,"[[[819 119]]

 [[819 459]]

 [[858 459]]

 [[858 119]]]","(838, 289)",-,-,'14,15,-,bar
3,"[[[ 96 128]]

 [[ 96 459]]

 [[135 459]]

 [[135 128]]]","(115, 293)",-,-,'00,15,-,bar
4,"[[[768 148]]

 [[768 459]]

 [[806 459]]

 [[806 148]]]","(787, 303)",-,-,'12,15,-,bar
5,"[[[716 186]]

 [[716 459]]

 [[754 459]]

 [[754 186]]]","(735, 322)",-,-,'12,10,-,bar
6,"[[[148 195]]

 [[148 459]]

 [[186 459]]

 [[186 195]]]","(167, 327)",-,-,'00,10,-,bar
7,"[[[664 219]]

 [[664 459]]

 [[703 459]]

 [[703 219]]]","(683, 339)",-,-,'10,10,-,bar
8,"[[[200 239]]

 [[200 459]]

 [[238 459]]

 [[238 239]]]","(219, 349)",-,-,'02,10,-,bar
9,"[[[613 253]]

 [[613 459]]

 [[651 459]]

 [[651 253]]]","(632, 356)",-,-,'10,10,-,bar
10,"[[[251 259]]

 [[251 459]]

 [[290 459]]

 [[290 259]]]","(270, 359)",-,-,'02,10,-,bar
11,"[[[355 266]]

 [[355 459]]

 [[393 459]]

 [[393 266]]]","(374, 362)",-,-,'04,10,-,bar
12,"[[[303 268]]

 [[303 459]]

 [[341 459]]

 [[341 268]]]","(322, 363)",-,-,'04,10,-,bar
13,"[[[406 268]]

 [[406 459]]

 [[445 459]]

 [[445 268]]]","(425, 363)",-,-,'06,10,-,bar
14,"[[[458 268]]

 [[458 459]]

 [[496 459]]

 [[496 268]]]","(477, 363)",-,-,'06,10,-,bar
15,"[[[509 268]]

 [[509 459]]

 [[548 459]]

 [[548 268]]]","(528, 363)",-,-,'08,10,-,bar
16,"[[[561 275]]

 [[561 459]]

 [[599 459]]

 [[599 275]]]","(580, 367)",-,-,'08,10,-,bar
