id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[225  17]]

 [[225 237]]

 [[258 237]]

 [[258  17]]]","(241, 127)",-,-,'00,10%,-,bar
1,"[[[529  51]]

 [[529 237]]

 [[561 237]]

 [[561  51]]]","(545, 144)",-,-,'06,10%,-,bar
2,"[[[486  57]]

 [[486 237]]

 [[518 237]]

 [[518  57]]]","(502, 147)",-,-,'06,10%,-,bar
3,"[[[356  77]]

 [[356 237]]

 [[388 237]]

 [[388  77]]]","(372, 157)",-,-,'02,5,-,bar
4,"[[[399  79]]

 [[399 237]]

 [[431 237]]

 [[431  79]]]","(415, 158)",-,-,'04,5,-,bar
5,"[[[182  97]]

 [[182 237]]

 [[214 237]]

 [[214  97]]]","(198, 167)",-,-,'98,5,-,bar
6,"[[[442  97]]

 [[442 237]]

 [[475 237]]

 [[475  97]]]","(458, 167)",-,-,'04,5,-,bar
7,"[[[573 124]]

 [[573 237]]

 [[605 237]]

 [[605 124]]]","(589, 180)",-,-,'08,5,-,bar
8,"[[[269 126]]

 [[269 237]]

 [[301 237]]

 [[301 126]]]","(285, 181)",-,-,'00,5,-,bar
9,"[[[312 135]]

 [[312 237]]

 [[344 237]]

 [[344 135]]]","(328, 186)",-,-,'02,5,-,bar
10,"[[[659 139]]

 [[659 237]]

 [[692 237]]

 [[692 139]]]","(675, 188)",-,-,'10,5,-,bar
11,"[[[703 144]]

 [[703 237]]

 [[735 237]]

 [[735 144]]]","(719, 190)",-,-,'10,5,-,bar
12,"[[[746 162]]

 [[746 237]]

 [[778 237]]

 [[778 162]]]","(762, 199)",-,-,'12,5,-,bar
13,"[[[ 95 208]]

 [[ 95 237]]

 [[128 237]]

 [[128 208]]]","(111, 222)",-,-,'96,0,-,bar
14,"[[[790 211]]

 [[790 237]]

 [[822 237]]

 [[822 211]]]","(806, 224)",-,-,'12,0,-,bar
15,"[[[833 224]]

 [[833 237]]

 [[865 237]]

 [[865 224]]]","(849, 230)",-,-,'14,0,-,bar
16,"[[[ 52 239]]

 [[ 52 317]]

 [[ 84 317]]

 [[ 84 239]]]","(68, 278)",-,-,'96,0,-,bar
17,"[[[139 239]]

 [[139 354]]

 [[171 354]]

 [[171 239]]]","(155, 296)",-,-,'98,0,-,bar
18,"[[[616 239]]

 [[616 410]]

 [[648 410]]

 [[648 239]]]","(632, 324)",-,-,'08,0,-,bar
19,"[[[876 239]]

 [[876 319]]

 [[909 319]]

 [[909 239]]]","(892, 279)",-,-,'14,0,-,bar
