id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[885  82]]

 [[885 459]]

 [[908 459]]

 [[908  82]]]","(896, 270)",-,-,'15,0.75,-,bar
1,"[[[790 210]]

 [[790 459]]

 [[813 459]]

 [[813 210]]]","(801, 334)",-,-,'15,0.50,-,bar
2,"[[[758 228]]

 [[758 459]]

 [[782 459]]

 [[782 228]]]","(770, 343)",-,-,'14,0.50,-,bar
3,"[[[727 231]]

 [[727 459]]

 [[750 459]]

 [[750 231]]]","(738, 345)",-,-,'14,0.50,-,bar
4,"[[[822 239]]

 [[822 459]]

 [[845 459]]

 [[845 239]]]","(833, 349)",-,-,'15,0.50,-,bar
5,"[[[853 248]]

 [[853 459]]

 [[876 459]]

 [[876 248]]]","(864, 353)",-,-,'15,0.50,-,bar
6,"[[[664 257]]

 [[664 459]]

 [[687 459]]

 [[687 257]]]","(675, 358)",-,-,'14,0.50,-,bar
7,"[[[379 264]]

 [[379 459]]

 [[403 459]]

 [[403 264]]]","(391, 361)",-,-,'11,0.50,-,bar
8,"[[[632 273]]

 [[632 459]]

 [[655 459]]

 [[655 273]]]","(643, 366)",-,-,'13,0.50,-,bar
9,"[[[601 301]]

 [[601 459]]

 [[624 459]]

 [[624 301]]]","(612, 380)",-,-,'13,0.25,-,bar
10,"[[[538 302]]

 [[538 459]]

 [[561 459]]

 [[561 302]]]","(549, 380)",-,-,'13,0.25,-,bar
11,"[[[411 320]]

 [[411 459]]

 [[434 459]]

 [[434 320]]]","(422, 389)",-,-,'12,0.25,-,bar
12,"[[[696 326]]

 [[696 459]]

 [[719 459]]

 [[719 326]]]","(707, 392)",-,-,'14,0.25,-,bar
13,"[[[474 327]]

 [[474 459]]

 [[498 459]]

 [[498 327]]]","(486, 393)",-,-,'12,0.25,-,bar
14,"[[[443 328]]

 [[443 459]]

 [[466 459]]

 [[466 328]]]","(454, 393)",-,-,'12,0.25,-,bar
15,"[[[348 329]]

 [[348 459]]

 [[371 459]]

 [[371 329]]]","(359, 394)",-,-,'11,0.25,-,bar
16,"[[[570 342]]

 [[570 459]]

 [[593 459]]

 [[593 342]]]","(581, 400)",-,-,'13,0.25,-,bar
17,"[[[506 346]]

 [[506 459]]

 [[529 459]]

 [[529 346]]]","(517, 402)",-,-,'12,0.25,-,bar
18,"[[[253 348]]

 [[253 459]]

 [[276 459]]

 [[276 348]]]","(264, 403)",-,-,'10,0.25,-,bar
19,"[[[191 352]]

 [[191 459]]

 [[214 459]]

 [[214 352]]]","(202, 405)",-,-,'10,0.25,-,bar
20,"[[[317 358]]

 [[317 459]]

 [[340 459]]

 [[340 358]]]","(328, 408)",-,-,'11,0.25,-,bar
21,"[[[285 363]]

 [[285 459]]

 [[308 459]]

 [[308 363]]]","(296, 411)",-,-,'11,0.25,-,bar
22,"[[[159 383]]

 [[159 459]]

 [[182 459]]

 [[182 383]]]","(170, 421)",-,-,'10,0.25,-,bar
23,"[[[222 390]]

 [[222 459]]

 [[245 459]]

 [[245 390]]]","(233, 424)",-,-,'10,0.25,-,bar
24,"[[[127 397]]

 [[127 459]]

 [[150 459]]

 [[150 397]]]","(138, 428)",-,-,'09,0.25,-,bar
25,"[[[ 95 399]]

 [[ 95 459]]

 [[119 459]]

 [[119 399]]]","(107, 429)",-,-,'09,0.25,-,bar
26,"[[[ 64 403]]

 [[ 64 459]]

 [[ 88 459]]

 [[ 88 403]]]","(76, 431)",-,-,'09,0.25,-,bar
