id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[813  76]]

 [[813 253]]

 [[861 253]]

 [[861  76]]]","(837, 164)",Cost,[159  96   0],'14,$10 billion,-,bar
1,"[[[575 119]]

 [[575 253]]

 [[623 253]]

 [[623 119]]]","(599, 186)",Cost,[159  96   0],'13,5,-,bar
2,"[[[337 150]]

 [[337 253]]

 [[385 253]]

 [[385 150]]]","(361, 201)",Cost,[159  96   0],'12,5,-,bar
3,"[[[756 163]]

 [[756 253]]

 [[805 253]]

 [[805 163]]]","(780, 208)",Revenue,[229 178  81],'14,5,-,bar
4,"[[[ 99 173]]

 [[ 99 253]]

 [[147 253]]

 [[147 173]]]","(123, 213)",Cost,[159  96   0],'11,5,-,bar
5,"[[[519 192]]

 [[519 253]]

 [[567 253]]

 [[567 192]]]","(543, 222)",Revenue,[229 178  81],'13,5,-,bar
6,"[[[280 208]]

 [[280 253]]

 [[329 253]]

 [[329 208]]]","(304, 230)",Revenue,[229 178  81],'12,0,-,bar
7,"[[[ 42 223]]

 [[ 42 253]]

 [[ 91 253]]

 [[ 91 223]]]","(66, 238)",Revenue,[229 178  81],'11,0,-,bar
8,"[[[156 255]]

 [[156 303]]

 [[204 303]]

 [[204 255]]]","(180, 279)",Net loss,[135  87 171],'11,0,-,bar
9,"[[[394 255]]

 [[394 311]]

 [[442 311]]

 [[442 255]]]","(418, 283)",Net loss,[135  87 171],'12,0,-,bar
10,"[[[632 255]]

 [[632 325]]

 [[680 325]]

 [[680 255]]]","(656, 290)",Net loss,[135  87 171],'13,0,-,bar
11,"[[[870 255]]

 [[870 340]]

 [[918 340]]

 [[918 255]]]","(894, 297)",Net loss,[135  87 171],'14,0,-,bar
12,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(229, 178, 81)",-,-,Revenue,legend
13,"[[[111  11]]

 [[111  21]]

 [[122  21]]

 [[122  11]]]","(116, 16)",-,"(159, 96, 0)",-,-,Cost,legend
14,"[[[183  11]]

 [[183  21]]

 [[194  21]]

 [[194  11]]]","(188, 16)",-,"(135, 87, 171)",-,-,Net loss,legend
