id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[784  75]]

 [[784 292]]

 [[799 292]]

 [[799  75]]]","(791, 183)",-,-,'14,15,-,bar
1,"[[[ 53  76]]

 [[ 53 292]]

 [[ 68 292]]

 [[ 68  76]]]","(60, 184)",-,-,'06,15,-,bar
2,"[[[763 103]]

 [[763 292]]

 [[778 292]]

 [[778 103]]]","(770, 197)",-,-,'14,15,-,bar
3,"[[[806 116]]

 [[806 292]]

 [[821 292]]

 [[821 116]]]","(813, 204)",-,-,'15,15,-,bar
4,"[[[ 74 134]]

 [[ 74 292]]

 [[ 89 292]]

 [[ 89 134]]]","(81, 213)",-,-,'06,15,-,bar
5,"[[[741 146]]

 [[741 292]]

 [[757 292]]

 [[757 146]]]","(749, 219)",-,-,'14,15,-,bar
6,"[[[569 154]]

 [[569 292]]

 [[585 292]]

 [[585 154]]]","(577, 223)",-,-,'12,15,-,bar
7,"[[[461 155]]

 [[461 292]]

 [[477 292]]

 [[477 155]]]","(469, 223)",-,-,'11,15,-,bar
8,"[[[181 157]]

 [[181 292]]

 [[197 292]]

 [[197 157]]]","(189, 224)",-,-,'07,15,-,bar
9,"[[[483 157]]

 [[483 292]]

 [[499 292]]

 [[499 157]]]","(491, 224)",-,-,'11,15,-,bar
10,"[[[ 95 166]]

 [[ 95 292]]

 [[111 292]]

 [[111 166]]]","(103, 229)",-,-,'06,15,-,bar
11,"[[[160 166]]

 [[160 292]]

 [[175 292]]

 [[175 166]]]","(167, 229)",-,-,'07,15,-,bar
12,"[[[526 169]]

 [[526 292]]

 [[541 292]]

 [[541 169]]]","(533, 230)",-,-,'11,15,-,bar
13,"[[[440 171]]

 [[440 292]]

 [[455 292]]

 [[455 171]]]","(447, 231)",-,-,'10,15,-,bar
14,"[[[547 172]]

 [[547 292]]

 [[563 292]]

 [[563 172]]]","(555, 232)",-,-,'12,15,-,bar
15,"[[[203 177]]

 [[203 292]]

 [[219 292]]

 [[219 177]]]","(211, 234)",-,-,'08,15,-,bar
16,"[[[827 179]]

 [[827 292]]

 [[843 292]]

 [[843 179]]]","(835, 235)",-,-,'15,15,-,bar
17,"[[[225 182]]

 [[225 292]]

 [[240 292]]

 [[240 182]]]","(232, 237)",-,-,'08,15,-,bar
18,"[[[117 183]]

 [[117 292]]

 [[133 292]]

 [[133 183]]]","(125, 237)",-,-,'07,5,-,bar
19,"[[[504 184]]

 [[504 292]]

 [[520 292]]

 [[520 184]]]","(512, 238)",-,-,'11,5,-,bar
20,"[[[720 192]]

 [[720 292]]

 [[735 292]]

 [[735 192]]]","(727, 242)",-,-,'14,5,-,bar
21,"[[[418 198]]

 [[418 292]]

 [[434 292]]

 [[434 198]]]","(426, 245)",-,-,'10,5,-,bar
22,"[[[139 203]]

 [[139 292]]

 [[154 292]]

 [[154 203]]]","(146, 247)",-,-,'07,5,-,bar
23,"[[[591 206]]

 [[591 292]]

 [[606 292]]

 [[606 206]]]","(598, 249)",-,-,'12,5,-,bar
24,"[[[246 216]]

 [[246 292]]

 [[262 292]]

 [[262 216]]]","(254, 254)",-,-,'08,5,-,bar
25,"[[[698 226]]

 [[698 292]]

 [[713 292]]

 [[713 226]]]","(705, 259)",-,-,'13,5,-,bar
26,"[[[677 234]]

 [[677 292]]

 [[692 292]]

 [[692 234]]]","(684, 263)",-,-,'13,5,-,bar
27,"[[[612 242]]

 [[612 292]]

 [[627 292]]

 [[627 242]]]","(619, 267)",-,-,'12,5,-,bar
28,"[[[397 247]]

 [[397 292]]

 [[413 292]]

 [[413 247]]]","(405, 269)",-,-,'10,5,-,bar
29,"[[[849 247]]

 [[849 292]]

 [[864 292]]

 [[864 247]]]","(856, 269)",-,-,'15,5,-,bar
30,"[[[634 253]]

 [[634 292]]

 [[649 292]]

 [[649 253]]]","(641, 272)",-,-,'13,5,-,bar
31,"[[[289 256]]

 [[289 292]]

 [[305 292]]

 [[305 256]]]","(297, 274)",-,-,'09,5,-,bar
32,"[[[268 260]]

 [[268 292]]

 [[283 292]]

 [[283 260]]]","(275, 276)",-,-,'08,5,-,bar
33,"[[[354 265]]

 [[354 292]]

 [[369 292]]

 [[369 265]]]","(361, 278)",-,-,'09,5,-,bar
34,"[[[870 266]]

 [[870 293]]

 [[886 293]]

 [[886 266]]]","(878, 279)",-,-,'15,0,-,bar
35,"[[[311 270]]

 [[311 292]]

 [[327 292]]

 [[327 270]]]","(319, 281)",-,-,'09,0,-,bar
36,"[[[375 273]]

 [[375 292]]

 [[391 292]]

 [[391 273]]]","(383, 282)",-,-,'10,0,-,bar
37,"[[[332 276]]

 [[332 292]]

 [[348 292]]

 [[348 276]]]","(340, 284)",-,-,'09,0,-,bar
38,"[[[655 284]]

 [[655 292]]

 [[671 292]]

 [[671 284]]]","(663, 288)",-,-,'13,0,-,bar
39,"[[[892 295]]

 [[892 454]]

 [[907 454]]

 [[907 295]]]","(899, 374)",-,-,'15,0,-,bar
