id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[615  69]]

 [[615 459]]

 [[663 459]]

 [[663  69]]]","(639, 264)",Super luxury,[209  80   0],2015,15%,-,bar
1,"[[[855 181]]

 [[855 459]]

 [[903 459]]

 [[903 181]]]","(879, 320)",Super luxury,[209  80   0],2016,10,-,bar
2,"[[[375 250]]

 [[375 459]]

 [[423 459]]

 [[423 250]]]","(399, 354)",Super luxury,[209  80   0],2014,10,-,bar
3,"[[[771 308]]

 [[771 459]]

 [[819 459]]

 [[819 308]]]","(795, 383)",Total wine,[135  87 171],2016,5,-,bar
4,"[[[ 51 310]]

 [[ 51 459]]

 [[ 99 459]]

 [[ 99 310]]]","(75, 384)",Total wine,[135  87 171],2013,5,-,bar
5,"[[[531 343]]

 [[531 459]]

 [[579 459]]

 [[579 343]]]","(555, 401)",Total wine,[135  87 171],2015,5,-,bar
6,"[[[291 373]]

 [[291 459]]

 [[339 459]]

 [[339 373]]]","(315, 416)",Total wine,[135  87 171],2014,5,-,bar
7,"[[[135 420]]

 [[135 459]]

 [[183 459]]

 [[183 420]]]","(159, 439)",Super luxury,[209  80   0],2013,0,-,bar
8,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Total wine,legend
9,"[[[123  11]]

 [[123  21]]

 [[133  21]]

 [[133  11]]]","(128, 16)",-,"(229, 178, 81)",-,-,Super luxury,legend
