id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[126  21]]

 [[126 281]]

 [[141 281]]

 [[141  21]]]","(133, 151)",-,-,'07,1.570,-,bar
1,"[[[148  21]]

 [[148 281]]

 [[163 281]]

 [[163  21]]]","(155, 151)",-,-,'07,1.570,-,bar
2,"[[[541  65]]

 [[541 281]]

 [[557 281]]

 [[557  65]]]","(549, 173)",-,-,'11,1.0,-,bar
3,"[[[104  67]]

 [[104 281]]

 [[119 281]]

 [[119  67]]]","(111, 174)",-,-,'06,1.0,-,bar
4,"[[[235  76]]

 [[235 281]]

 [[251 281]]

 [[251  76]]]","(243, 178)",-,-,'08,1.0,-,bar
5,"[[[323  81]]

 [[323 281]]

 [[339 281]]

 [[339  81]]]","(331, 181)",-,-,'09,1.0,-,bar
6,"[[[585  92]]

 [[585 281]]

 [[601 281]]

 [[601  92]]]","(593, 186)",-,-,'12,1.0,-,bar
7,"[[[519  95]]

 [[519 281]]

 [[535 281]]

 [[535  95]]]","(527, 188)",-,-,'11,1.0,-,bar
8,"[[[476 104]]

 [[476 281]]

 [[492 281]]

 [[492 104]]]","(484, 192)",-,-,'11,1.0,-,bar
9,"[[[563 106]]

 [[563 281]]

 [[579 281]]

 [[579 106]]]","(571, 193)",-,-,'12,1.0,-,bar
10,"[[[191 117]]

 [[191 281]]

 [[207 281]]

 [[207 117]]]","(199, 199)",-,-,'07,1.0,-,bar
11,"[[[891 117]]

 [[891 281]]

 [[907 281]]

 [[907 117]]]","(899, 199)",-,-,'15,1.0,-,bar
12,"[[[761 120]]

 [[761 281]]

 [[776 281]]

 [[776 120]]]","(768, 200)",-,-,'14,1.0,-,bar
13,"[[[848 126]]

 [[848 281]]

 [[864 281]]

 [[864 126]]]","(856, 203)",-,-,'15,1.0,-,bar
14,"[[[169 142]]

 [[169 281]]

 [[185 281]]

 [[185 142]]]","(177, 211)",-,-,'07,1.0,-,bar
15,"[[[279 145]]

 [[279 281]]

 [[295 281]]

 [[295 145]]]","(287, 213)",-,-,'08,1.0,-,bar
16,"[[[739 149]]

 [[739 281]]

 [[754 281]]

 [[754 149]]]","(746, 215)",-,-,'14,1.0,-,bar
17,"[[[695 156]]

 [[695 281]]

 [[710 281]]

 [[710 156]]]","(702, 218)",-,-,'13,0.5,-,bar
18,"[[[388 159]]

 [[388 281]]

 [[404 281]]

 [[404 159]]]","(396, 220)",-,-,'10,0.5,-,bar
19,"[[[454 174]]

 [[454 281]]

 [[469 281]]

 [[469 174]]]","(461, 227)",-,-,'10,0.5,-,bar
20,"[[[629 174]]

 [[629 281]]

 [[645 281]]

 [[645 174]]]","(637, 227)",-,-,'12,0.5,-,bar
21,"[[[716 184]]

 [[716 281]]

 [[732 281]]

 [[732 184]]]","(724, 232)",-,-,'13,0.5,-,bar
22,"[[[432 188]]

 [[432 281]]

 [[448 281]]

 [[448 188]]]","(440, 234)",-,-,'10,0.5,-,bar
23,"[[[344 193]]

 [[344 281]]

 [[360 281]]

 [[360 193]]]","(352, 237)",-,-,'09,0.5,-,bar
24,"[[[213 195]]

 [[213 281]]

 [[229 281]]

 [[229 195]]]","(221, 238)",-,-,'08,0.5,-,bar
25,"[[[607 197]]

 [[607 281]]

 [[623 281]]

 [[623 197]]]","(615, 239)",-,-,'12,0.5,-,bar
26,"[[[410 198]]

 [[410 281]]

 [[426 281]]

 [[426 198]]]","(418, 239)",-,-,'10,0.5,-,bar
27,"[[[651 198]]

 [[651 281]]

 [[667 281]]

 [[667 198]]]","(659, 239)",-,-,'13,0.5,-,bar
28,"[[[782 204]]

 [[782 281]]

 [[798 281]]

 [[798 204]]]","(790, 242)",-,-,'14,0.5,-,bar
29,"[[[826 211]]

 [[826 281]]

 [[842 281]]

 [[842 211]]]","(834, 246)",-,-,'15,0.5,-,bar
30,"[[[804 220]]

 [[804 281]]

 [[820 281]]

 [[820 220]]]","(812, 250)",-,-,'14,0.5,-,bar
31,"[[[366 223]]

 [[366 281]]

 [[382 281]]

 [[382 223]]]","(374, 252)",-,-,'09,0.5,-,bar
32,"[[[257 238]]

 [[257 281]]

 [[273 281]]

 [[273 238]]]","(265, 259)",-,-,'08,0,-,bar
33,"[[[870 238]]

 [[870 281]]

 [[885 281]]

 [[885 238]]]","(877, 259)",-,-,'15,0,-,bar
34,"[[[ 60 239]]

 [[ 60 281]]

 [[ 76 281]]

 [[ 76 239]]]","(68, 260)",-,-,'06,0,-,bar
35,"[[[673 245]]

 [[673 281]]

 [[689 281]]

 [[689 245]]]","(681, 263)",-,-,'13,0,-,bar
36,"[[[ 82 259]]

 [[ 82 281]]

 [[ 98 281]]

 [[ 98 259]]]","(90, 270)",-,-,'06,0,-,bar
37,"[[[301 284]]

 [[301 414]]

 [[317 414]]

 [[317 284]]]","(309, 349)",-,-,'09,0,-,bar
38,"[[[498 284]]

 [[498 318]]

 [[514 318]]

 [[514 284]]]","(506, 301)",-,-,'11,0,-,bar
