id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[871  77]]

 [[871 459]]

 [[909 459]]

 [[909  77]]]","(890, 268)",-,-,'15,6,-,bar
1,"[[[818 138]]

 [[818 459]]

 [[857 459]]

 [[857 138]]]","(837, 298)",-,-,'15,5,-,bar
2,"[[[766 142]]

 [[766 459]]

 [[804 459]]

 [[804 142]]]","(785, 300)",-,-,'15,5,-,bar
3,"[[[714 144]]

 [[714 459]]

 [[752 459]]

 [[752 144]]]","(733, 301)",-,-,'15,5,-,bar
4,"[[[662 157]]

 [[662 459]]

 [[701 459]]

 [[701 157]]]","(681, 308)",-,-,'15,5,-,bar
5,"[[[610 169]]

 [[610 459]]

 [[648 459]]

 [[648 169]]]","(629, 314)",-,-,'15,5,-,bar
6,"[[[505 171]]

 [[505 459]]

 [[544 459]]

 [[544 171]]]","(524, 315)",-,-,'14,5,-,bar
7,"[[[557 176]]

 [[557 459]]

 [[596 459]]

 [[596 176]]]","(576, 317)",-,-,'14,4,-,bar
8,"[[[454 182]]

 [[454 459]]

 [[493 459]]

 [[493 182]]]","(473, 320)",-,-,'14,4,-,bar
9,"[[[401 191]]

 [[401 459]]

 [[440 459]]

 [[440 191]]]","(420, 325)",-,-,'14,4,-,bar
10,"[[[297 201]]

 [[297 459]]

 [[336 459]]

 [[336 201]]]","(316, 330)",-,-,'13,4,-,bar
11,"[[[349 208]]

 [[349 459]]

 [[388 459]]

 [[388 208]]]","(368, 333)",-,-,'13,4,-,bar
12,"[[[246 227]]

 [[246 459]]

 [[284 459]]

 [[284 227]]]","(265, 343)",-,-,'13,4,-,bar
13,"[[[193 239]]

 [[193 459]]

 [[232 459]]

 [[232 239]]]","(212, 349)",-,-,'13,3,-,bar
14,"[[[141 258]]

 [[141 459]]

 [[179 459]]

 [[179 258]]]","(160, 358)",-,-,'12,3,-,bar
15,"[[[ 89 260]]

 [[ 89 459]]

 [[127 459]]

 [[127 260]]]","(108, 359)",-,-,'12,3,-,bar
16,"[[[ 37 270]]

 [[ 37 459]]

 [[ 75 459]]

 [[ 75 270]]]","(56, 364)",-,-,'12,3,-,bar
