id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[857  66]]

 [[857 459]]

 [[905 459]]

 [[905  66]]]","(881, 262)",-,-,Q3,50,-,bar
1,"[[[776 110]]

 [[776 459]]

 [[824 459]]

 [[824 110]]]","(800, 284)",-,-,Q2,50,-,bar
2,"[[[697 165]]

 [[697 459]]

 [[745 459]]

 [[745 165]]]","(721, 312)",-,-,2015,40,-,bar
3,"[[[616 221]]

 [[616 459]]

 [[664 459]]

 [[664 221]]]","(640, 340)",-,-,Q4,30,-,bar
4,"[[[453 246]]

 [[453 459]]

 [[501 459]]

 [[501 246]]]","(477, 352)",-,-,Q2,30,-,bar
5,"[[[534 247]]

 [[534 459]]

 [[582 459]]

 [[582 247]]]","(558, 353)",-,-,Q3,30,-,bar
6,"[[[130 336]]

 [[130 459]]

 [[178 459]]

 [[178 336]]]","(154, 397)",-,-,Q2,20,-,bar
7,"[[[212 336]]

 [[212 459]]

 [[260 459]]

 [[260 336]]]","(236, 397)",-,-,Q3,20,-,bar
8,"[[[293 336]]

 [[293 459]]

 [[341 459]]

 [[341 336]]]","(317, 397)",-,-,Q4,20,-,bar
9,"[[[374 336]]

 [[374 459]]

 [[422 459]]

 [[422 336]]]","(398, 397)",-,-,2014,20,-,bar
