id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[883  67]]

 [[883 459]]

 [[913 459]]

 [[913  67]]]","(898, 263)",Apple iPhone and Google Android,[229 178  81],'14,1.25 billion,-,bar
1,"[[[804 161]]

 [[804 459]]

 [[834 459]]

 [[834 161]]]","(819, 310)",Apple iPhone and Google Android,[229 178  81],'13,1.00,-,bar
2,"[[[725 269]]

 [[725 459]]

 [[755 459]]

 [[755 269]]]","(740, 364)",Apple iPhone and Google Android,[229 178  81],'12,0.50,-,bar
3,"[[[646 359]]

 [[646 459]]

 [[676 459]]

 [[676 359]]]","(661, 409)",Apple iPhone and Google Android,[229 178  81],'11,0.25,-,bar
4,"[[[567 423]]

 [[567 459]]

 [[598 459]]

 [[598 423]]]","(582, 441)",Apple iPhone and Google Android,[229 178  81],'10,0,-,bar
5,"[[[534 427]]

 [[534 459]]

 [[564 459]]

 [[564 427]]]","(549, 443)",Nokia,[135  87 171],'10,0,-,bar
6,"[[[613 436]]

 [[613 459]]

 [[643 459]]

 [[643 436]]]","(628, 447)",Nokia,[135  87 171],'11,0,-,bar
7,"[[[455 439]]

 [[455 459]]

 [[485 459]]

 [[485 439]]]","(470, 449)",Nokia,[209  80   0],'09,0,-,bar
8,"[[[297 441]]

 [[297 459]]

 [[328 459]]

 [[328 441]]]","(312, 450)",Nokia,[135  87 171],'07,0,-,bar
9,"[[[376 441]]

 [[376 459]]

 [[406 459]]

 [[406 441]]]","(391, 450)",Nokia,[135  87 171],'08,0,-,bar
10,"[[[219 448]]

 [[219 459]]

 [[249 459]]

 [[249 448]]]","(234, 453)",Nokia,[135  87 171],'06,0,-,bar
11,"[[[692 450]]

 [[692 459]]

 [[722 459]]

 [[722 450]]]","(707, 454)",Nokia,[135  87 171],'12,0,-,bar
12,"[[[489 451]]

 [[489 459]]

 [[519 459]]

 [[519 451]]]","(504, 455)",Apple iPhone and Google Android,[229 178  81],'09,0,-,bar
13,"[[[771 451]]

 [[771 459]]

 [[801 459]]

 [[801 451]]]","(786, 455)",Nokia,[135  87 171],'13,0,-,bar
14,"[[[850 451]]

 [[850 459]]

 [[879 459]]

 [[879 451]]]","(864, 455)",Nokia,[135  87 171],'14,0,-,bar
15,"[[[140 452]]

 [[140 459]]

 [[170 459]]

 [[170 452]]]","(155, 455)",Nokia,[135  87 171],'05,0,-,bar
16,"[[[ 60 457]]

 [[ 60 460]]

 [[ 92 460]]

 [[ 92 457]]]","(76, 458)",-,-,'04,0,-,bar
17,"[[[409 457]]

 [[409 460]]

 [[440 460]]

 [[440 457]]]","(424, 458)",-,-,'08,0,-,bar
18,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Nokia,legend
19,"[[[84 11]]

 [[84 21]]

 [[95 21]]

 [[95 11]]]","(89, 16)",-,"(229, 178, 81)",-,-,Apple iPhone and Google Android,legend
