id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[806 103]]

 [[806 459]]

 [[854 459]]

 [[854 103]]]","(830, 281)",Cost,[135  87 171],'14,8,-,bar
1,"[[[651 188]]

 [[651 459]]

 [[699 459]]

 [[699 188]]]","(675, 323)",Cost,[135  87 171],'13,6,-,bar
2,"[[[496 250]]

 [[496 459]]

 [[544 459]]

 [[544 250]]]","(520, 354)",Cost,[135  87 171],'12,6,-,bar
3,"[[[866 277]]

 [[866 459]]

 [[914 459]]

 [[914 277]]]","(890, 368)",Revenue,[229 178  81],'14,4,-,bar
4,"[[[341 297]]

 [[341 459]]

 [[390 459]]

 [[390 297]]]","(365, 378)",Cost,[135  87 171],'11,4,-,bar
5,"[[[711 334]]

 [[711 459]]

 [[760 459]]

 [[760 334]]]","(735, 396)",Revenue,[229 178  81],'13,4,-,bar
6,"[[[187 356]]

 [[187 459]]

 [[235 459]]

 [[235 356]]]","(211, 407)",Cost,[135  87 171],'10,2,-,bar
7,"[[[556 367]]

 [[556 459]]

 [[604 459]]

 [[604 367]]]","(580, 413)",Revenue,[229 178  81],'12,2,-,bar
8,"[[[ 32 388]]

 [[ 32 459]]

 [[ 80 459]]

 [[ 80 388]]]","(56, 423)",Cost,[135  87 171],'09,2,-,bar
9,"[[[401 398]]

 [[401 459]]

 [[450 459]]

 [[450 398]]]","(425, 428)",Revenue,[229 178  81],'11,2,-,bar
10,"[[[246 412]]

 [[246 459]]

 [[295 459]]

 [[295 412]]]","(270, 435)",Revenue,[229 178  81],'10,2,-,bar
11,"[[[ 92 423]]

 [[ 92 459]]

 [[140 459]]

 [[140 423]]]","(116, 441)",Revenue,[229 178  81],'09,0,-,bar
12,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Cost,legend
13,"[[[75 11]]

 [[75 21]]

 [[86 21]]

 [[86 11]]]","(80, 16)",-,"(229, 178, 81)",-,-,Revenue,legend
