id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[288  89]]

 [[288 459]]

 [[334 459]]

 [[334  89]]]","(311, 274)",Ever,[209  80   0],Unbanked,25,-,bar
1,"[[[339 155]]

 [[339 459]]

 [[385 459]]

 [[385 155]]]","(362, 307)",Last 12 months,[186 101 211],Unbanked,20,-,bar
2,"[[[501 192]]

 [[501 459]]

 [[547 459]]

 [[547 192]]]","(524, 325)",Ever,[209  80   0],Underbanked,20,-,bar
3,"[[[390 231]]

 [[390 459]]

 [[436 459]]

 [[436 231]]]","(413, 345)",Last 30 days,[182 144 209],Unbanked,15,-,bar
4,"[[[552 281]]

 [[552 459]]

 [[598 459]]

 [[598 281]]]","(575, 370)",Last 12 months,[186 101 211],Underbanked,15,-,bar
5,"[[[ 75 297]]

 [[ 75 459]]

 [[121 459]]

 [[121 297]]]","(98, 378)",Ever,[209  80   0],All,10,-,bar
6,"[[[714 341]]

 [[714 459]]

 [[760 459]]

 [[760 341]]]","(737, 400)",Ever,[209  80   0],Fully banked,10,-,bar
7,"[[[126 353]]

 [[126 459]]

 [[172 459]]

 [[172 353]]]","(149, 406)",Last 12 months,[186 101 211],All,10,-,bar
8,"[[[603 371]]

 [[603 459]]

 [[649 459]]

 [[649 371]]]","(626, 415)",Last 30 days,[182 144 209],Underbanked,5,-,bar
9,"[[[765 389]]

 [[765 459]]

 [[811 459]]

 [[811 389]]]","(788, 424)",Last 12 months,[186 101 211],Fully banked,5,-,bar
10,"[[[177 408]]

 [[177 459]]

 [[223 459]]

 [[223 408]]]","(200, 433)",Last 30 days,[182 144 209],All,5,-,bar
11,"[[[816 435]]

 [[816 459]]

 [[862 459]]

 [[862 435]]]","(839, 447)",Last 30 days,[182 144 209],Fully banked,0,-,bar
12,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Ever,legend
13,"[[[72 11]]

 [[72 21]]

 [[83 21]]

 [[83 11]]]","(77, 16)",-,"(186, 101, 211)",-,-,Last 12 months,legend
14,"[[[236  11]]

 [[236  21]]

 [[247  21]]

 [[247  11]]]","(241, 16)",-,"(182, 144, 209)",-,-,Last 30 days,legend
