id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[ 53  32]]

 [[ 53 192]]

 [[ 74 192]]

 [[ 74  32]]]","(63, 112)",-,-,'08,10%,-,bar
1,"[[[ 81  55]]

 [[ 81 192]]

 [[102 192]]

 [[102  55]]]","(91, 123)",-,-,'08,10%,-,bar
2,"[[[110  81]]

 [[110 192]]

 [[131 192]]

 [[131  81]]]","(120, 136)",-,-,'08,5,-,bar
3,"[[[484 103]]

 [[484 192]]

 [[505 192]]

 [[505 103]]]","(494, 147)",-,-,'12,5,-,bar
4,"[[[369 104]]

 [[369 192]]

 [[390 192]]

 [[390 104]]]","(379, 148)",-,-,'11,5,-,bar
5,"[[[311 106]]

 [[311 192]]

 [[332 192]]

 [[332 106]]]","(321, 149)",-,-,'10,5,-,bar
6,"[[[455 106]]

 [[455 192]]

 [[476 192]]

 [[476 106]]]","(465, 149)",-,-,'11,5,-,bar
7,"[[[513 111]]

 [[513 192]]

 [[534 192]]

 [[534 111]]]","(523, 151)",-,-,'12,5,-,bar
8,"[[[542 120]]

 [[542 192]]

 [[563 192]]

 [[563 120]]]","(552, 156)",-,-,'12,5,-,bar
9,"[[[283 122]]

 [[283 192]]

 [[304 192]]

 [[304 122]]]","(293, 157)",-,-,'10,5,-,bar
10,"[[[340 127]]

 [[340 192]]

 [[361 192]]

 [[361 127]]]","(350, 159)",-,-,'10,5,-,bar
11,"[[[398 136]]

 [[398 192]]

 [[419 192]]

 [[419 136]]]","(408, 164)",-,-,'11,5,-,bar
12,"[[[426 136]]

 [[426 192]]

 [[447 192]]

 [[447 136]]]","(436, 164)",-,-,'11,5,-,bar
13,"[[[570 140]]

 [[570 192]]

 [[591 192]]

 [[591 140]]]","(580, 166)",-,-,'12,5,-,bar
14,"[[[714 158]]

 [[714 192]]

 [[735 192]]

 [[735 158]]]","(724, 175)",-,-,'14,0,-,bar
15,"[[[599 160]]

 [[599 192]]

 [[620 192]]

 [[620 160]]]","(609, 176)",-,-,'13,0,-,bar
16,"[[[685 172]]

 [[685 193]]

 [[707 193]]

 [[707 172]]]","(696, 182)",-,-,'13,0,-,bar
17,"[[[657 174]]

 [[657 192]]

 [[678 192]]

 [[678 174]]]","(667, 183)",-,-,'13,0,-,bar
18,"[[[800 179]]

 [[800 193]]

 [[822 193]]

 [[822 179]]]","(811, 186)",-,-,'14,0,-,bar
19,"[[[628 183]]

 [[628 192]]

 [[649 192]]

 [[649 183]]]","(638, 187)",-,-,'13,0,-,bar
20,"[[[772 183]]

 [[772 192]]

 [[793 192]]

 [[793 183]]]","(782, 187)",-,-,'14,0,-,bar
21,"[[[743 184]]

 [[743 193]]

 [[765 193]]

 [[765 184]]]","(754, 188)",-,-,'14,0,-,bar
22,"[[[829 188]]

 [[829 193]]

 [[851 193]]

 [[851 188]]]","(840, 190)",-,-,'15,0,-,bar
23,"[[[139 195]]

 [[139 215]]

 [[160 215]]

 [[160 195]]]","(149, 205)",-,-,'09,0,-,bar
24,"[[[168 195]]

 [[168 356]]

 [[189 356]]

 [[189 195]]]","(178, 275)",-,-,'09,0,-,bar
25,"[[[196 195]]

 [[196 391]]

 [[217 391]]

 [[217 195]]]","(206, 293)",-,-,'09,0,-,bar
26,"[[[225 195]]

 [[225 345]]

 [[246 345]]

 [[246 195]]]","(235, 270)",-,-,'09,0,-,bar
27,"[[[254 195]]

 [[254 238]]

 [[275 238]]

 [[275 195]]]","(264, 216)",-,-,'10,0,-,bar
28,"[[[858 195]]

 [[858 231]]

 [[879 231]]

 [[879 195]]]","(868, 213)",-,-,'15,0,-,bar
29,"[[[887 195]]

 [[887 274]]

 [[908 274]]

 [[908 195]]]","(897, 234)",-,-,'15,0,-,bar
