id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[112  22]]

 [[112 459]]

 [[147 459]]

 [[147  22]]]","(129, 240)",-,-,'12,130.0%,-,bar
1,"[[[160 184]]

 [[160 459]]

 [[195 459]]

 [[195 184]]]","(177, 321)",-,-,'12,65.0,-,bar
2,"[[[778 260]]

 [[778 459]]

 [[813 459]]

 [[813 260]]]","(795, 359)",-,-,'15,65.0,-,bar
3,"[[[683 265]]

 [[683 459]]

 [[718 459]]

 [[718 265]]]","(700, 362)",-,-,'15,65.0,-,bar
4,"[[[731 275]]

 [[731 459]]

 [[766 459]]

 [[766 275]]]","(748, 367)",-,-,'15,65.0,-,bar
5,"[[[254 285]]

 [[254 459]]

 [[290 459]]

 [[290 285]]]","(272, 372)",-,-,'12,65.0,-,bar
6,"[[[825 338]]

 [[825 459]]

 [[861 459]]

 [[861 338]]]","(843, 398)",-,-,'15,32.5,-,bar
7,"[[[302 365]]

 [[302 459]]

 [[338 459]]

 [[338 365]]]","(320, 412)",-,-,'13,32.5,-,bar
8,"[[[ 64 378]]

 [[ 64 459]]

 [[ 99 459]]

 [[ 99 378]]]","(81, 418)",-,-,'12,32.5,-,bar
9,"[[[635 388]]

 [[635 459]]

 [[670 459]]

 [[670 388]]]","(652, 423)",-,-,'14,32.5,-,bar
10,"[[[207 397]]

 [[207 459]]

 [[242 459]]

 [[242 397]]]","(224, 428)",-,-,'12,32.5,-,bar
11,"[[[445 403]]

 [[445 459]]

 [[480 459]]

 [[480 403]]]","(462, 431)",-,-,'13,32.5,-,bar
12,"[[[397 411]]

 [[397 459]]

 [[433 459]]

 [[433 411]]]","(415, 435)",-,-,'13,0,-,bar
13,"[[[541 415]]

 [[541 459]]

 [[576 459]]

 [[576 415]]]","(558, 437)",-,-,'14,0,-,bar
14,"[[[587 431]]

 [[587 459]]

 [[623 459]]

 [[623 431]]]","(605, 445)",-,-,'14,0,-,bar
15,"[[[493 441]]

 [[493 459]]

 [[528 459]]

 [[528 441]]]","(510, 450)",-,-,'14,0,-,bar
16,"[[[350 451]]

 [[350 459]]

 [[386 459]]

 [[386 451]]]","(368, 455)",-,-,'13,0,-,bar
