id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[152  79]]

 [[152 459]]

 [[181 459]]

 [[181  79]]]","(166, 269)",-,-,'11,8,-,bar
1,"[[[114 108]]

 [[114 459]]

 [[142 459]]

 [[142 108]]]","(128, 283)",-,-,'10,8,-,bar
2,"[[[ 75 115]]

 [[ 75 459]]

 [[104 459]]

 [[104 115]]]","(89, 287)",-,-,'10,8,-,bar
3,"[[[305 117]]

 [[305 459]]

 [[334 459]]

 [[334 117]]]","(319, 288)",-,-,'12,8,-,bar
4,"[[[229 128]]

 [[229 459]]

 [[257 459]]

 [[257 128]]]","(243, 293)",-,-,'11,8,-,bar
5,"[[[267 134]]

 [[267 459]]

 [[295 459]]

 [[295 134]]]","(281, 296)",-,-,'11,8,-,bar
6,"[[[ 38 136]]

 [[ 38 459]]

 [[ 66 459]]

 [[ 66 136]]]","(52, 297)",-,-,'10,8,-,bar
7,"[[[459 151]]

 [[459 459]]

 [[487 459]]

 [[487 151]]]","(473, 305)",-,-,'13,6,-,bar
8,"[[[191 152]]

 [[191 459]]

 [[219 459]]

 [[219 152]]]","(205, 305)",-,-,'11,6,-,bar
9,"[[[612 161]]

 [[612 459]]

 [[641 459]]

 [[641 161]]]","(626, 310)",-,-,'14,6,-,bar
10,"[[[689 171]]

 [[689 459]]

 [[717 459]]

 [[717 171]]]","(703, 315)",-,-,'14,6,-,bar
11,"[[[420 174]]

 [[420 459]]

 [[449 459]]

 [[449 174]]]","(434, 316)",-,-,'12,6,-,bar
12,"[[[382 177]]

 [[382 459]]

 [[411 459]]

 [[411 177]]]","(396, 318)",-,-,'12,6,-,bar
13,"[[[344 180]]

 [[344 459]]

 [[372 459]]

 [[372 180]]]","(358, 319)",-,-,'12,6,-,bar
14,"[[[727 185]]

 [[727 459]]

 [[755 459]]

 [[755 185]]]","(741, 322)",-,-,'14,6,-,bar
15,"[[[651 186]]

 [[651 459]]

 [[679 459]]

 [[679 186]]]","(665, 322)",-,-,'14,6,-,bar
16,"[[[766 198]]

 [[766 459]]

 [[794 459]]

 [[794 198]]]","(780, 328)",-,-,'15,6,-,bar
17,"[[[536 222]]

 [[536 459]]

 [[564 459]]

 [[564 222]]]","(550, 340)",-,-,'13,6,-,bar
18,"[[[574 232]]

 [[574 459]]

 [[602 459]]

 [[602 232]]]","(588, 345)",-,-,'13,6,-,bar
19,"[[[498 264]]

 [[498 459]]

 [[526 459]]

 [[526 264]]]","(512, 361)",-,-,'13,4,-,bar
20,"[[[804 285]]

 [[804 459]]

 [[833 459]]

 [[833 285]]]","(818, 372)",-,-,'15,4,-,bar
21,"[[[880 335]]

 [[880 459]]

 [[909 459]]

 [[909 335]]]","(894, 397)",-,-,'15,2,-,bar
22,"[[[842 357]]

 [[842 459]]

 [[870 459]]

 [[870 357]]]","(856, 408)",-,-,'15,2,-,bar
