id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[857  75]]

 [[857 459]]

 [[905 459]]

 [[905  75]]]","(881, 267)",-,-,'15,5,-,bar
1,"[[[776  92]]

 [[776 459]]

 [[824 459]]

 [[824  92]]]","(800, 275)",-,-,'14,5,-,bar
2,"[[[694 106]]

 [[694 459]]

 [[742 459]]

 [[742 106]]]","(718, 282)",-,-,'13,5,-,bar
3,"[[[612 125]]

 [[612 459]]

 [[660 459]]

 [[660 125]]]","(636, 292)",-,-,'12,5,-,bar
4,"[[[122 140]]

 [[122 459]]

 [[170 459]]

 [[170 140]]]","(146, 299)",-,-,'06,4,-,bar
5,"[[[531 141]]

 [[531 459]]

 [[579 459]]

 [[579 141]]]","(555, 300)",-,-,'11,4,-,bar
6,"[[[204 145]]

 [[204 459]]

 [[252 459]]

 [[252 145]]]","(228, 302)",-,-,'07,4,-,bar
7,"[[[449 153]]

 [[449 459]]

 [[497 459]]

 [[497 153]]]","(473, 306)",-,-,'10,4,-,bar
8,"[[[286 156]]

 [[286 459]]

 [[334 459]]

 [[334 156]]]","(310, 307)",-,-,'08,4,-,bar
9,"[[[ 41 158]]

 [[ 41 459]]

 [[ 89 459]]

 [[ 89 158]]]","(65, 308)",-,-,'05,4,-,bar
10,"[[[367 158]]

 [[367 459]]

 [[415 459]]

 [[415 158]]]","(391, 308)",-,-,'09,4,-,bar
