id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[877  37]]

 [[877 459]]

 [[908 459]]

 [[908  37]]]","(892, 248)",-,-,'15,$ 500 billion,-,bar
1,"[[[145 148]]

 [[145 459]]

 [[177 459]]

 [[177 148]]]","(161, 303)",-,-,'98,400,-,bar
2,"[[[834 243]]

 [[834 459]]

 [[865 459]]

 [[865 243]]]","(849, 351)",-,-,'14,200,-,bar
3,"[[[188 257]]

 [[188 459]]

 [[220 459]]

 [[220 257]]]","(204, 358)",-,-,'99,200,-,bar
4,"[[[791 289]]

 [[791 459]]

 [[823 459]]

 [[823 289]]]","(807, 374)",-,-,'13,200,-,bar
5,"[[[575 310]]

 [[575 459]]

 [[607 459]]

 [[607 310]]]","(591, 384)",-,-,'08,200,-,bar
6,"[[[619 353]]

 [[619 459]]

 [[650 459]]

 [[650 353]]]","(634, 406)",-,-,'09,100,-,bar
7,"[[[231 362]]

 [[231 459]]

 [[263 459]]

 [[263 362]]]","(247, 410)",-,-,'00,100,-,bar
8,"[[[490 371]]

 [[490 459]]

 [[521 459]]

 [[521 371]]]","(505, 415)",-,-,'06,100,-,bar
9,"[[[447 407]]

 [[447 459]]

 [[478 459]]

 [[478 407]]]","(462, 433)",-,-,'05,100,-,bar
10,"[[[274 408]]

 [[274 459]]

 [[306 459]]

 [[306 408]]]","(290, 433)",-,-,'01,100,-,bar
11,"[[[317 408]]

 [[317 459]]

 [[349 459]]

 [[349 408]]]","(333, 433)",-,-,'02,100,-,bar
12,"[[[662 409]]

 [[662 459]]

 [[693 459]]

 [[693 409]]]","(677, 434)",-,-,'10,100,-,bar
13,"[[[403 411]]

 [[403 459]]

 [[435 459]]

 [[435 411]]]","(419, 435)",-,-,'04,100,-,bar
14,"[[[532 412]]

 [[532 459]]

 [[564 459]]

 [[564 412]]]","(548, 435)",-,-,'07,100,-,bar
15,"[[[102 414]]

 [[102 459]]

 [[134 459]]

 [[134 414]]]","(118, 436)",-,-,'97,100,-,bar
