id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[837  20]]

 [[837 395]]

 [[850 395]]

 [[850  20]]]","(843, 207)",-,-,'15,"3,000 employees",-,bar
1,"[[[609  70]]

 [[609 395]]

 [[622 395]]

 [[622  70]]]","(615, 232)",-,-,'12,"2,500",-,bar
2,"[[[590  87]]

 [[590 395]]

 [[603 395]]

 [[603  87]]]","(596, 241)",-,-,'11,"2,500",-,bar
3,"[[[818  92]]

 [[818 395]]

 [[831 395]]

 [[831  92]]]","(824, 243)",-,-,'14,"2,500",-,bar
4,"[[[344 100]]

 [[344 395]]

 [[357 395]]

 [[357 100]]]","(350, 247)",-,-,'08,"2,500",-,bar
5,"[[[799 105]]

 [[799 395]]

 [[812 395]]

 [[812 105]]]","(805, 250)",-,-,'14,"2,500",-,bar
6,"[[[306 128]]

 [[306 395]]

 [[319 395]]

 [[319 128]]]","(312, 261)",-,-,'08,"2,000",-,bar
7,"[[[856 140]]

 [[856 395]]

 [[869 395]]

 [[869 140]]]","(862, 267)",-,-,'15,"2,000",-,bar
8,"[[[761 146]]

 [[761 395]]

 [[774 395]]

 [[774 146]]]","(767, 270)",-,-,'14,"2,000",-,bar
9,"[[[571 155]]

 [[571 395]]

 [[584 395]]

 [[584 155]]]","(577, 275)",-,-,'11,"2,000",-,bar
10,"[[[874 167]]

 [[874 395]]

 [[888 395]]

 [[888 167]]]","(881, 281)",-,-,'15,"2,000",-,bar
11,"[[[685 169]]

 [[685 395]]

 [[698 395]]

 [[698 169]]]","(691, 282)",-,-,'13,"2,000",-,bar
12,"[[[893 178]]

 [[893 396]]

 [[907 396]]

 [[907 178]]]","(900, 287)",-,-,'15,"1,500",-,bar
13,"[[[780 182]]

 [[780 395]]

 [[793 395]]

 [[793 182]]]","(786, 288)",-,-,'14,"1,500",-,bar
14,"[[[268 200]]

 [[268 395]]

 [[281 395]]

 [[281 200]]]","(274, 297)",-,-,'07,"1,500",-,bar
15,"[[[287 202]]

 [[287 395]]

 [[300 395]]

 [[300 202]]]","(293, 298)",-,-,'07,"1,500",-,bar
