id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[878  51]]

 [[878 459]]

 [[908 459]]

 [[908  51]]]","(893, 255)",-,-,'15,$2.5 trillion,-,bar
1,"[[[837 195]]

 [[837 459]]

 [[867 459]]

 [[867 195]]]","(852, 327)",-,-,'14,1.5,-,bar
2,"[[[259 197]]

 [[259 459]]

 [[289 459]]

 [[289 197]]]","(274, 328)",-,-,'00,1.5,-,bar
3,"[[[176 198]]

 [[176 459]]

 [[207 459]]

 [[207 198]]]","(191, 328)",-,-,'98,1.5,-,bar
4,"[[[218 199]]

 [[218 459]]

 [[248 459]]

 [[248 199]]]","(233, 329)",-,-,'99,1.5,-,bar
5,"[[[548 202]]

 [[548 459]]

 [[578 459]]

 [[578 202]]]","(563, 330)",-,-,'07,1.5,-,bar
6,"[[[507 206]]

 [[507 459]]

 [[537 459]]

 [[537 206]]]","(522, 332)",-,-,'06,1.5,-,bar
7,"[[[465 266]]

 [[465 459]]

 [[496 459]]

 [[496 266]]]","(480, 362)",-,-,'05,1.0,-,bar
8,"[[[795 273]]

 [[795 459]]

 [[826 459]]

 [[826 273]]]","(810, 366)",-,-,'13,1.0,-,bar
9,"[[[589 284]]

 [[589 459]]

 [[620 459]]

 [[620 284]]]","(604, 371)",-,-,'08,1.0,-,bar
10,"[[[713 291]]

 [[713 459]]

 [[743 459]]

 [[743 291]]]","(728, 375)",-,-,'11,1.0,-,bar
11,"[[[754 301]]

 [[754 459]]

 [[785 459]]

 [[785 301]]]","(769, 380)",-,-,'12,1.0,-,bar
12,"[[[135 310]]

 [[135 459]]

 [[166 459]]

 [[166 310]]]","(150, 384)",-,-,'97,1.0,-,bar
13,"[[[672 312]]

 [[672 459]]

 [[702 459]]

 [[702 312]]]","(687, 385)",-,-,'10,1.0,-,bar
14,"[[[424 326]]

 [[424 459]]

 [[455 459]]

 [[455 326]]]","(439, 392)",-,-,'04,1.0,-,bar
15,"[[[300 328]]

 [[300 459]]

 [[331 459]]

 [[331 328]]]","(315, 393)",-,-,'01,0.5,-,bar
16,"[[[630 330]]

 [[630 459]]

 [[661 459]]

 [[661 330]]]","(645, 394)",-,-,'09,0.5,-,bar
17,"[[[ 94 353]]

 [[ 94 459]]

 [[124 459]]

 [[124 353]]]","(109, 406)",-,-,'96,0.5,-,bar
18,"[[[383 365]]

 [[383 459]]

 [[413 459]]

 [[413 365]]]","(398, 412)",-,-,'03,0.5,-,bar
19,"[[[ 53 371]]

 [[ 53 459]]

 [[ 83 459]]

 [[ 83 371]]]","(68, 415)",-,-,'95,0.5,-,bar
20,"[[[341 383]]

 [[341 459]]

 [[372 459]]

 [[372 383]]]","(356, 421)",-,-,'02,0.5,-,bar
