id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[118  17]]

 [[118 459]]

 [[145 459]]

 [[145  17]]]","(131, 238)",-,-,'94,12 days,-,bar
1,"[[[ 46  91]]

 [[ 46 459]]

 [[ 73 459]]

 [[ 73  91]]]","(59, 275)",-,-,'92,10,-,bar
2,"[[[ 82 239]]

 [[ 82 459]]

 [[109 459]]

 [[109 239]]]","(95, 349)",-,-,'92,6,-,bar
3,"[[[191 276]]

 [[191 459]]

 [[218 459]]

 [[218 276]]]","(204, 367)",-,-,'96,4,-,bar
4,"[[[227 313]]

 [[227 317]]

 [[228 318]]

 [[228 459]]

 [[254 459]]

 [[254 313]]]","(240, 386)",-,-,'96,4,-,bar
5,"[[[627 350]]

 [[627 459]]

 [[654 459]]

 [[654 350]]]","(640, 404)",-,-,'08,2,-,bar
6,"[[[881 350]]

 [[881 459]]

 [[908 459]]

 [[908 350]]]","(894, 404)",-,-,'14,2,-,bar
7,"[[[155 387]]

 [[155 459]]

 [[182 459]]

 [[182 387]]]","(168, 423)",-,-,'94,2,-,bar
8,"[[[591 387]]

 [[591 459]]

 [[618 459]]

 [[618 387]]]","(604, 423)",-,-,'06,2,-,bar
9,"[[[263 424]]

 [[263 460]]

 [[264 459]]

 [[291 459]]

 [[291 424]]]","(277, 441)",-,-,'98,0,-,bar
10,"[[[300 424]]

 [[300 459]]

 [[327 459]]

 [[327 424]]]","(313, 441)",-,-,'98,0,-,bar
11,"[[[663 424]]

 [[663 459]]

 [[691 459]]

 [[691 424]]]","(677, 441)",-,-,'08,0,-,bar
