id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[ 48  80]]

 [[ 48 459]]

 [[ 94 459]]

 [[ 94  80]]]","(71, 269)",-,-,'01,25,-,bar
1,"[[[110 101]]

 [[110 459]]

 [[156 459]]

 [[156 101]]]","(133, 280)",-,-,'02,25,-,bar
2,"[[[173 128]]

 [[173 459]]

 [[219 459]]

 [[219 128]]]","(196, 293)",-,-,'03,20,-,bar
3,"[[[236 130]]

 [[236 459]]

 [[282 459]]

 [[282 130]]]","(259, 294)",-,-,'04,20,-,bar
4,"[[[299 139]]

 [[299 459]]

 [[345 459]]

 [[345 139]]]","(322, 299)",-,-,'05,20,-,bar
5,"[[[361 149]]

 [[361 459]]

 [[408 459]]

 [[408 149]]]","(384, 304)",-,-,'06,20,-,bar
6,"[[[424 172]]

 [[424 459]]

 [[470 459]]

 [[470 172]]]","(447, 315)",-,-,'07,20,-,bar
7,"[[[487 193]]

 [[487 459]]

 [[533 459]]

 [[533 193]]]","(510, 326)",-,-,'08,20,-,bar
8,"[[[550 211]]

 [[550 459]]

 [[596 459]]

 [[596 211]]]","(573, 335)",-,-,'09,15,-,bar
9,"[[[612 226]]

 [[612 459]]

 [[659 459]]

 [[659 226]]]","(635, 342)",-,-,'10,15,-,bar
10,"[[[675 230]]

 [[675 459]]

 [[721 459]]

 [[721 230]]]","(698, 344)",-,-,'11,15,-,bar
11,"[[[738 230]]

 [[738 459]]

 [[784 459]]

 [[784 230]]]","(761, 344)",-,-,'12,15,-,bar
12,"[[[801 239]]

 [[801 459]]

 [[847 459]]

 [[847 239]]]","(824, 349)",-,-,'13,15,-,bar
13,"[[[863 240]]

 [[863 459]]

 [[910 459]]

 [[910 240]]]","(886, 349)",-,-,'14,15,-,bar
