id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[117  45]]

 [[117  60]]

 [[789  60]]

 [[789  45]]]","(453, 52)",-,-,-,Google,-,bar
1,"[[[117  77]]

 [[117  92]]

 [[513  92]]

 [[513  77]]]","(315, 84)",-,-,-,Facebook,-,bar
2,"[[[117 109]]

 [[117 124]]

 [[497 124]]

 [[497 109]]]","(307, 116)",-,-,-,Amazon,-,bar
3,"[[[117 141]]

 [[117 156]]

 [[458 156]]

 [[458 141]]]","(287, 148)",-,-,-,Microsoft,-,bar
4,"[[[117 173]]

 [[117 188]]

 [[457 188]]

 [[457 173]]]","(287, 180)",-,-,-,Oracle,-,bar
5,"[[[117 205]]

 [[117 220]]

 [[314 220]]

 [[314 205]]]","(215, 212)",-,-,-,Intel,-,bar
6,"[[[117 237]]

 [[117 252]]

 [[302 252]]

 [[302 237]]]","(209, 244)",-,-,-,IBM,-,bar
7,"[[[117 269]]

 [[117 284]]

 [[296 284]]

 [[296 269]]]","(206, 276)",-,-,-,Apple,-,bar
8,"[[[117 301]]

 [[117 316]]

 [[230 316]]

 [[230 301]]]","(173, 308)",-,-,-,Yahoo,-,bar
9,"[[[117 333]]

 [[117 348]]

 [[224 348]]

 [[224 333]]]","(170, 340)",-,-,-,Cisoo,-,bar
10,"[[[117 365]]

 [[117 381]]

 [[135 381]]

 [[135 365]]]","(126, 373)",-,-,-,Twitter,-,bar
11,"[[[117 397]]

 [[117 413]]

 [[134 413]]

 [[134 397]]]","(125, 405)",-,-,-,Uber,-,bar
12,"[[[117 429]]

 [[117 445]]

 [[126 445]]

 [[126 429]]]","(121, 437)",-,-,-,Airbnb,-,bar
