id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[861  23]]

 [[861 459]]

 [[909 459]]

 [[909  23]]]","(885, 241)",-,-,Sep.,35 million,-,bar
1,"[[[450  70]]

 [[450 459]]

 [[498 459]]

 [[498  70]]]","(474, 264)",-,-,Mar.,30,-,bar
2,"[[[519  74]]

 [[519 459]]

 [[567 459]]

 [[567  74]]]","(543, 266)",-,-,Apr.,30,-,bar
3,"[[[586  78]]

 [[586 459]]

 [[634 459]]

 [[634  78]]]","(610, 268)",-,-,May,30,-,bar
4,"[[[115  97]]

 [[115 459]]

 [[163 459]]

 [[163  97]]]","(139, 278)",-,-,Oct.,30,-,bar
5,"[[[184 120]]

 [[184 459]]

 [[232 459]]

 [[232 120]]]","(208, 289)",-,-,Nov.,25,-,bar
6,"[[[388 120]]

 [[388 459]]

 [[436 459]]

 [[436 120]]]","(412, 289)",-,-,Feb.,25,-,bar
7,"[[[790 135]]

 [[790 459]]

 [[838 459]]

 [[838 135]]]","(814, 297)",-,-,Aug.,25,-,bar
8,"[[[721 141]]

 [[721 459]]

 [[769 459]]

 [[769 141]]]","(745, 300)",-,-,Jul.,25,-,bar
9,"[[[319 146]]

 [[319 459]]

 [[367 459]]

 [[367 146]]]","(343, 302)",-,-,'15,25,-,bar
10,"[[[654 149]]

 [[654 459]]

 [[703 459]]

 [[703 149]]]","(678, 304)",-,-,Jun.,25,-,bar
11,"[[[ 48 152]]

 [[ 48 459]]

 [[ 96 459]]

 [[ 96 152]]]","(72, 305)",-,-,Sep.,25,-,bar
12,"[[[250 152]]

 [[250 459]]

 [[298 459]]

 [[298 152]]]","(274, 305)",-,-,Dec.,25,-,bar
