id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[245 145]]

 [[245 253]]

 [[282 253]]

 [[282 145]]]","(263, 199)",Space growth,[209  80   0],'08,20,-,bar
1,"[[[639 148]]

 [[639 253]]

 [[676 253]]

 [[676 148]]]","(657, 200)",Space growth,[209  80   0],'12,20,-,bar
2,"[[[541 149]]

 [[541 253]]

 [[578 253]]

 [[578 149]]]","(559, 201)",Space growth,[209  80   0],'11,20,-,bar
3,"[[[344 150]]

 [[344 253]]

 [[381 253]]

 [[381 150]]]","(362, 201)",Space growth,[209  80   0],'09,20,-,bar
4,"[[[738 150]]

 [[738 253]]

 [[775 253]]

 [[775 150]]]","(756, 201)",Space growth,[209  80   0],'13,20,-,bar
5,"[[[442 154]]

 [[442 253]]

 [[479 253]]

 [[479 154]]]","(460, 203)",Space growth,[209  80   0],'10,10,-,bar
6,"[[[837 155]]

 [[837 253]]

 [[874 253]]

 [[874 155]]]","(855, 204)",Space growth,[209  80   0],'14,10,-,bar
7,"[[[146 157]]

 [[146 253]]

 [[183 253]]

 [[183 157]]]","(164, 205)",Space growth,[209  80   0],'07,10,-,bar
8,"[[[ 48 158]]

 [[ 48 253]]

 [[ 85 253]]

 [[ 85 158]]]","(66, 205)",Space growth,[209  80   0],'06,10,-,bar
9,"[[[ 88 219]]

 [[ 88 253]]

 [[126 253]]

 [[126 219]]]","(107, 236)",Profit growth per sq. meter,[229 178  81],'06,10,-,bar
10,"[[[187 255]]

 [[187 281]]

 [[224 281]]

 [[224 255]]]","(205, 268)",Profit growth per sq. meter,[229 178  81],'07,0,-,bar
11,"[[[286 255]]

 [[286 303]]

 [[323 303]]

 [[323 255]]]","(304, 279)",Profit growth per sq. meter,[229 178  81],'08,0,-,bar
12,"[[[384 255]]

 [[384 261]]

 [[422 261]]

 [[422 255]]]","(403, 258)",Profit growth per sq. meter,[229 178  81],'09,0,-,bar
13,"[[[483 255]]

 [[483 444]]

 [[520 444]]

 [[520 255]]]","(501, 349)",Profit growth per sq. meter,[229 178  81],'10,0,-,bar
14,"[[[582 255]]

 [[582 304]]

 [[618 304]]

 [[618 255]]]","(600, 279)",Profit growth per sq. meter,[229 178  81],'11,0,-,bar
15,"[[[680 255]]

 [[680 334]]

 [[717 334]]

 [[717 255]]]","(698, 294)",Profit growth per sq. meter,[229 178  81],'12,0,-,bar
16,"[[[878 255]]

 [[878 308]]

 [[914 308]]

 [[914 255]]]","(896, 281)",Profit growth per sq. meter,[229 178  81],'14,0,-,bar
17,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Space growth,legend
18,"[[[156  11]]

 [[156  21]]

 [[167  21]]

 [[167  11]]]","(161, 16)",-,"(229, 178, 81)",-,-,Profit growth per sq. meter,legend
