id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[434   1]]

 [[434 205]]

 [[450 205]]

 [[450   1]]]","(442, 103)",-,-,'10,6%,-,bar
1,"[[[ 45  24]]

 [[ 45 205]]

 [[ 62 205]]

 [[ 62  24]]]","(53, 114)",-,-,'06,6%,-,bar
2,"[[[456  35]]

 [[456 205]]

 [[473 205]]

 [[473  35]]]","(464, 120)",-,-,'10,6%,-,bar
3,"[[[ 90  36]]

 [[ 90 205]]

 [[107 205]]

 [[107  36]]]","(98, 120)",-,-,'06,6%,-,bar
4,"[[[ 68  53]]

 [[ 68 205]]

 [[ 84 205]]

 [[ 84  53]]]","(76, 129)",-,-,'06,4,-,bar
5,"[[[594  54]]

 [[594 205]]

 [[610 205]]

 [[610  54]]]","(602, 129)",-,-,'12,4,-,bar
6,"[[[479  62]]

 [[479 205]]

 [[496 205]]

 [[496  62]]]","(487, 133)",-,-,'11,4,-,bar
7,"[[[617  65]]

 [[617 205]]

 [[633 205]]

 [[633  65]]]","(625, 135)",-,-,'12,4,-,bar
8,"[[[502  66]]

 [[502 205]]

 [[519 205]]

 [[519  66]]]","(510, 135)",-,-,'11,4,-,bar
9,"[[[571  71]]

 [[571 205]]

 [[587 205]]

 [[587  71]]]","(579, 138)",-,-,'12,4,-,bar
10,"[[[548  75]]

 [[548 205]]

 [[564 205]]

 [[564  75]]]","(556, 140)",-,-,'11,4,-,bar
11,"[[[114  81]]

 [[114 205]]

 [[130 205]]

 [[130  81]]]","(122, 143)",-,-,'07,4,-,bar
12,"[[[205  89]]

 [[205 205]]

 [[221 205]]

 [[221  89]]]","(213, 147)",-,-,'08,4,-,bar
13,"[[[411  90]]

 [[411 205]]

 [[428 205]]

 [[428  90]]]","(419, 147)",-,-,'10,4,-,bar
14,"[[[662  94]]

 [[662 205]]

 [[679 205]]

 [[679  94]]]","(670, 149)",-,-,'13,4,-,bar
15,"[[[525 105]]

 [[525 205]]

 [[541 205]]

 [[541 105]]]","(533, 155)",-,-,'11,4,-,bar
16,"[[[639 105]]

 [[639 205]]

 [[656 205]]

 [[656 105]]]","(647, 155)",-,-,'12,4,-,bar
17,"[[[182 107]]

 [[182 205]]

 [[198 205]]

 [[198 107]]]","(190, 156)",-,-,'07,4,-,bar
18,"[[[251 110]]

 [[251 205]]

 [[267 205]]

 [[267 110]]]","(259, 157)",-,-,'08,4,-,bar
19,"[[[137 115]]

 [[137 205]]

 [[153 205]]

 [[153 115]]]","(145, 160)",-,-,'07,2,-,bar
20,"[[[159 120]]

 [[159 205]]

 [[176 205]]

 [[176 120]]]","(167, 162)",-,-,'07,2,-,bar
21,"[[[845 123]]

 [[845 205]]

 [[862 205]]

 [[862 123]]]","(853, 164)",-,-,'15,2,-,bar
22,"[[[868 127]]

 [[868 205]]

 [[885 205]]

 [[885 127]]]","(876, 166)",-,-,'15,2,-,bar
23,"[[[822 137]]

 [[822 205]]

 [[839 205]]

 [[839 137]]]","(830, 171)",-,-,'14,2,-,bar
24,"[[[228 139]]

 [[228 205]]

 [[244 205]]

 [[244 139]]]","(236, 172)",-,-,'08,2,-,bar
25,"[[[891 139]]

 [[891 205]]

 [[907 205]]

 [[907 139]]]","(899, 172)",-,-,'15,2,-,bar
26,"[[[777 144]]

 [[777 205]]

 [[793 205]]

 [[793 144]]]","(785, 174)",-,-,'14,2,-,bar
27,"[[[708 150]]

 [[708 205]]

 [[725 205]]

 [[725 150]]]","(716, 177)",-,-,'13,2,-,bar
28,"[[[799 155]]

 [[799 205]]

 [[816 205]]

 [[816 155]]]","(807, 180)",-,-,'14,2,-,bar
29,"[[[274 157]]

 [[274 205]]

 [[290 205]]

 [[290 157]]]","(282, 181)",-,-,'08,2,-,bar
30,"[[[731 157]]

 [[731 205]]

 [[747 205]]

 [[747 157]]]","(739, 181)",-,-,'13,2,-,bar
31,"[[[754 172]]

 [[754 205]]

 [[771 205]]

 [[771 172]]]","(762, 188)",-,-,'14,2,-,bar
32,"[[[685 175]]

 [[685 205]]

 [[702 205]]

 [[702 175]]]","(693, 190)",-,-,'13,0,-,bar
33,"[[[342 207]]

 [[342 457]]

 [[359 457]]

 [[359 207]]]","(350, 332)",-,-,'09,0,-,bar
34,"[[[388 207]]

 [[388 238]]

 [[405 238]]

 [[405 207]]]","(396, 222)",-,-,'10,0,-,bar
35,"[[[297 208]]

 [[297 240]]

 [[313 240]]

 [[313 208]]]","(305, 224)",-,-,'09,0,-,bar
36,"[[[320 208]]

 [[320 371]]

 [[336 371]]

 [[336 208]]]","(328, 289)",-,-,'09,0,-,bar
37,"[[[365 208]]

 [[365 350]]

 [[381 350]]

 [[381 208]]]","(373, 279)",-,-,'09,0,-,bar
