id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[677  70]]

 [[677 459]]

 [[695 459]]

 [[695  70]]]","(686, 264)",World economic growth,[135  87 171],'06,6%,-,bar
1,"[[[654  81]]

 [[654 459]]

 [[671 459]]

 [[671  81]]]","(662, 270)",World economic growth,[135  87 171],'06,6%,-,bar
2,"[[[748  88]]

 [[748 459]]

 [[766 459]]

 [[766  88]]]","(757, 273)",World economic growth,[135  87 171],'10,5,-,bar
3,"[[[606 105]]

 [[606 459]]

 [[624 459]]

 [[624 105]]]","(615, 282)",World economic growth,[135  87 171],'04,5,-,bar
4,"[[[630 127]]

 [[630 459]]

 [[647 459]]

 [[647 127]]]","(638, 293)",World economic growth,[135  87 171],'04,5,-,bar
5,"[[[133 130]]

 [[133 459]]

 [[150 459]]

 [[150 130]]]","(141, 294)",World economic growth,[135  87 171],'84,5,-,bar
6,"[[[512 130]]

 [[512 459]]

 [[529 459]]

 [[529 130]]]","(520, 294)",World economic growth,[135  87 171],'00,5,-,bar
7,"[[[228 145]]

 [[228 459]]

 [[245 459]]

 [[245 145]]]","(236, 302)",World economic growth,[135  87 171],'88,5,-,bar
8,"[[[772 171]]

 [[772 459]]

 [[789 459]]

 [[789 171]]]","(780, 315)",World economic growth,[135  87 171],'10,4,-,bar
9,"[[[441 180]]

 [[441 459]]

 [[458 459]]

 [[458 180]]]","(449, 319)",World economic growth,[135  87 171],'96,4,-,bar
10,"[[[583 183]]

 [[583 459]]

 [[600 459]]

 [[600 183]]]","(591, 321)",World economic growth,[135  87 171],'02,4,-,bar
11,"[[[157 192]]

 [[157 459]]

 [[174 459]]

 [[174 192]]]","(165, 325)",World economic growth,[135  87 171],'84,4,-,bar
12,"[[[417 192]]

 [[417 459]]

 [[434 459]]

 [[434 192]]]","(425, 325)",World economic growth,[135  87 171],'96,4,-,bar
13,"[[[252 195]]

 [[252 459]]

 [[269 459]]

 [[269 195]]]","(260, 327)",World economic growth,[135  87 171],'88,4,-,bar
14,"[[[204 199]]

 [[204 459]]

 [[221 459]]

 [[221 199]]]","(212, 329)",World economic growth,[135  87 171],'86,4,-,bar
15,"[[[488 212]]

 [[488 459]]

 [[505 459]]

 [[505 212]]]","(496, 335)",World economic growth,[135  87 171],'98,4,-,bar
16,"[[[796 226]]

 [[796 459]]

 [[813 459]]

 [[813 226]]]","(804, 342)",World economic growth,[209  80   0],'12,3,-,bar
17,"[[[843 226]]

 [[843 459]]

 [[860 459]]

 [[860 226]]]","(851, 342)",-,-,'14,3,-,bar
18,"[[[275 227]]

 [[275 459]]

 [[292 459]]

 [[292 227]]]","(283, 343)",World economic growth,[135  87 171],'90,3,-,bar
19,"[[[181 230]]

 [[181 459]]

 [[198 459]]

 [[198 230]]]","(189, 344)",World economic growth,[135  87 171],'86,3,-,bar
20,"[[[394 230]]

 [[394 459]]

 [[411 459]]

 [[411 230]]]","(402, 344)",World economic growth,[135  87 171],'94,3,-,bar
21,"[[[370 233]]

 [[370 459]]

 [[387 459]]

 [[387 233]]]","(378, 346)",World economic growth,[135  87 171],'94,3,-,bar
22,"[[[819 234]]

 [[819 459]]

 [[837 459]]

 [[837 234]]]","(828, 346)",World economic growth,[135  87 171],'12,3,-,bar
23,"[[[890 242]]

 [[890 459]]

 [[907 459]]

 [[907 242]]]","(898, 350)",World economic growth,[135  87 171],'16,3,-,bar
24,"[[[867 247]]

 [[867 459]]

 [[884 459]]

 [[884 247]]]","(875, 353)",World economic growth,[135  87 171],'14,3,-,bar
25,"[[[701 251]]

 [[701 459]]

 [[718 459]]

 [[718 251]]]","(709, 355)",World economic growth,[135  87 171],'08,3,-,bar
26,"[[[559 258]]

 [[559 459]]

 [[576 459]]

 [[576 258]]]","(567, 358)",World economic growth,[135  87 171],'02,3,-,bar
27,"[[[110 270]]

 [[110 459]]

 [[127 459]]

 [[127 270]]]","(118, 364)",World economic growth,[135  87 171],'82,3,-,bar
28,"[[[464 285]]

 [[464 459]]

 [[482 459]]

 [[482 285]]]","(473, 372)",World economic growth,[209  80   0],'98,3,-,bar
29,"[[[535 288]]

 [[535 459]]

 [[553 459]]

 [[553 288]]]","(544, 373)",World economic growth,[135  87 171],'00,3,-,bar
30,"[[[299 291]]

 [[299 459]]

 [[316 459]]

 [[316 291]]]","(307, 375)",World economic growth,[135  87 171],'90,2,-,bar
31,"[[[322 300]]

 [[322 459]]

 [[340 459]]

 [[340 300]]]","(331, 379)",World economic growth,[209  80   0],'92,2,-,bar
32,"[[[ 62 304]]

 [[ 62 459]]

 [[ 79 459]]

 [[ 79 304]]]","(70, 381)",World economic growth,[135  87 171],'80,2,-,bar
33,"[[[ 39 307]]

 [[ 39 459]]

 [[ 56 459]]

 [[ 56 307]]]","(47, 383)",World economic growth,[135  87 171],'80,2,-,bar
34,"[[[346 313]]

 [[346 459]]

 [[363 459]]

 [[363 313]]]","(354, 386)",World economic growth,[135  87 171],'92,2,-,bar
35,"[[[ 86 409]]

 [[ 86 459]]

 [[103 459]]

 [[103 409]]]","(94, 434)",World economic growth,[135  87 171],'82,1,-,bar
36,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,World economic growth,legend
37,"[[[246  11]]

 [[246  21]]

 [[257  21]]

 [[257  11]]]","(251, 16)",-,"(229, 178, 81)",-,-,January 2016 projection,legend
