id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[521  28]]

 [[521 205]]

 [[538 205]]

 [[538  28]]]","(529, 116)",-,-,'11,12%,-,bar
1,"[[[ 83  40]]

 [[ 83 205]]

 [[ 99 205]]

 [[ 99  40]]]","(91, 122)",-,-,'06,12%,-,bar
2,"[[[129  84]]

 [[129 205]]

 [[146 205]]

 [[146  84]]]","(137, 144)",-,-,'07,0.8,-,bar
3,"[[[729  86]]

 [[729 205]]

 [[745 205]]

 [[745  86]]]","(737, 145)",-,-,'13,0.8,-,bar
4,"[[[152 100]]

 [[152 205]]

 [[169 205]]

 [[169 100]]]","(160, 152)",-,-,'07,0.8,-,bar
5,"[[[406 100]]

 [[406 205]]

 [[423 205]]

 [[423 100]]]","(414, 152)",-,-,'10,0.8,-,bar
6,"[[[175 103]]

 [[175 205]]

 [[192 205]]

 [[192 103]]]","(183, 154)",-,-,'07,0.8,-,bar
7,"[[[ 60 106]]

 [[ 60 205]]

 [[ 77 205]]

 [[ 77 106]]]","(68, 155)",-,-,'06,0.8,-,bar
8,"[[[452 109]]

 [[452 205]]

 [[469 205]]

 [[469 109]]]","(460, 157)",-,-,'10,0.8,-,bar
9,"[[[891 111]]

 [[891 205]]

 [[907 205]]

 [[907 111]]]","(899, 158)",-,-,'15,0.8,-,bar
10,"[[[475 112]]

 [[475 205]]

 [[492 205]]

 [[492 112]]]","(483, 158)",-,-,'10,0.4,-,bar
11,"[[[498 123]]

 [[498 205]]

 [[515 205]]

 [[515 123]]]","(506, 164)",-,-,'11,0.4,-,bar
12,"[[[244 133]]

 [[244 205]]

 [[261 205]]

 [[261 133]]]","(252, 169)",-,-,'08,0.4,-,bar
13,"[[[429 142]]

 [[429 205]]

 [[446 205]]

 [[446 142]]]","(437, 173)",-,-,'10,0.4,-,bar
14,"[[[198 143]]

 [[198 205]]

 [[215 205]]

 [[215 143]]]","(206, 174)",-,-,'07,0.4,-,bar
15,"[[[221 163]]

 [[221 205]]

 [[238 205]]

 [[238 163]]]","(229, 184)",-,-,'08,0.4,-,bar
16,"[[[659 165]]

 [[659 205]]

 [[676 205]]

 [[676 165]]]","(667, 185)",-,-,'12,0.4,-,bar
17,"[[[590 171]]

 [[590 205]]

 [[607 205]]

 [[607 171]]]","(598, 188)",-,-,'12,0.4,-,bar
18,"[[[775 174]]

 [[775 205]]

 [[792 205]]

 [[792 174]]]","(783, 189)",-,-,'14,0.4,-,bar
19,"[[[567 176]]

 [[567 205]]

 [[584 205]]

 [[584 176]]]","(575, 190)",-,-,'11,0,-,bar
20,"[[[844 176]]

 [[844 205]]

 [[861 205]]

 [[861 176]]]","(852, 190)",-,-,'14,0,-,bar
21,"[[[382 185]]

 [[382 206]]

 [[400 206]]

 [[400 185]]]","(391, 195)",-,-,'09,0,-,bar
22,"[[[706 187]]

 [[706 205]]

 [[723 205]]

 [[723 187]]]","(714, 196)",-,-,'13,0,-,bar
23,"[[[867 195]]

 [[867 205]]

 [[884 205]]

 [[884 195]]]","(875, 200)",-,-,'15,0,-,bar
24,"[[[613 201]]

 [[613 206]]

 [[631 206]]

 [[631 201]]]","(622, 203)",-,-,'12,0,-,bar
25,"[[[337 207]]

 [[337 456]]

 [[354 456]]

 [[354 207]]]","(345, 331)",-,-,'09,0,-,bar
26,"[[[359 207]]

 [[359 218]]

 [[377 218]]

 [[377 207]]]","(368, 212)",-,-,'09,0,-,bar
27,"[[[544 207]]

 [[544 216]]

 [[561 216]]

 [[561 207]]]","(552, 211)",-,-,'11,0,-,bar
28,"[[[751 207]]

 [[751 226]]

 [[769 226]]

 [[769 207]]]","(760, 216)",-,-,'13,0,-,bar
29,"[[[798 207]]

 [[798 232]]

 [[815 232]]

 [[815 207]]]","(806, 219)",-,-,'14,0,-,bar
30,"[[[821 207]]

 [[821 218]]

 [[838 218]]

 [[838 207]]]","(829, 212)",-,-,'14,0,-,bar
31,"[[[267 208]]

 [[267 292]]

 [[284 292]]

 [[284 208]]]","(275, 250)",-,-,'08,0,-,bar
32,"[[[290 208]]

 [[290 253]]

 [[307 253]]

 [[307 208]]]","(298, 230)",-,-,'08,0,-,bar
33,"[[[314 208]]

 [[314 454]]

 [[330 454]]

 [[330 208]]]","(322, 331)",-,-,'09,0,-,bar
34,"[[[637 208]]

 [[637 248]]

 [[653 248]]

 [[653 208]]]","(645, 228)",-,-,'12,0,-,bar
