id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[ 96  44]]

 [[ 96  60]]

 [[208  60]]

 [[208  44]]]","(152, 52)",-,-,-,0,-,bar
1,"[[[ 96  77]]

 [[ 96  92]]

 [[360  92]]

 [[360  77]]]","(228, 84)",-,-,-,1-9%,-,bar
2,"[[[ 96 109]]

 [[ 96 124]]

 [[588 124]]

 [[588 109]]]","(342, 116)",-,-,-,10-19%,-,bar
3,"[[[ 96 173]]

 [[ 96 188]]

 [[777 188]]

 [[777 173]]]","(436, 180)",-,-,-,30-39%,-,bar
4,"[[[ 96 205]]

 [[ 96 220]]

 [[512 220]]

 [[512 205]]]","(304, 212)",-,-,-,40-49%,-,bar
5,"[[[ 96 237]]

 [[ 96 252]]

 [[777 252]]

 [[777 237]]]","(436, 244)",-,-,-,50-59%,-,bar
6,"[[[ 96 269]]

 [[ 96 284]]

 [[132 284]]

 [[132 269]]]","(114, 276)",-,-,-,60-69%,-,bar
7,"[[[ 96 301]]

 [[ 96 316]]

 [[284 316]]

 [[284 301]]]","(190, 308)",-,-,-,70-79%,-,bar
8,"[[[ 96 333]]

 [[ 96 348]]

 [[246 348]]

 [[246 333]]]","(171, 340)",-,-,-,80-89%,-,bar
9,"[[[ 96 365]]

 [[ 96 380]]

 [[322 380]]

 [[322 365]]]","(209, 372)",-,-,-,90-99%,-,bar
10,"[[[ 96 397]]

 [[ 96 413]]

 [[853 413]]

 [[853 397]]]","(474, 405)",-,-,-,100%,-,bar
