id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[234 108]]

 [[234 237]]

 [[282 237]]

 [[282 108]]]","(258, 172)",-,-,Q3,5,-,bar
1,"[[[ 58 113]]

 [[ 58 237]]

 [[106 237]]

 [[106 113]]]","(82, 175)",-,-,Q2,5,-,bar
2,"[[[499 115]]

 [[499 237]]

 [[547 237]]

 [[547 115]]]","(523, 176)",-,-,Q2,5,-,bar
3,"[[[144 117]]

 [[144 237]]

 [[192 237]]

 [[192 117]]]","(168, 177)",-,-,Q2,5,-,bar
4,"[[[412 117]]

 [[412 237]]

 [[461 237]]

 [[461 117]]]","(436, 177)",-,-,2015,5,-,bar
5,"[[[323 131]]

 [[323 237]]

 [[371 237]]

 [[371 131]]]","(347, 184)",-,-,Q4,5,-,bar
6,"[[[588 191]]

 [[588 237]]

 [[636 237]]

 [[636 191]]]","(612, 214)",-,-,Q3,0,-,bar
7,"[[[678 197]]

 [[678 237]]

 [[726 237]]

 [[726 197]]]","(702, 217)",-,-,Q4,0,-,bar
8,"[[[767 239]]

 [[767 361]]

 [[815 361]]

 [[815 239]]]","(791, 300)",-,-,2016,0,-,bar
9,"[[[855 239]]

 [[855 290]]

 [[903 290]]

 [[903 239]]]","(879, 264)",-,-,Q2,0,-,bar
