id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[103 109]]

 [[103 459]]

 [[149 459]]

 [[149 109]]]","(126, 284)",Instagram,[209  80   0],2014,60,-,bar
1,"[[[226 338]]

 [[226 459]]

 [[272 459]]

 [[272 338]]]","(249, 398)",Instagram,[209  80   0],2015,20,-,bar
2,"[[[349 373]]

 [[349 459]]

 [[395 459]]

 [[395 373]]]","(372, 416)",Instagram,[209  80   0],2016,10,-,bar
3,"[[[472 399]]

 [[472 459]]

 [[518 459]]

 [[518 399]]]","(495, 429)",Instagram,[209  80   0],2017,10,-,bar
4,"[[[595 418]]

 [[595 459]]

 [[641 459]]

 [[641 418]]]","(618, 438)",Instagram,[209  80   0],2018,10,-,bar
5,"[[[717 432]]

 [[717 459]]

 [[764 459]]

 [[764 432]]]","(740, 445)",Instagram,[209  80   0],2019,0,-,bar
6,"[[[841 437]]

 [[841 459]]

 [[887 459]]

 [[887 437]]]","(864, 448)",Instagram,[209  80   0],2020,0,-,bar
7,"[[[ 52 440]]

 [[ 52 459]]

 [[ 98 459]]

 [[ 98 440]]]","(75, 449)",Facebook,[209  80   0],2014,0,-,bar
8,"[[[175 442]]

 [[175 459]]

 [[221 459]]

 [[221 442]]]","(198, 450)",Facebook,[209  80   0],2015,0,-,bar
9,"[[[298 444]]

 [[298 459]]

 [[344 459]]

 [[344 444]]]","(321, 451)",Facebook,[209  80   0],2016,0,-,bar
10,"[[[420 446]]

 [[420 459]]

 [[467 459]]

 [[467 446]]]","(443, 452)",Facebook,[209  80   0],2017,0,-,bar
11,"[[[544 448]]

 [[544 459]]

 [[590 459]]

 [[590 448]]]","(567, 453)",Facebook,[209  80   0],2018,0,-,bar
12,"[[[667 450]]

 [[667 459]]

 [[713 459]]

 [[713 450]]]","(690, 454)",Facebook,[209  80   0],2019,0,-,bar
13,"[[[789 451]]

 [[789 459]]

 [[836 459]]

 [[836 451]]]","(812, 455)",Facebook,[209  80   0],2020,0,-,bar
14,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(159, 96, 0)",-,-,Facebook,legend
15,"[[[120  11]]

 [[120  21]]

 [[131  21]]

 [[131  11]]]","(125, 16)",-,"(229, 178, 81)",-,-,Instagram,legend
