id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[874  68]]

 [[874 459]]

 [[890 459]]

 [[890  68]]]","(882, 263)",Advertising,[209  80   0],'15,$4.500 billion,-,bar
1,"[[[829 111]]

 [[829 459]]

 [[845 459]]

 [[845 111]]]","(837, 285)",Advertising,[209  80   0],'15,3.375,-,bar
2,"[[[740 132]]

 [[740 459]]

 [[757 459]]

 [[757 132]]]","(748, 295)",Advertising,[209  80   0],'15,3.375,-,bar
3,"[[[785 158]]

 [[785 459]]

 [[802 459]]

 [[802 158]]]","(793, 308)",Advertising,[209  80   0],'15,3.375,-,bar
4,"[[[695 191]]

 [[695 459]]

 [[712 459]]

 [[712 191]]]","(703, 325)",Advertising,[209  80   0],'14,3.375,-,bar
5,"[[[651 216]]

 [[651 459]]

 [[667 459]]

 [[667 216]]]","(659, 337)",Advertising,[209  80   0],'14,2.250,-,bar
6,"[[[562 247]]

 [[562 459]]

 [[578 459]]

 [[578 247]]]","(570, 353)",Advertising,[209  80   0],'14,2.250,-,bar
7,"[[[607 254]]

 [[607 459]]

 [[623 459]]

 [[623 254]]]","(615, 356)",Advertising,[209  80   0],'14,2.250,-,bar
8,"[[[517 297]]

 [[517 459]]

 [[534 459]]

 [[534 297]]]","(525, 378)",Advertising,[209  80   0],'13,2.250,-,bar
9,"[[[472 315]]

 [[472 459]]

 [[489 459]]

 [[489 315]]]","(480, 387)",Advertising,[209  80   0],'13,1.125,-,bar
10,"[[[384 340]]

 [[384 459]]

 [[400 459]]

 [[400 340]]]","(392, 399)",Advertising,[209  80   0],'13,1.125,-,bar
11,"[[[428 347]]

 [[428 459]]

 [[445 459]]

 [[445 347]]]","(436, 403)",Advertising,[209  80   0],'13,1.125,-,bar
12,"[[[339 362]]

 [[339 459]]

 [[355 459]]

 [[355 362]]]","(347, 410)",Advertising,[209  80   0],'12,1.125,-,bar
13,"[[[294 370]]

 [[294 459]]

 [[311 459]]

 [[311 370]]]","(302, 414)",Advertising,[209  80   0],'12,1.125,-,bar
