id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[793 116]]

 [[793 459]]

 [[841 459]]

 [[841 116]]]","(817, 287)",Internet users,[209  80   0],'17,450,-,bar
1,"[[[609 168]]

 [[609 459]]

 [[657 459]]

 [[657 168]]]","(633, 313)",Internet users,[209  80   0],'16,450,-,bar
2,"[[[861 185]]

 [[861 459]]

 [[909 459]]

 [[909 185]]]","(885, 322)",Wireless internet connections,[229 178  81],'17,450,-,bar
3,"[[[425 218]]

 [[425 459]]

 [[474 459]]

 [[474 218]]]","(449, 338)",Internet users,[209  80   0],'15,300,-,bar
4,"[[[677 230]]

 [[677 459]]

 [[725 459]]

 [[725 230]]]","(701, 344)",Wireless internet connections,[229 178  81],'16,300,-,bar
5,"[[[242 270]]

 [[242 459]]

 [[290 459]]

 [[290 270]]]","(266, 364)",Internet users,[209  80   0],'14,300,-,bar
6,"[[[494 274]]

 [[494 459]]

 [[542 459]]

 [[542 274]]]","(518, 366)",Wireless internet connections,[229 178  81],'15,300,-,bar
7,"[[[310 317]]

 [[310 459]]

 [[358 459]]

 [[358 317]]]","(334, 388)",Wireless internet connections,[229 178  81],'14,150,-,bar
8,"[[[ 59 331]]

 [[ 59 459]]

 [[107 459]]

 [[107 331]]]","(83, 395)",Internet users,[209  80   0],'13,150,-,bar
9,"[[[127 358]]

 [[127 459]]

 [[175 459]]

 [[175 358]]]","(151, 408)",Wireless internet connections,[229 178  81],'13,150,-,bar
10,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Internet users,legend
11,"[[[158  11]]

 [[158  21]]

 [[169  21]]

 [[169  11]]]","(163, 16)",-,"(229, 178, 81)",-,-,Wireless internet connections,legend
