id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[874  69]]

 [[874 459]]

 [[915 459]]

 [[915  69]]]","(894, 264)",Walmart,[229 178  81],'14,$500 billion,-,bar
1,"[[[763  75]]

 [[763 459]]

 [[804 459]]

 [[804  75]]]","(783, 267)",Walmart,[229 178  81],'13,$500 billion,-,bar
2,"[[[652  93]]

 [[652 459]]

 [[693 459]]

 [[693  93]]]","(672, 276)",Walmart,[229 178  81],'12,400,-,bar
3,"[[[541 114]]

 [[541 459]]

 [[582 459]]

 [[582 114]]]","(561, 286)",Walmart,[229 178  81],'11,400,-,bar
4,"[[[431 125]]

 [[431 459]]

 [[472 459]]

 [[472 125]]]","(451, 292)",Walmart,[229 178  81],'10,400,-,bar
5,"[[[320 127]]

 [[320 459]]

 [[361 459]]

 [[361 127]]]","(340, 293)",Walmart,[229 178  81],'09,400,-,bar
6,"[[[209 149]]

 [[209 459]]

 [[250 459]]

 [[250 149]]]","(229, 304)",Walmart,[229 178  81],'08,400,-,bar
7,"[[[ 98 174]]

 [[ 98 459]]

 [[139 459]]

 [[139 174]]]","(118, 316)",Walmart,[229 178  81],'07,300,-,bar
8,"[[[829 452]]

 [[829 459]]

 [[870 459]]

 [[870 452]]]","(849, 455)",Facebook,[209  80   0],'14,0,-,bar
9,"[[[718 455]]

 [[718 459]]

 [[759 459]]

 [[759 455]]]","(738, 457)",Facebook,[209  80   0],'13,0,-,bar
10,"[[[607 457]]

 [[607 460]]

 [[648 460]]

 [[648 457]]]","(627, 458)",-,-,'12,0,-,bar
11,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Facebook,legend
12,"[[[120  11]]

 [[120  21]]

 [[131  21]]

 [[131  11]]]","(125, 16)",-,"(229, 178, 81)",-,-,Walmart,legend
