id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[894  38]]

 [[894 459]]

 [[907 459]]

 [[907  38]]]","(900, 248)",-,-,'15,"60,000 employees",-,bar
1,"[[[876  51]]

 [[876 459]]

 [[888 459]]

 [[888  51]]]","(882, 255)",-,-,'15,"60,000 employees",-,bar
2,"[[[858  65]]

 [[858 459]]

 [[870 459]]

 [[870  65]]]","(864, 262)",-,-,'15,"50,000",-,bar
3,"[[[839  80]]

 [[839 459]]

 [[852 459]]

 [[852  80]]]","(845, 269)",-,-,'15,"50,000",-,bar
4,"[[[821 102]]

 [[821 459]]

 [[834 459]]

 [[834 102]]]","(827, 280)",-,-,'14,"50,000",-,bar
5,"[[[802 120]]

 [[802 459]]

 [[815 459]]

 [[815 120]]]","(808, 289)",-,-,'14,"50,000",-,bar
6,"[[[784 137]]

 [[784 459]]

 [[797 459]]

 [[797 137]]]","(790, 298)",-,-,'14,"40,000",-,bar
7,"[[[766 149]]

 [[766 459]]

 [[779 459]]

 [[779 149]]]","(772, 304)",-,-,'14,"40,000",-,bar
8,"[[[748 164]]

 [[748 459]]

 [[760 459]]

 [[760 164]]]","(754, 311)",-,-,'13,"40,000",-,bar
9,"[[[729 175]]

 [[729 459]]

 [[742 459]]

 [[742 175]]]","(735, 317)",-,-,'13,"40,000",-,bar
10,"[[[711 184]]

 [[711 459]]

 [[724 459]]

 [[724 184]]]","(717, 321)",-,-,'13,"40,000",-,bar
11,"[[[693 194]]

 [[693 459]]

 [[706 459]]

 [[706 194]]]","(699, 326)",-,-,'13,"40,000",-,bar
12,"[[[675 208]]

 [[675 459]]

 [[687 459]]

 [[687 208]]]","(681, 333)",-,-,'12,"30,000",-,bar
13,"[[[656 217]]

 [[656 459]]

 [[669 459]]

 [[669 217]]]","(662, 338)",-,-,'12,"30,000",-,bar
14,"[[[638 221]]

 [[638 459]]

 [[651 459]]

 [[651 221]]]","(644, 340)",-,-,'12,"30,000",-,bar
15,"[[[620 229]]

 [[620 459]]

 [[633 459]]

 [[633 229]]]","(626, 344)",-,-,'12,"30,000",-,bar
16,"[[[601 248]]

 [[601 459]]

 [[614 459]]

 [[614 248]]]","(607, 353)",-,-,'11,"30,000",-,bar
17,"[[[583 267]]

 [[583 459]]

 [[596 459]]

 [[596 267]]]","(589, 363)",-,-,'11,"30,000",-,bar
18,"[[[565 281]]

 [[565 459]]

 [[578 459]]

 [[578 281]]]","(571, 370)",-,-,'11,"20,000",-,bar
19,"[[[547 289]]

 [[547 459]]

 [[559 459]]

 [[559 289]]]","(553, 374)",-,-,'11,"20,000",-,bar
20,"[[[528 300]]

 [[528 459]]

 [[541 459]]

 [[541 300]]]","(534, 379)",-,-,'10,"20,000",-,bar
21,"[[[510 309]]

 [[510 459]]

 [[523 459]]

 [[523 309]]]","(516, 384)",-,-,'10,"20,000",-,bar
22,"[[[400 312]]

 [[400 459]]

 [[413 459]]

 [[413 312]]]","(406, 385)",-,-,'09,"20,000",-,bar
23,"[[[419 312]]

 [[419 459]]

 [[432 459]]

 [[432 312]]]","(425, 385)",-,-,'09,"20,000",-,bar
