id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[394  45]]

 [[394  60]]

 [[843  60]]

 [[843  45]]]","(618, 52)",-,-,-,San Antonio car wreck attorney,-,bar
1,"[[[394  77]]

 [[394  92]]

 [[814  92]]

 [[814  77]]]","(604, 84)",-,-,-,Accident attorney Riverside VA,-,bar
2,"[[[394 109]]

 [[394 124]]

 [[764 124]]

 [[764 109]]]","(579, 116)",-,-,-,Personal injury attorney Colorado,-,bar
3,"[[[394 141]]

 [[394 156]]

 [[763 156]]

 [[763 141]]]","(578, 148)",-,-,-,Top personal injury attorneys,-,bar
4,"[[[394 173]]

 [[394 188]]

 [[763 188]]

 [[763 173]]]","(578, 180)",-,-,-,Motorcycle accient attorney Los Angeles,-,bar
5,"[[[394 205]]

 [[394 220]]

 [[755 220]]

 [[755 205]]]","(574, 212)",-,-,-,Structure settlements,-,bar
6,"[[[394 237]]

 [[394 252]]

 [[734 252]]

 [[734 237]]]","(564, 244)",-,-,-,Car accident attorney Orange County,-,bar
7,"[[[394 269]]

 [[394 284]]

 [[704 284]]

 [[704 269]]]","(549, 276)",-,-,-,Austin drug rehab,-,bar
8,"[[[394 301]]

 [[394 316]]

 [[695 316]]

 [[695 301]]]","(544, 308)",-,-,-,Orange County accident attorney,-,bar
9,"[[[394 333]]

 [[394 349]]

 [[685 349]]

 [[685 333]]]","(539, 341)",-,-,-,West Palm Beach criminal lawyer,-,bar
