id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[751  91]]

 [[751 459]]

 [[763 459]]

 [[763  91]]]","(757, 275)",US,[135  87 171],'10,$800 billion,-,bar
1,"[[[784  95]]

 [[784 459]]

 [[796 459]]

 [[796  95]]]","(790, 277)",US,[135  87 171],'11,$800 billion,-,bar
2,"[[[718 100]]

 [[718 459]]

 [[730 459]]

 [[730 100]]]","(724, 279)",US,[135  87 171],'09,600,-,bar
3,"[[[816 116]]

 [[816 459]]

 [[829 459]]

 [[829 116]]]","(822, 287)",US,[135  87 171],'12,600,-,bar
4,"[[[685 127]]

 [[685 459]]

 [[697 459]]

 [[697 127]]]","(691, 293)",US,[135  87 171],'08,600,-,bar
5,"[[[849 143]]

 [[849 459]]

 [[862 459]]

 [[862 143]]]","(855, 301)",US,[135  87 171],'13,600,-,bar
6,"[[[652 150]]

 [[652 459]]

 [[664 459]]

 [[664 150]]]","(658, 304)",US,[135  87 171],'07,600,-,bar
7,"[[[619 158]]

 [[619 459]]

 [[631 459]]

 [[631 158]]]","(625, 308)",US,[135  87 171],'06,600,-,bar
8,"[[[586 163]]

 [[586 459]]

 [[598 459]]

 [[598 163]]]","(592, 311)",US,[135  87 171],'05,600,-,bar
9,"[[[882 164]]

 [[882 459]]

 [[894 459]]

 [[894 164]]]","(888, 311)",US,[135  87 171],'14,600,-,bar
10,"[[[ 59 177]]

 [[ 59 459]]

 [[ 71 459]]

 [[ 71 177]]]","(65, 318)",US,[135  87 171],'8,600,-,bar
11,"[[[553 177]]

 [[553 459]]

 [[565 459]]

 [[565 177]]]","(559, 318)",US,[135  87 171],'04,600,-,bar
12,"[[[ 92 190]]

 [[ 92 459]]

 [[104 459]]

 [[104 190]]]","(98, 324)",US,[135  87 171],0,600,-,bar
13,"[[[520 200]]

 [[520 459]]

 [[532 459]]

 [[532 200]]]","(526, 329)",US,[135  87 171],'03,600,-,bar
14,"[[[158 209]]

 [[158 459]]

 [[170 459]]

 [[170 209]]]","(164, 334)",US,[135  87 171],'92,400,-,bar
15,"[[[125 223]]

 [[125 459]]

 [[137 459]]

 [[137 223]]]","(131, 341)",US,[135  87 171],'91,400,-,bar
16,"[[[191 223]]

 [[191 459]]

 [[203 459]]

 [[203 223]]]","(197, 341)",US,[135  87 171],'93,400,-,bar
17,"[[[487 232]]

 [[487 459]]

 [[499 459]]

 [[499 232]]]","(493, 345)",US,[135  87 171],'02,400,-,bar
