id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[ 68 107]]

 [[ 68 459]]

 [[110 459]]

 [[110 107]]]","(89, 283)",2014,[135  87 171],Nordstrom,80,-,bar
1,"[[[114 124]]

 [[114 459]]

 [[156 459]]

 [[156 124]]]","(135, 291)",2015,[229 178  81],Nordstrom,80,-,bar
2,"[[[211 132]]

 [[211 459]]

 [[253 459]]

 [[253 132]]]","(232, 295)",2014,[135  87 171],Kohl's,80,-,bar
3,"[[[354 132]]

 [[354 459]]

 [[396 459]]

 [[396 132]]]","(375, 295)",2014,[135  87 171],Target,80,-,bar
4,"[[[640 136]]

 [[640 459]]

 [[682 459]]

 [[682 136]]]","(661, 297)",2014,[135  87 171],Macy's,80,-,bar
5,"[[[257 144]]

 [[257 459]]

 [[299 459]]

 [[299 144]]]","(278, 301)",2015,[229 178  81],Kohl's,80,-,bar
6,"[[[497 144]]

 [[497 459]]

 [[539 459]]

 [[539 144]]]","(518, 301)",2014,[135  87 171],JC Penney,80,-,bar
7,"[[[400 152]]

 [[400 459]]

 [[442 459]]

 [[442 152]]]","(421, 305)",2015,[229 178  81],Target,80,-,bar
8,"[[[543 157]]

 [[543 459]]

 [[585 459]]

 [[585 157]]]","(564, 308)",2015,[229 178  81],JC Penney,80,-,bar
9,"[[[686 161]]

 [[686 459]]

 [[728 459]]

 [[728 161]]]","(707, 310)",2015,[229 178  81],Macy's,80,-,bar
10,"[[[783 181]]

 [[783 459]]

 [[825 459]]

 [[825 181]]]","(804, 320)",2014,[135  87 171],Walmart,60,-,bar
11,"[[[829 190]]

 [[829 459]]

 [[871 459]]

 [[871 190]]]","(850, 324)",2015,[229 178  81],Walmart,60,-,bar
12,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,2014,legend
13,"[[[73 11]]

 [[73 21]]

 [[84 21]]

 [[84 11]]]","(78, 16)",-,"(229, 178, 81)",-,-,2015,legend
