id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[866  81]]

 [[866 459]]

 [[914 459]]

 [[914  81]]]","(890, 270)",North America,[229 178  81],'14,$60 billion in net sales,-,bar
1,"[[[713 156]]

 [[713 459]]

 [[761 459]]

 [[761 156]]]","(737, 307)",North America,[229 178  81],'13,45,-,bar
2,"[[[560 222]]

 [[560 459]]

 [[608 459]]

 [[608 222]]]","(584, 340)",North America,[229 178  81],'12,30,-,bar
3,"[[[807 231]]

 [[807 459]]

 [[855 459]]

 [[855 231]]]","(831, 345)",International,[135  87 171],'14,30,-,bar
4,"[[[654 256]]

 [[654 459]]

 [[702 459]]

 [[702 256]]]","(678, 357)",International,[135  87 171],'13,30,-,bar
5,"[[[407 278]]

 [[407 459]]

 [[455 459]]

 [[455 278]]]","(431, 368)",North America,[229 178  81],'11,30,-,bar
6,"[[[501 281]]

 [[501 459]]

 [[549 459]]

 [[549 281]]]","(525, 370)",International,[135  87 171],'12,30,-,bar
7,"[[[348 315]]

 [[348 459]]

 [[396 459]]

 [[396 315]]]","(372, 387)",International,[135  87 171],'11,15,-,bar
8,"[[[255 333]]

 [[255 459]]

 [[303 459]]

 [[303 333]]]","(279, 396)",North America,[229 178  81],'10,15,-,bar
9,"[[[196 355]]

 [[196 459]]

 [[244 459]]

 [[244 355]]]","(220, 407)",International,[135  87 171],'10,15,-,bar
10,"[[[102 373]]

 [[102 459]]

 [[150 459]]

 [[150 373]]]","(126, 416)",North America,[229 178  81],'09,15,-,bar
11,"[[[ 43 381]]

 [[ 43 459]]

 [[ 91 459]]

 [[ 91 381]]]","(67, 420)",International,[135  87 171],'09,15,-,bar
12,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,International,legend
13,"[[[148  11]]

 [[148  21]]

 [[159  21]]

 [[159  11]]]","(153, 16)",-,"(229, 178, 81)",-,-,North America,legend
