id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[604 151]]

 [[604 459]]

 [[634 459]]

 [[634 151]]]","(619, 305)",Pork,[135  87 171],'12,2,-,bar
1,"[[[522 152]]

 [[522 459]]

 [[553 459]]

 [[553 152]]]","(537, 305)",Pork,[135  87 171],'11,2,-,bar
2,"[[[767 163]]

 [[767 459]]

 [[798 459]]

 [[798 163]]]","(782, 311)",Pork,[135  87 171],'14,2,-,bar
3,"[[[685 167]]

 [[685 459]]

 [[716 459]]

 [[716 167]]]","(700, 313)",Pork,[135  87 171],'13,2,-,bar
4,"[[[848 169]]

 [[848 459]]

 [[879 459]]

 [[879 169]]]","(863, 314)",Pork,[135  87 171],'15,2,-,bar
5,"[[[277 180]]

 [[277 459]]

 [[308 459]]

 [[308 180]]]","(292, 319)",Pork,[135  87 171],'08,2,-,bar
6,"[[[440 199]]

 [[440 459]]

 [[471 459]]

 [[471 199]]]","(455, 329)",Pork,[135  87 171],'10,2,-,bar
7,"[[[359 206]]

 [[359 459]]

 [[390 459]]

 [[390 206]]]","(374, 332)",Pork,[135  87 171],'09,2,-,bar
8,"[[[195 283]]

 [[195 459]]

 [[226 459]]

 [[226 283]]]","(210, 371)",Pork,[135  87 171],'07,1,-,bar
9,"[[[556 286]]

 [[556 459]]

 [[587 459]]

 [[587 286]]]","(571, 372)",Beef,[229 178  81],'11,1,-,bar
10,"[[[114 288]]

 [[114 459]]

 [[145 459]]

 [[145 288]]]","(129, 373)",Pork,[135  87 171],'06,1,-,bar
11,"[[[801 298]]

 [[801 459]]

 [[832 459]]

 [[832 298]]]","(816, 378)",Beef,[229 178  81],'14,1,-,bar
12,"[[[720 301]]

 [[720 459]]

 [[751 459]]

 [[751 301]]]","(735, 380)",Beef,[229 178  81],'13,1,-,bar
13,"[[[ 32 303]]

 [[ 32 459]]

 [[ 63 459]]

 [[ 63 303]]]","(47, 381)",Pork,[135  87 171],'05,1,-,bar
14,"[[[638 306]]

 [[638 459]]

 [[669 459]]

 [[669 306]]]","(653, 382)",Beef,[229 178  81],'12,1,-,bar
15,"[[[475 316]]

 [[475 459]]

 [[506 459]]

 [[506 316]]]","(490, 387)",Beef,[229 178  81],'10,1,-,bar
16,"[[[883 316]]

 [[883 459]]

 [[914 459]]

 [[914 316]]]","(898, 387)",Beef,[229 178  81],'15,1,-,bar
17,"[[[311 327]]

 [[311 459]]

 [[342 459]]

 [[342 327]]]","(326, 393)",Beef,[229 178  81],'08,1,-,bar
18,"[[[393 339]]

 [[393 459]]

 [[424 459]]

 [[424 339]]]","(408, 399)",Beef,[229 178  81],'09,1,-,bar
19,"[[[230 356]]

 [[230 459]]

 [[261 459]]

 [[261 356]]]","(245, 407)",Beef,[229 178  81],'07,1,-,bar
20,"[[[148 372]]

 [[148 459]]

 [[179 459]]

 [[179 372]]]","(163, 415)",Beef,[229 178  81],'06,1,-,bar
21,"[[[ 67 397]]

 [[ 67 459]]

 [[ 98 459]]

 [[ 98 397]]]","(82, 428)",Beef,[229 178  81],'05,0,-,bar
22,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Pork,legend
23,"[[[74 11]]

 [[74 21]]

 [[85 21]]

 [[85 11]]]","(79, 16)",-,"(229, 178, 81)",-,-,Beef,legend
