id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[208  92]]

 [[208 459]]

 [[222 459]]

 [[222  92]]]","(215, 275)",-,-,'07,15,-,bar
1,"[[[228 119]]

 [[228 459]]

 [[242 459]]

 [[242 119]]]","(235, 289)",-,-,'07,15,-,bar
2,"[[[309 121]]

 [[309 459]]

 [[323 459]]

 [[323 121]]]","(316, 290)",-,-,'08,15,-,bar
3,"[[[329 134]]

 [[329 459]]

 [[343 459]]

 [[343 134]]]","(336, 296)",-,-,'08,15,-,bar
4,"[[[268 146]]

 [[268 459]]

 [[283 459]]

 [[283 146]]]","(275, 302)",-,-,'08,15,-,bar
5,"[[[167 166]]

 [[167 459]]

 [[182 459]]

 [[182 166]]]","(174, 312)",-,-,'06,15,-,bar
6,"[[[188 172]]

 [[188 459]]

 [[202 459]]

 [[202 172]]]","(195, 315)",-,-,'07,15,-,bar
7,"[[[248 172]]

 [[248 459]]

 [[262 459]]

 [[262 172]]]","(255, 315)",-,-,'07,15,-,bar
8,"[[[289 186]]

 [[289 459]]

 [[303 459]]

 [[303 186]]]","(296, 322)",-,-,'08,10,-,bar
9,"[[[349 214]]

 [[349 459]]

 [[363 459]]

 [[363 214]]]","(356, 336)",-,-,'09,10,-,bar
10,"[[[ 87 215]]

 [[ 87 459]]

 [[101 459]]

 [[101 215]]]","(94, 337)",-,-,'05,10,-,bar
11,"[[[470 220]]

 [[470 459]]

 [[484 459]]

 [[484 220]]]","(477, 339)",-,-,'10,10,-,bar
12,"[[[107 223]]

 [[107 459]]

 [[122 459]]

 [[122 223]]]","(114, 341)",-,-,'06,10,-,bar
13,"[[[ 67 227]]

 [[ 67 459]]

 [[ 81 459]]

 [[ 81 227]]]","(74, 343)",-,-,'05,10,-,bar
14,"[[[127 230]]

 [[127 459]]

 [[142 459]]

 [[142 230]]]","(134, 344)",-,-,'06,10,-,bar
15,"[[[147 237]]

 [[147 459]]

 [[162 459]]

 [[162 237]]]","(154, 348)",-,-,'06,10,-,bar
16,"[[[570 240]]

 [[570 459]]

 [[585 459]]

 [[585 240]]]","(577, 349)",-,-,'11,10,-,bar
17,"[[[510 247]]

 [[510 459]]

 [[524 459]]

 [[524 247]]]","(517, 353)",-,-,'11,10,-,bar
18,"[[[591 255]]

 [[591 459]]

 [[605 459]]

 [[605 255]]]","(598, 357)",-,-,'12,10,-,bar
19,"[[[490 260]]

 [[490 459]]

 [[504 459]]

 [[504 260]]]","(497, 359)",-,-,'10,10,-,bar
20,"[[[611 261]]

 [[611 459]]

 [[625 459]]

 [[625 261]]]","(618, 360)",-,-,'12,10,-,bar
21,"[[[550 265]]

 [[550 459]]

 [[565 459]]

 [[565 265]]]","(557, 362)",-,-,'11,10,-,bar
22,"[[[631 265]]

 [[631 459]]

 [[645 459]]

 [[645 265]]]","(638, 362)",-,-,'12,10,-,bar
23,"[[[772 265]]

 [[772 459]]

 [[787 459]]

 [[787 265]]]","(779, 362)",-,-,'14,10,-,bar
24,"[[[369 266]]

 [[369 459]]

 [[384 459]]

 [[384 266]]]","(376, 362)",-,-,'09,10,-,bar
25,"[[[530 266]]

 [[530 459]]

 [[545 459]]

 [[545 266]]]","(537, 362)",-,-,'11,10,-,bar
26,"[[[ 47 268]]

 [[ 47 459]]

 [[ 61 459]]

 [[ 61 268]]]","(54, 363)",-,-,'05,10,-,bar
27,"[[[450 270]]

 [[450 459]]

 [[464 459]]

 [[464 270]]]","(457, 364)",-,-,'10,10,-,bar
28,"[[[732 281]]

 [[732 459]]

 [[746 459]]

 [[746 281]]]","(739, 370)",-,-,'13,10,-,bar
29,"[[[752 282]]

 [[752 459]]

 [[766 459]]

 [[766 282]]]","(759, 370)",-,-,'14,10,-,bar
30,"[[[712 286]]

 [[712 459]]

 [[726 459]]

 [[726 286]]]","(719, 372)",-,-,'13,10,-,bar
31,"[[[692 293]]

 [[692 459]]

 [[706 459]]

 [[706 293]]]","(699, 376)",-,-,'13,10,-,bar
32,"[[[812 304]]

 [[812 459]]

 [[827 459]]

 [[827 304]]]","(819, 381)",-,-,'14,5,-,bar
33,"[[[651 306]]

 [[651 459]]

 [[665 459]]

 [[665 311]]

 [[666 310]]

 [[666 306]]]","(658, 382)",-,-,'12,5,-,bar
34,"[[[430 307]]

 [[430 459]]

 [[444 459]]

 [[444 307]]]","(437, 383)",-,-,'10,5,-,bar
35,"[[[671 310]]

 [[671 459]]

 [[686 459]]

 [[686 310]]]","(678, 384)",-,-,'13,5,-,bar
36,"[[[792 310]]

 [[792 459]]

 [[807 459]]

 [[807 310]]]","(799, 384)",-,-,'14,5,-,bar
37,"[[[833 314]]

 [[833 459]]

 [[847 459]]

 [[847 314]]]","(840, 386)",-,-,'15,5,-,bar
38,"[[[389 326]]

 [[389 459]]

 [[404 459]]

 [[404 326]]]","(396, 392)",-,-,'09,5,-,bar
39,"[[[873 353]]

 [[873 459]]

 [[887 459]]

 [[887 353]]]","(880, 406)",-,-,'15,5,-,bar
40,"[[[853 356]]

 [[853 459]]

 [[867 459]]

 [[867 356]]]","(860, 407)",-,-,'15,5,-,bar
41,"[[[409 359]]

 [[409 459]]

 [[424 459]]

 [[424 359]]]","(416, 409)",-,-,'09,5,-,bar
42,"[[[893 370]]

 [[893 459]]

 [[907 459]]

 [[907 370]]]","(900, 414)",-,-,'15,5,-,bar
