id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[587  73]]

 [[587 237]]

 [[635 237]]

 [[635  73]]]","(611, 155)",-,-,2016,1,-,bar
1,"[[[723  73]]

 [[723 237]]

 [[771 237]]

 [[771  73]]]","(747, 155)",-,-,2016,1,-,bar
2,"[[[792  73]]

 [[792 237]]

 [[840 237]]

 [[840  73]]]","(816, 155)",-,-,2016,1,-,bar
3,"[[[656 117]]

 [[656 237]]

 [[704 237]]

 [[704 117]]]","(680, 177)",-,-,2016,1,-,bar
4,"[[[861 173]]

 [[861 237]]

 [[909 237]]

 [[909 173]]]","(885, 205)",-,-,2016,1,-,bar
5,"[[[518 184]]

 [[518 237]]

 [[566 237]]

 [[566 184]]]","(542, 210)",-,-,2016,0,-,bar
6,"[[[110 239]]

 [[110 392]]

 [[158 392]]

 [[158 239]]]","(134, 315)",-,-,2014,0,-,bar
7,"[[[176 239]]

 [[176 270]]

 [[225 270]]

 [[225 239]]]","(200, 254)",-,-,2014,0,-,bar
8,"[[[245 239]]

 [[245 270]]

 [[294 270]]

 [[294 239]]]","(269, 254)",-,-,2015,0,-,bar
9,"[[[314 239]]

 [[314 281]]

 [[362 281]]

 [[362 239]]]","(338, 260)",-,-,2015,0,-,bar
10,"[[[383 239]]

 [[383 248]]

 [[431 248]]

 [[431 239]]]","(407, 243)",-,-,2015,0,-,bar
