id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[141  44]]

 [[141  60]]

 [[620  60]]

 [[620  44]]]","(380, 52)",-,-,-,China,-,bar
1,"[[[141  77]]

 [[141  92]]

 [[507  92]]

 [[507  77]]]","(324, 84)",-,-,-,Taiwan,-,bar
2,"[[[141 109]]

 [[141 124]]

 [[450 124]]

 [[450 109]]]","(295, 116)",-,-,-,Vietnam,-,bar
3,"[[[141 141]]

 [[141 156]]

 [[422 156]]

 [[422 141]]]","(281, 148)",-,-,-,Thailand,-,bar
4,"[[[141 173]]

 [[141 188]]

 [[408 188]]

 [[408 173]]]","(274, 180)",-,-,-,Singapore,-,bar
5,"[[[141 205]]

 [[141 220]]

 [[365 220]]

 [[365 205]]]","(253, 212)",-,-,-,Malaysia,-,bar
6,"[[[141 237]]

 [[141 252]]

 [[351 252]]

 [[351 237]]]","(246, 244)",-,-,-,South Korea,-,bar
7,"[[[141 269]]

 [[141 284]]

 [[351 284]]

 [[351 269]]]","(246, 276)",-,-,-,Japan,-,bar
8,"[[[141 301]]

 [[141 316]]

 [[337 316]]

 [[337 301]]]","(239, 308)",-,-,-,Hong Kong,-,bar
9,"[[[141 333]]

 [[141 348]]

 [[280 348]]

 [[280 333]]]","(210, 340)",-,-,-,India,-,bar
10,"[[[141 365]]

 [[141 380]]

 [[266 380]]

 [[266 365]]]","(203, 372)",-,-,-,Philippines,-,bar
11,"[[[141 397]]

 [[141 413]]

 [[238 413]]

 [[238 397]]]","(189, 405)",-,-,-,Indonesia,-,bar
