id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[ 87  76]]

 [[ 87 150]]

 [[124 150]]

 [[124  76]]]","(105, 113)",Print ad rev,[209  80   0],2014,5%,-,bar
1,"[[[ 46  82]]

 [[ 46 150]]

 [[ 83 150]]

 [[ 83  82]]]","(64, 116)",Ad revenue (all),[135  87 171],2014,5%,-,bar
2,"[[[143 152]]

 [[143 234]]

 [[180 234]]

 [[180 152]]]","(161, 193)",Ad revenue (all),[135  87 171],Q2,0,-,bar
3,"[[[184 152]]

 [[184 286]]

 [[221 286]]

 [[221 152]]]","(202, 219)",Print ad rev,[209  80   0],Q2,0,-,bar
4,"[[[283 152]]

 [[283 259]]

 [[319 259]]

 [[319 152]]]","(301, 205)",Print ad rev,[209  80   0],Q3,0,-,bar
5,"[[[341 152]]

 [[341 193]]

 [[378 193]]

 [[378 152]]]","(359, 172)",Ad revenue (all),[135  87 171],Q4,0,-,bar
6,"[[[382 152]]

 [[382 339]]

 [[419 339]]

 [[419 152]]]","(400, 245)",Print ad rev,[209  80   0],Q4,0,-,bar
7,"[[[441 152]]

 [[441 269]]

 [[478 269]]

 [[478 152]]]","(459, 210)",Ad revenue (all),[135  87 171],2015,0,-,bar
8,"[[[482 152]]

 [[482 378]]

 [[519 378]]

 [[519 152]]]","(500, 265)",Print ad rev,[209  80   0],2015,0,-,bar
9,"[[[538 152]]

 [[538 263]]

 [[575 263]]

 [[575 152]]]","(556, 207)",Ad revenue (all),[135  87 171],Q2,0,-,bar
10,"[[[579 152]]

 [[579 413]]

 [[616 413]]

 [[616 152]]]","(597, 282)",Print ad rev,[209  80   0],Q2,0,-,bar
11,"[[[636 152]]

 [[636 193]]

 [[674 193]]

 [[674 152]]]","(655, 172)",Ad revenue (all),[135  87 171],Q3,0,-,bar
12,"[[[677 152]]

 [[677 168]]

 [[714 168]]

 [[714 152]]]","(695, 160)",Print ad rev,[209  80   0],Q3,0,-,bar
13,"[[[736 152]]

 [[736 177]]

 [[773 177]]

 [[773 152]]]","(754, 164)",Ad revenue (all),[135  87 171],Q4,0,-,bar
14,"[[[777 152]]

 [[777 286]]

 [[814 286]]

 [[814 152]]]","(795, 219)",Print ad rev,[209  80   0],Q4,0,-,bar
15,"[[[837 152]]

 [[837 290]]

 [[874 290]]

 [[874 152]]]","(855, 221)",Ad revenue (all),[135  87 171],2016,0,-,bar
16,"[[[878 152]]

 [[878 335]]

 [[915 335]]

 [[915 152]]]","(896, 243)",Print ad rev,[209  80   0],2016,0,-,bar
17,"[[[ 3 11]]

 [[ 3 21]]

 [[14 21]]

 [[14 11]]]","(8, 16)",-,"(135, 87, 171)",-,-,Ad revenue (all),legend
18,"[[[172  11]]

 [[172  21]]

 [[182  21]]

 [[182  11]]]","(177, 16)",-,"(229, 178, 81)",-,-,Print ad rev,legend
