id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[ 43  44]]

 [[ 43 311]]

 [[ 73 311]]

 [[ 73  44]]]","(58, 177)",-,-,'11,10%,-,bar
1,"[[[242  50]]

 [[242 311]]

 [[271 311]]

 [[271  50]]]","(256, 180)",-,-,'12,10%,-,bar
2,"[[[282  50]]

 [[282 311]]

 [[311 311]]

 [[311  50]]]","(296, 180)",-,-,'12,10%,-,bar
3,"[[[162  56]]

 [[162 311]]

 [[192 311]]

 [[192  56]]]","(177, 183)",-,-,'12,10%,-,bar
4,"[[[202  56]]

 [[202 311]]

 [[232 311]]

 [[232  56]]]","(217, 183)",-,-,'12,10%,-,bar
5,"[[[322  62]]

 [[322 311]]

 [[351 311]]

 [[351  62]]]","(336, 186)",-,-,'13,10%,-,bar
6,"[[[122  65]]

 [[122 311]]

 [[151 311]]

 [[151  65]]]","(136, 188)",-,-,'11,10%,-,bar
7,"[[[ 82  82]]

 [[ 82 311]]

 [[112 311]]

 [[112  82]]]","(97, 196)",-,-,'11,10%,-,bar
8,"[[[362 100]]

 [[362 311]]

 [[391 311]]

 [[391 100]]]","(376, 205)",-,-,'13,5,-,bar
9,"[[[441 103]]

 [[441 311]]

 [[470 311]]

 [[470 103]]]","(455, 207)",-,-,'13,5,-,bar
10,"[[[401 109]]

 [[401 311]]

 [[431 311]]

 [[431 109]]]","(416, 210)",-,-,'13,5,-,bar
11,"[[[481 139]]

 [[481 311]]

 [[510 311]]

 [[510 139]]]","(495, 225)",-,-,'14,5,-,bar
12,"[[[521 153]]

 [[521 311]]

 [[551 311]]

 [[551 153]]]","(536, 232)",-,-,'14,5,-,bar
13,"[[[560 180]]

 [[560 311]]

 [[590 311]]

 [[590 180]]]","(575, 245)",-,-,'14,5,-,bar
14,"[[[680 180]]

 [[680 311]]

 [[710 311]]

 [[710 180]]]","(695, 245)",-,-,'15,5,-,bar
15,"[[[600 198]]

 [[600 311]]

 [[629 311]]

 [[629 198]]]","(614, 254)",-,-,'14,5,-,bar
16,"[[[719 207]]

 [[719 311]]

 [[749 311]]

 [[749 207]]]","(734, 259)",-,-,'15,5,-,bar
17,"[[[640 221]]

 [[640 311]]

 [[670 311]]

 [[670 221]]]","(655, 266)",-,-,'15,5,-,bar
18,"[[[759 248]]

 [[759 311]]

 [[789 311]]

 [[789 248]]]","(774, 279)",-,-,'15,0,-,bar
19,"[[[799 313]]

 [[799 317]]

 [[829 317]]

 [[829 313]]]","(814, 315)",-,-,'16,0,-,bar
20,"[[[839 313]]

 [[839 364]]

 [[869 364]]

 [[869 313]]]","(854, 338)",-,-,'16,0,-,bar
21,"[[[879 313]]

 [[879 400]]

 [[909 400]]

 [[909 313]]]","(894, 356)",-,-,'16,0,-,bar
