id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[143  44]]

 [[143  60]]

 [[781  60]]

 [[781  44]]]","(462, 52)",-,-,-,Games,-,bar
1,"[[[143  77]]

 [[143  92]]

 [[721  92]]

 [[721  77]]]","(432, 84)",-,-,-,Technology,-,bar
2,"[[[143 109]]

 [[143 124]]

 [[704 124]]

 [[704 109]]]","(423, 116)",-,-,-,Design,-,bar
3,"[[[143 141]]

 [[143 156]]

 [[578 156]]

 [[578 141]]]","(360, 148)",-,-,-,Film & Video,-,bar
4,"[[[143 173]]

 [[143 188]]

 [[364 188]]

 [[364 173]]]","(253, 180)",-,-,-,Music,-,bar
5,"[[[143 205]]

 [[143 220]]

 [[268 220]]

 [[268 205]]]","(205, 212)",-,-,-,Food,-,bar
6,"[[[143 237]]

 [[143 252]]

 [[263 252]]

 [[263 237]]]","(203, 244)",-,-,-,Publishing,-,bar
7,"[[[143 269]]

 [[143 284]]

 [[255 284]]

 [[255 269]]]","(199, 276)",-,-,-,Fashion,-,bar
8,"[[[143 301]]

 [[143 316]]

 [[226 316]]

 [[226 301]]]","(184, 308)",-,-,-,Art,-,bar
9,"[[[143 333]]

 [[143 348]]

 [[208 348]]

 [[208 333]]]","(175, 340)",-,-,-,Comics,-,bar
10,"[[[143 365]]

 [[143 380]]

 [[189 380]]

 [[189 365]]]","(166, 372)",-,-,-,Theater,-,bar
11,"[[[143 397]]

 [[143 413]]

 [[177 413]]

 [[177 397]]]","(160, 405)",-,-,-,Photography,-,bar
12,"[[[143 429]]

 [[143 445]]

 [[155 445]]

 [[155 429]]]","(149, 437)",-,-,-,Dance,-,bar
13,"[[[143 461]]

 [[143 477]]

 [[154 477]]

 [[154 461]]]","(148, 469)",-,-,-,Journalism,-,bar
14,"[[[143 493]]

 [[143 509]]

 [[153 509]]

 [[153 493]]]","(148, 501)",-,-,-,Crafts,-,bar
