id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[471  28]]

 [[471 332]]

 [[493 332]]

 [[493  28]]]","(482, 180)",-,-,'15,50%,-,bar
1,"[[[321 239]]

 [[321 332]]

 [[343 332]]

 [[343 239]]]","(332, 285)",-,-,Oct.,10,-,bar
2,"[[[261 243]]

 [[261 332]]

 [[282 332]]

 [[282 243]]]","(271, 287)",-,-,Jul.,10,-,bar
3,"[[[351 261]]

 [[351 332]]

 [[372 332]]

 [[372 261]]]","(361, 296)",-,-,Oct.,10,-,bar
4,"[[[856 263]]

 [[856 332]]

 [[878 332]]

 [[878 263]]]","(867, 297)",-,-,'16,10,-,bar
5,"[[[ 84 268]]

 [[ 84 332]]

 [[106 332]]

 [[106 268]]]","(95, 300)",-,-,'14,10,-,bar
6,"[[[410 274]]

 [[410 332]]

 [[432 332]]

 [[432 274]]]","(421, 303)",-,-,'15,10,-,bar
7,"[[[291 275]]

 [[291 332]]

 [[313 332]]

 [[313 275]]]","(302, 303)",-,-,Jul.,10,-,bar
8,"[[[231 289]]

 [[231 332]]

 [[253 332]]

 [[253 289]]]","(242, 310)",-,-,Jul.,10,-,bar
9,"[[[201 290]]

 [[201 332]]

 [[223 332]]

 [[223 290]]]","(212, 311)",-,-,Apr.,10,-,bar
10,"[[[381 305]]

 [[381 332]]

 [[403 332]]

 [[403 305]]]","(392, 318)",-,-,Oct.,0,-,bar
11,"[[[ 53 307]]

 [[ 53 332]]

 [[ 76 332]]

 [[ 76 307]]]","(64, 319)",-,-,'14,0,-,bar
12,"[[[588 317]]

 [[588 332]]

 [[610 332]]

 [[610 317]]]","(599, 324)",-,-,Jul.,0,-,bar
13,"[[[171 329]]

 [[171 332]]

 [[194 332]]

 [[194 329]]]","(182, 330)",-,-,Apr.,0,-,bar
14,"[[[114 334]]

 [[114 447]]

 [[136 447]]

 [[136 334]]]","(125, 390)",-,-,'14,0,-,bar
15,"[[[141 334]]

 [[141 374]]

 [[164 374]]

 [[164 334]]]","(152, 354)",-,-,Apr.,0,-,bar
16,"[[[440 334]]

 [[440 353]]

 [[463 353]]

 [[463 334]]]","(451, 343)",-,-,'15,0,-,bar
17,"[[[498 334]]

 [[498 427]]

 [[520 427]]

 [[520 334]]]","(509, 380)",-,-,Apr.,0,-,bar
18,"[[[528 334]]

 [[528 373]]

 [[550 373]]

 [[550 334]]]","(539, 353)",-,-,Apr.,0,-,bar
19,"[[[617 334]]

 [[617 385]]

 [[639 385]]

 [[639 334]]]","(628, 359)",-,-,Jul.,0,-,bar
20,"[[[678 334]]

 [[678 356]]

 [[700 356]]

 [[700 334]]]","(689, 345)",-,-,Oct.,0,-,bar
21,"[[[707 334]]

 [[707 376]]

 [[729 376]]

 [[729 334]]]","(718, 355)",-,-,Oct.,0,-,bar
22,"[[[737 334]]

 [[737 377]]

 [[759 377]]

 [[759 334]]]","(748, 355)",-,-,Oct.,0,-,bar
23,"[[[766 334]]

 [[766 343]]

 [[789 343]]

 [[789 334]]]","(777, 338)",-,-,'16,0,-,bar
24,"[[[797 334]]

 [[797 405]]

 [[819 405]]

 [[819 334]]]","(808, 369)",-,-,'16,0,-,bar
25,"[[[827 334]]

 [[827 493]]

 [[849 493]]

 [[849 334]]]","(838, 413)",-,-,'16,0,-,bar
26,"[[[886 334]]

 [[886 345]]

 [[908 345]]

 [[908 334]]]","(897, 339)",-,-,'16,0,-,bar
27,"[[[558 335]]

 [[558 349]]

 [[579 349]]

 [[579 335]]]","(568, 342)",-,-,Apr.,0,-,bar
28,"[[[648 335]]

 [[648 367]]

 [[669 367]]

 [[669 335]]]","(658, 351)",-,-,Jul.,0,-,bar
