id,cnt,center,bar_class,fill,nearest_x_label,nearest_y_label,text,type
0,"[[[766  93]]

 [[766 237]]

 [[781 237]]

 [[781  93]]]","(773, 165)",-,-,'14,20,-,bar
1,"[[[ 55  94]]

 [[ 55 237]]

 [[ 70 237]]

 [[ 70  94]]]","(62, 165)",-,-,'06,20,-,bar
2,"[[[745 111]]

 [[745 237]]

 [[760 237]]

 [[760 111]]]","(752, 174)",-,-,'14,20,-,bar
3,"[[[787 120]]

 [[787 237]]

 [[802 237]]

 [[802 120]]]","(794, 178)",-,-,'15,20,-,bar
4,"[[[ 76 132]]

 [[ 76 237]]

 [[ 91 237]]

 [[ 91 132]]]","(83, 184)",-,-,'06,10,-,bar
5,"[[[725 140]]

 [[725 237]]

 [[740 237]]

 [[740 140]]]","(732, 188)",-,-,'14,10,-,bar
6,"[[[557 145]]

 [[557 237]]

 [[572 237]]

 [[572 145]]]","(564, 191)",-,-,'12,10,-,bar
7,"[[[453 146]]

 [[453 237]]

 [[468 237]]

 [[468 146]]]","(460, 191)",-,-,'11,10,-,bar
8,"[[[180 148]]

 [[180 237]]

 [[195 237]]

 [[195 148]]]","(187, 192)",-,-,'07,10,-,bar
9,"[[[474 148]]

 [[474 237]]

 [[489 237]]

 [[489 148]]]","(481, 192)",-,-,'11,10,-,bar
10,"[[[ 97 154]]

 [[ 97 237]]

 [[112 237]]

 [[112 154]]]","(104, 195)",-,-,'06,10,-,bar
11,"[[[159 154]]

 [[159 237]]

 [[174 237]]

 [[174 154]]]","(166, 195)",-,-,'07,10,-,bar
12,"[[[515 156]]

 [[515 237]]

 [[530 237]]

 [[530 156]]]","(522, 196)",-,-,'11,10,-,bar
13,"[[[431 157]]

 [[431 237]]

 [[446 237]]

 [[446 157]]]","(438, 197)",-,-,'10,10,-,bar
14,"[[[536 157]]

 [[536 237]]

 [[551 237]]

 [[551 157]]]","(543, 197)",-,-,'12,10,-,bar
15,"[[[201 161]]

 [[201 237]]

 [[216 237]]

 [[216 161]]]","(208, 199)",-,-,'08,10,-,bar
16,"[[[808 162]]

 [[808 237]]

 [[823 237]]

 [[823 162]]]","(815, 199)",-,-,'15,10,-,bar
17,"[[[222 164]]

 [[222 237]]

 [[237 237]]

 [[237 164]]]","(229, 200)",-,-,'08,10,-,bar
18,"[[[118 165]]

 [[118 237]]

 [[133 237]]

 [[133 165]]]","(125, 201)",-,-,'07,10,-,bar
19,"[[[494 165]]

 [[494 237]]

 [[509 237]]

 [[509 165]]]","(501, 201)",-,-,'11,10,-,bar
20,"[[[704 171]]

 [[704 237]]

 [[719 237]]

 [[719 171]]]","(711, 204)",-,-,'14,10,-,bar
21,"[[[411 175]]

 [[411 237]]

 [[426 237]]

 [[426 175]]]","(418, 206)",-,-,'10,10,-,bar
22,"[[[139 178]]

 [[139 237]]

 [[154 237]]

 [[154 178]]]","(146, 207)",-,-,'07,10,-,bar
23,"[[[578 180]]

 [[578 237]]

 [[593 237]]

 [[593 180]]]","(585, 208)",-,-,'12,10,-,bar
24,"[[[243 187]]

 [[243 237]]

 [[258 237]]

 [[258 187]]]","(250, 212)",-,-,'08,10,-,bar
25,"[[[683 194]]

 [[683 237]]

 [[698 237]]

 [[698 194]]]","(690, 215)",-,-,'13,10,-,bar
26,"[[[662 199]]

 [[662 237]]

 [[677 237]]

 [[677 199]]]","(669, 218)",-,-,'13,10,-,bar
27,"[[[599 204]]

 [[599 237]]

 [[614 237]]

 [[614 204]]]","(606, 220)",-,-,'12,0,-,bar
28,"[[[390 207]]

 [[390 237]]

 [[405 237]]

 [[405 207]]]","(397, 222)",-,-,'10,0,-,bar
29,"[[[829 207]]

 [[829 237]]

 [[844 237]]

 [[844 207]]]","(836, 222)",-,-,'15,0,-,bar
30,"[[[620 211]]

 [[620 237]]

 [[635 237]]

 [[635 211]]]","(627, 224)",-,-,'13,0,-,bar
31,"[[[285 213]]

 [[285 237]]

 [[300 237]]

 [[300 213]]]","(292, 225)",-,-,'09,0,-,bar
32,"[[[264 216]]

 [[264 237]]

 [[279 237]]

 [[279 216]]]","(271, 226)",-,-,'08,0,-,bar
33,"[[[850 220]]

 [[850 237]]

 [[865 237]]

 [[865 220]]]","(857, 228)",-,-,'15,0,-,bar
34,"[[[306 223]]

 [[306 237]]

 [[322 237]]

 [[322 223]]]","(314, 230)",-,-,'09,0,-,bar
35,"[[[369 225]]

 [[369 237]]

 [[384 237]]

 [[384 225]]]","(376, 231)",-,-,'10,0,-,bar
36,"[[[327 227]]

 [[327 237]]

 [[342 237]]

 [[342 227]]]","(334, 232)",-,-,'09,0,-,bar
37,"[[[641 232]]

 [[641 237]]

 [[656 237]]

 [[656 232]]]","(648, 234)",-,-,'13,0,-,bar
38,"[[[871 239]]

 [[871 345]]

 [[886 345]]

 [[886 239]]]","(878, 292)",-,-,'16,0,-,bar
39,"[[[892 239]]

 [[892 456]]

 [[907 456]]

 [[907 239]]]","(899, 347)",-,-,'16,0,-,bar
